author_name,rating,text
Kate’s Fun Zone凱特瘋閣,3,"Instagram:kates_fz
瑪格麗特&煙燻鮭魚帕里尼
台大附近超人氣餐廳，當初一整個被他們帕里尼照片燒到，興沖沖跑來，結果超心碎🥲
只能說，不符合我對帕里尼的期望，厚片吐司存在感太重，軟軟的不脆我好難過🥲
加上整盤早午餐配菜澱粉量超大，有校園附近吃粗飽的感覺
——
Brunch plates of panini which didn’t taste like panini at all lol.

4/9 回應店家回覆：
嗯，了解～畢竟每個人的口味都不一樣；而蘇草生意每天都那麼好，相信肯定也是很多喜愛貴餐廳口味的人！人各有好，所以以上內容也只是真實描述我的個人想法囉！但可以從回應感受到老闆對自己店的用心～～～"
Lynix Tang,5,"帕尼尼酥脆好吃 夾心很多種口味
義大利麵CP值很高 份量是會飽的喔
老闆很佛心而且很帥👍"
HANNAH,5,身為帕尼尼的愛好者，他們家的表現真的不錯，吃得飽食材又新鮮。因為不吃炸物，所以換成大份量沙拉🥗 附餐飲料選了德國的有機綠茶，有種回到歐洲的感覺😂 新品肉桂捲的口感偏向麵包，肉桂味可以再重一點，裡面是有核桃的（但我個人是比較偏好北歐系的）服務很好，且不限時，讚讚😀
鄧皓勻,5,"有幸吃到搭上草莓季尾的限定鬆餅🧡
鬆餅烤得酥脆，內夾麻糬，再加上蜂蜜、巧克力醬、些許草莓醬，以糖粉的堆疊，口感上真的非常好吃又滿足～～～

很期待之後不同季節的限定鬆餅！"
邱中彥,5,"不管是食物或服務都不錯👍
但是生意很好、建議先訂位再前往，吃完去隔壁外帶阿玉水餃回家！完美～"
LaRiche Hou,5,"很幸運中午時段去不用排隊，可能是還沒開學的關係；帕里尼早午套餐很不錯，和對面的朋都覺得搭配的佐料及醬料味道很適合！
飲料的話冰奶茶還不錯，茶有蜜香味，不過熱奶茶好像偏水，可能茶泡不夠久(?

原本要點推薦的蜂蜜麻糬鬆餅來品嚐，可惜吃完套餐就呷每蕊了⋯店內很貼心甜品餐點都訂餐後才做，因此還讓我們取消( ･᷄ὢ･᷅ )
服務態度優、氣氛不賴，推推下次再來吃鬆餅！"
Jasmine Tan,5,"店內環境舒適，店員服務態度好（反映wifi連不上還扛梯子幫我重開 痛哭流涕QQ）肉桂拿鐵很香。
平日下午適合讀書工作，但用餐時間餐點選擇很多也精緻，人潮和聚會蠻多的"
呵呵吃吃,4,"份量很足夠
帕里尼醬料豐富
還不錯
加了一顆太陽蛋
紅茶無糖的好喝"
Aura Kao,5,"用餐環境簡單乾淨
干貝海鮮燉飯的口味令人驚豔
推一個 👍🏻"
Yun Chen,5,"*必點蜂蜜麻糬鬆餅！*
蘇草已經吃過無數次了
餐點真的美味
最喜歡的是明太子義大利麵非常濃郁！
蘇草的茶類也都會有香香的蘇草味！
可以調甜度冰塊！很貼心
必點的是！蜂蜜麻糬鬆餅😆😆😆
真的很好吃的蜂蜜鬆餅！！！一定要吃吃看><

*有手機充電站喔！"
謝宛蓁,4,"在台大後門的咖啡廳，中午生意很好、學生很多。好像有特餐可以點的樣子但藏得很隱密第一次去點完偷看別人才發現。

點了早午餐的青醬炒菇帕里尼+$20炒蛋，裡面有青椒大家要注意，不會太鹹也不會太膩，表現得很標準(?)。

沙拉的醬滿好吃的，介於酒醋跟油醋之間。薯條是整盤表現得最讚的部分，又脆又熱，調味粉(有種墨西哥感)讓它好上加好👌

附餐飲料喝起來有點神秘，紅茶有種香味(??)，可能是加了蘇草ㄅ(隨便講)，然後奶茶也有個差不多的神秘香味，但是因為太奶了所以味道沒那麼明顯。

然後店裡的衛生紙盒(袋)是Pepe，為店裡的擺飾畫龍點睛，十分逗趣。"
周玟寧,5,小黑板上的青醬蛤蜊義大利麵，有附濃湯、沙拉和一杯飲料，蛤蜊每一顆都很飽滿不乾扁，份量很夠又好ㄘ
Emma,5,"環境很棒～半自助式
帕里尼套餐很飽又好吃😋"
Iris Shen,5,"帕尼尼好吃（有加起司阿）！
鮮奶茶好喝！
最近的99元特餐美味，當午餐的話這份量女生也會飽喔~~

老闆店員服務態度都不錯！最近優惠很多 蠻推薦的~~"
Ino Hsiao,5,"很舒服的一間店，有很多乾燥花和植栽擺設
不收服務費且餐點好吃價錢合理
很喜歡沙拉的醬和帕尼尼的起司
薯條也非常好吃且份量很多，飲料有點甘草味（？）
下次會想試試飯類的套餐"
Hsuan-Fu Yang,5,"老闆待人客氣，幾乎每個位子都有插座可使用；醬燒豬肉飯跟煙燻鮭魚帕里尼都非常好吃，而且是可以接受的價位。
用美味的食物填飽肚子後就可以繼續認真讀書了，昏昏欲睡時也能獲得優質咖啡因，推薦在期中沉浮的學子前來拯救期中成績和心靈。"
John Chih-Chung Lin,2,點了兩份餐，分別為帕里尼漢堡肉口味及泰式鮮蝦義大利麵，前者中規中矩還不差，但後者泰式醬料過多太重鹹，下層的麵基根本難以入口，另外蝦子似乎沒全熟透，且座位清潔尚需加強，椅墊上殘留很多落髮不太衛生，雖整體用餐下來體驗不佳，但還是比隔條118巷眾多劣質店算好滿多。
謝Sandy,4,"很小巧、平凡的早午餐的咖啡館，
餐點蠻好吃的！"
Tew Cheerrie,5,服務態度超棒～帕里尼超好吃超驚艷！大推！
Maru Lee,5,"也是看到評論來踩點嘗試
本以為是普通的早午餐店
結果意外好吃，尤其是麻糬鬆餅跟薯條！！！
不過沙拉就有點讓人失望
餐點也等得滿久
但還是給五星，希望下一次可以更好～"
