author_name,rating,text
山海幸,5,"可搭捷運至公館站走過來或騎ubike過來
在自來水園區附近
新店溪自行車道右岸 福和橋邊
可順便到公館品嚐美食"
Soo-Kook Hwang,5,"今年春節冷清的很，防疫搞得早上的齋食也沒啦！
願請菩薩保佑，形形色色擲香拜拜的人們，牛年行大運。"
郭根旺,5,"位在台北市公館較古老的寺廟，日據時代至今，是一個有文化氣息的宗廟；外地在台北生根的遊子,可以將祖先牌位擺放著的地方，我選擇在非假日的時候來此拜祭祖先！是一個可以讓人緬懷歷史及自我的地方！"
Maso Lin,5,昭和十四年建造的寶藏巖。有經過可進來參拜一下。
Hao Chen,4,入夜不開放，白天可以來參拜，有公共廁所。
Ko-Han,4,環境清幽，很有特色的歷史區域，周圍還有河濱公園可以散步享受自然
上班族的嚮導夢,5,座落於城市中的村落 打造成藝術村 居民依舊居住於此 部分區域開放給藝術家打造設計 來到此處彷彿來到世外桃源 讓人不禁放慢腳步 靜靜欣賞這片城市中的世外桃源
張姿婷,3,入口都有導覽手冊，但是滿無聊的，就是山上，然後創作空間也幾乎沒有展覽。
mei-chen peng,4,很不錯的文化味道，也有歐風鄉鎮的街弄，走走看看、拍照很多入鏡的小擺設。不收費又有取景拍攝的場景；吃完美食可以到這裏走走逛逛唷！
朱國華,5,這是台北市鬧區旁與世隔絕非常悠靜的地方，賞心，悅目，散步，騎車都很不錯！
楊秉霖,3,"蓮師藥師佛甘露法

渣渣寺（岔岔寺）是藏傳佛教噶舉派寺院。属于以持金剛佛、大成就師帝洛巴、那諾巴、瑪爾巴和密勒日巴，及歷代白帽、红帽和黑帽噶瑪法王傳承的正宗法門噶舉利美不分派。一直修行四教戒密法。
是由傳承中最有證量的上師配製,通常包括證悟上師們個人收藏的甘露丸，稀有材料,及加入歷代傳承祖師及大德們的舍利。許多高僧大德, 大成就者,於那些高證量傳承上師的個人稀有珍藏,及過去歷代承願再來的傳承大師或大德們的舍利,包括了傳承上師智根法王過去幾世的舍利, …"
斬封漩,5,城市中的寶藏，熱鬧與寧靜的交疊，山與河的穿插，情韻只留相片跟回憶
C.F. Chang,4,廟寺莊嚴、安靜、香火鼎盛。開扯前往者，建議停在外面公館收費停車場後再走路5分鐘即達。
kuan jung Chen,4,很漂亮的地方！老眷村路線蜿蜒複雜，濃濃捲村味，也有很多藝術家進駐，很可愛的一個地方，推薦來這邊走走看看
ぎんぱ 銀波,4,"*環境非常清幽
*偶遇寺中師父誦經"
咪咪超肥,5,鄰近河濱步道，適合散步踏青的地方
趙San,5,"清閩墾民沿河居、

彰泉廟宇建虎空、

長廊石窗亭碑記、

佛道兼容香火興。"
洪邦定,4,清康熙時建的寺廟，現在看到的大都是後來重修的面貌，有許多石柱上還刻了昭和十四年的字樣，想來日據時代日本人也參與了修建行列，非假日來此，沒有多少人，假日不知是否也一樣，這裡主祀的是觀世音菩薩，寺裡的觀音像想必也有些歷史了。
呂致仁,4,莊嚴簡單環境清爽，只是不知道如何去停車場，林蔭蔽天、河風吹拂、倚山而住的聚落，彷彿是都市喧鬧區外的桃花源
陳建國,4,看出去比較沒有開闊的感覺因為前面都是高架橋 但是裡面有一些文創商店 還有餐廳，旅宿感覺起來很像小九份的感覺! 每上一個階梯一個轉折 都是一個景 還蠻有趣的 希望以後能夠多多開發這個地方 讓他商業氣息更為濃厚一點!會更加的好玩!
