author_name,rating,text
周子修,5,"外帶自取只要5折超划算！
即使因為疫情待在家，也有餐廳級的享受！
推推推~"
達亢,1,距上次內用已是去年一月，在貳樓也是內用多次，也常與朋友去用餐，但疫情影響改為外帶，這次餐點「酥香透抽圈」粉皮非常之厚！幾乎都是麵皮不打緊，原與家人想說好吃就算了，但麵皮根本就沒有調味，比食材還厚，「費城酒吧炸大蒜牛排」也是兩大片來沒有切，若我們不是剛好是家庭有工具，是否要用啃的呢？且平台上也沒備著說不會切，若需要且要額外備著，覺得相當不方便，肉質也是很粉，加上厚粉吃起來相當噁心，「炸蘑菇 」也是相同比食材厚很多，「馬鈴薯」油到根本不想動他，加加起來要2000多覺得這一餐吃的非常不值得
陳沂,5,"疫情期間外帶真的一點都不馬虎
包裝超級仔細又精緻
包裝上的插圖也超級可愛超級用心
內容物還是一樣好吃到不行
因為知道五折吸引非常多人訂餐
我特別感謝店內的服務人員
爆單最忙的就是他們
跟他們說了聲：你們真的辛苦了
沒想到他竟然回我：天氣那麼熱你們才辛苦了
真的是親切貼心讓人感動🥲❤️

看到網路上很多人抱怨訂不到
真的早點起床就好了
我也是一次就訂到也成功取餐
我們訂餐只是早點起床躺著訂餐真的沒什麼
服務人員態度也特別好
真的不要一直抱怨他們
貳樓也不是應該要給大家五折優惠的
大家將心比心！他們也是非常辛苦非常用心！

謝謝貳樓的用心
謝謝這些美味的餐點
非常非常辛苦你們！大家一起在家stay safe！"
YU JOU HER,1,"五折外帶兩份麵、兩碗濃湯
先不論訂餐困難、系統lag
領餐時店面前拉封鎖線，完全沒有人員指引
從外觀上根本看不出來有營業
(外面同時也有顧客徘徊，大家都不知道怎麼拿餐)
繞過封鎖，自己打開門後
才有店員姍姍走來問：誰先來的？

餐點更是慘不忍睹，內用貳樓不下十次
沒有這麼難吃過
調味失常（一碗爆鹹、一碗沒有味道）
蝦子有冷凍生味、雞肉非常乾硬
麵體更是軟爛油膩不堪
兩碗麵都只吃幾口就放棄
唯一可以的濃湯，量跟價錢一樣只有一半
（照片是完全沒動過的情況）

推行促銷活動
卻因為人力不足、胡亂料理
用糟糕的餐點品質對待消費者
這種經營理念 不敢苟同。"
梁方頻,4,3點自取我提前五分鐘拿，差不多3點到家的時候發現其實都冷掉了，薯條還軟軟的，希望貳樓有看到我的評論😭期待下次外帶的進步
Winnie Chan,5,第二次到貳樓公館店，祛除掉以前擁擠難走的印象，重新裝潢過後，走在側邊就覺得很美，安排座位時，剛好坐在二樓窗邊，從窗口邊透進來的夕陽，讓緊張心情舒緩了。菜單琳琅滿目，但最終還是選擇了低碳飲食，舒肥嫩雞花椰米，是目前為止覺得口感偏好的花椰米，搭配上歐姆蛋和處理過的菇菇，以及軟嫩不柴的雞肉，讓人回味。選擇飲料時，店員貼心詢問是否要換成無糖，覺得蠻好的。加上150元，就可以選擇三種選項，而我所選的番茄濃湯，炸蘑菇小點和甜蜜入口的金銀島布朗尼冰淇淋，味道口感都很讓人滿意。若要說是否有需 …
GADDA LIN,1,5/15 號看到貳樓有外帶半價活動，5/16 早上八點起來透過系統下訂並完成(公館店)，一直等到中午 12：00 還沒收到可取件短訊，等到 12：30 打電話至店內確認可取件時間，被告知系統當機無法釐清訂單，等回復後會再電聯通知，然後一直等到 12：50 再度打到店內，這回被告知系統剛恢復，已經開始作業，訂單快完成時會發取貨通知，再度等到 1：15 電話詢問為何一直沒收到體質簡訊，經查詢才知道簡訊系統當機所以沒發簡訊 … 一路搞到 1：28 才拿到餐點，足足慢了一個半小時。 …
張譽瀚,5,"已經去過貳樓餐廳的其它分店，但這家不太一樣，為獨棟的建築，很有自己的風格，食物一如往常的美味，生意非常好，建議先訂位
二訪：因為疫情的關係，只能夠上網訂購後取餐，也因為特價的原因，讓同仁非常的忙碌，但服務依舊是非常的好且到位，謝謝你們，辛苦了。"
Richard L,3,"培根很焦又乾這樣品質還要出餐？！和之前買的正常版完全不同,無法下嚥入口最後丟掉了,官網私訊詢問被已讀不回冷處理,一句道歉也沒有....很失望不會再訂購,折扣留給其他人吧。

更: 由一顆星改三顆,雖然處理效率不是很好,至少有誠意解決問題。"
Amanda Cheng,5,因為服務給滿分，有漏給醬料打去店裡有馬上處理，這波5折點的主餐類都不錯，甜點以5折價位給過，飲料真的不太行。
Zizi,5,"印象這家是二樓的起始店，從十多年前
就是一個排隊名店。
現在有訂位 系統後位通知，非常方便
帶位員工，控場能力很好，親切美麗

麵包非常好吃，搭配焦糖奶油👍🏻
奶昔，非常多的奶油"
Jared Tseng,5,"公館貳樓一直都是我們家的最愛，但前陣子停業了超級久，不知道為什麼最近又重新開幕了，重新裝潢之後位子感覺變少了但整個變得很亮！

但依舊是熟悉貳樓的味道！

以往有重要的日子或是朋友聚會，我的第一首選都是貳樓，除了離家近外，東西種類品項都是我愛吃的！

貳樓同時也是寵物友善餐廳，想要帶著毛小孩一起來用餐也沒問題，還記得以前皮皮在的時候都還會帶他來貳樓！

但從去年夏天後，他們的菜單整個大換新，以前愛吃的那些燉飯跟漢堡好像都不見了

多了很多種跟東坡肉相關的品項....感覺有點奇特！

所以重新開幕後，喬碩媽的生日我們一定要回到最熟悉的貳樓！"
陳紓嫺,5,"真的大愛5折的貳樓！！好吃又划算！！
這兩個禮拜來吃了好多次😍"
Nina Shu,5,"因為去的時間是週一早上10點，所以不需排隊，也不會擁擠。入口處也是有放疫動作（量體溫+手噴酒精）。
整體環境非常乾淨，而且服務人員態度非常好且親切！
餐點口味也不錯，這次點早午餐吃的非常飽也很滿足！
推薦給大家！"
許翰民,5,晚間櫃檯小姐非常親切有禮，打電話詢問外帶時耐心說明活動今日已經暫停，還是親切招呼我們能夠安心內用非常貼心，防疫期間外出用餐難免害怕，謝謝「天使」的暖心和微笑接待，期待疫情結束再度光臨公館店。
李立軒,1,"1. 大肆對外宣傳疫情期間外帶半價，但沒說每日每店限量(且量很少)
2. 外帶自取僅接受線上點餐，不能電話點餐
3. 線上點餐系統設計與穩定性待加強"
崴崴,5,"順利的訂到5折餐！
感謝貳樓在嚴峻的疫情下
還帶給我們家這麼好吃的餐點
（雖然我冒雨前往
現場的人員辛苦了
看到他們努力的做餐點跟打包
心中滿是感謝的吃下午餐🥲"
Yi-ting Huang,4,意式連鎖餐飲品牌的優等生，打開菜單餐點樣樣熱量破表但就是吃了很開心，造訪過的各分店服務水準一致(一秒讓人以為在Fridays)，套餐分為+60選1種和+150選3種配餐，可跨濃湯/炸物/飲料/甜點自由選，項目雖多單邏輯清楚讓客人選擇不會吃力，人員訓練很專業，從點餐時我們這一大桌每位的餐點都記得清楚，麵包和多種飲料都續杯過還分去冰/少冰不同，及最後打包服務一應迅速回應滿足，低消每人$100(120cm以上)，人均價約$400-$550(看是否點套餐)。
wen an,1,"傻眼⋯⋯請問早午餐的牛奶外帶本來就這麼少嗎？而且這已經是最小外帶杯尺寸了耶（相當於一般小杯超商咖啡）還只裝這麽少！三口就喝完了吧👎👎👎👎👎

我一回家打開就傻眼到爆。我發誓我沒有灑出來也沒有先偷喝幾口，這個品質我真的非常非常非常生氣及失望。"
陳月霞,5,整體用餐氣氛和環境不錯，空間寬敞清潔，工作人員態度親切有禮貌。週六、日早上8點就開始營業，有提供早午餐，可以選擇果汁牛奶外，還外加一杯咖啡或茶類，都可以無限續杯，如果選擇其他餐點，可以60元銅板價搭配餐，有麵包可以無限供應，一人點用，同桌都可享用💞，還有炸物、飲品、甜點等等配餐可以選，如果超過3項，只需150元。主餐選擇性多，除了早午餐外，還有義大利麵、漢堡、排餐，CP值都很高，本人特別推薦用餐氣氛，可以放鬆悠然用餐。
