author_name,rating,text
Lin Daby,2,"海鮮咖哩飯275:蝦.蛤蜊.小干貝.花枝，加上菠菜.蕃茄青花菜很搭，但咖哩醬太少，連選200g飯減少，還是醬不夠搭配飯；福神漬醬菜好吃有人上桌才會拿出來，雖然保持新鮮的用意很好但有時會被漏掉，喜歡的人要自己記得提醒店員；附餐沙拉的蕃茄現在連一顆都不到，只有半顆不知道另一半要給誰？單點沙拉130雞塊從3大塊變成3個切半，黃瓜切得薄得像紙(刀功一流?)，不是第一次來吃，但這Cost down也太嚴重了，餐點口味還是美味但量少太多了，希望可以改進，否則只好選擇別家更好的。
PS:最後讚揚店員一下，某些人沒戴口罩就想進來用餐，被店員擋下要求戴上口罩，沒有便宜行事這樣很好，防疫就是規定出外要帶口罩，沒有人可以例外，萬一放鬆造成破口就慘了，請大家嚴格遵守規定。"
Emily Kin,1,咖哩很稀 吃到一半就沒咖哩了 加咖哩還要40元；日本店不是提倡服務，怎麼一副只有錢的狀況。以前吃過不少於30次，主要是味道好我不太在意價格。 一顆星給是服務生因為他很用心。請本公司改一下不然評價只會越來越低 以前咖喱是可以薄薄一層就蓋住底盤，咖哩自己煮也很容易做到。這裡確明顯的很透明 還可以看到香料分散的樣貌......可以不要收400塊的咖哩套餐還這樣省咖哩嗎.....
Henry Hsu,4,優點是種類很多，缺點是味道比較不驚喜，咖哩偏水，份量滿夠的，整體上來說就是粗飽店，但已粗飽來看的話價位就算是稍高了
大俠,4,"還不錯吃的咖哩飯
很推薦加起司

食量不大的人可以把米飯的份量調整至200g (可以減20元)"
張芮綺,2,相較於其他分店，這家的咖哩沒那麼好吃；而公館本身就有許多以咖哩聞名的店家，在美味和價格的評比上，公館CoCo都落後。
Annie Chen,4,咖喱偏稀 但唐揚雞鮮嫩多汁
朱德燊,3,好吃，可是老闆一直罵員工，搞得用餐心情不好，不過漢堡排非常好吃，推薦喔喔喔
Tim Chu,1,"打電話過來問說不能預定
結果現場過來說有人走過來預定了有沙發的位子
而且是八個人？
打電話是預定走過來預定的就不是預定？
結果那個位子明明就只有4個人要坐！！
到底是什麼鬼邏輯現場預定就不算預定
一顆星 你值得擁有！"
Chuang Eason,5,咖喱蠻好吃的 雖然價格沒有特別便宜。但還是值得去吃
唐唐,4,"下午3點多來用餐所以不見任何其他客人，後來陸續有兩三組家庭來店用餐，客人必須留下姓名電話以利防疫追蹤。
我跟女兒點了蛋沙拉和炸雞排綜合菇咖哩飯，6O元和270元，加一成服務費是363。有教師證學生證或校友證打85折，所以是309。
環境優美寬敞，但咖哩醬ロ味偏鹹，炸雞排的麵衣含油量太多。
帳單下夾有餐點滿意度調查問卷，本人據實填寫，結帳時服務人員再次詢及，我也據實以告，店內服務員說會再注意改善。"
Aria GW,4,"味道不錯 不像某些用咖哩塊做的
辣度普通就有點辣點的要注意
價格有點高但選擇眾多
需10%服務費
想吃咖哩吃會飽 福勝亭也是個選擇"
Zoan Chen,1,Coco一番屋的服務生一副客人都欠她薪水ㄉ狗屎臉，合理懷疑薪水真滴低
Wu-yen Chuang,1,2021/3/1 6pm男性外場點餐店員口氣充滿不耐煩，餐點拖了40分鐘才上，餐廳同時間uber panda的餐點一直出，餐點十分普通，茄子沒煮軟。
廖偉丞,4,個人口味覺得偏鹹，份量辣度可自行調整，各配料自己加購，生意很好
44 Candle,2,"味道很一般，而且沒有一片配菜...住公館這麼多年第一次吃這家，可能也是最後一次.
外帶自取比堂食貴，看到有很多空位問能不能在裡面吃完也不行.."
あめhikariame,4,"服務生態度很好，會主動幫忙加水。店裡要加一成服務費。

我點了炸雞咖哩拉麵（$250+31服務費），麵是油麵，炸雞沒有裹很多麵粉，但我覺得味道不錯。不過我覺得CP值沒有很高。"
陳英哲,5,備貨充足 供餐迅速 以咖哩為主要食材(鷄 牛 豬排)在捷運公館站對面台大舟山路口一樓(招牌不明顯)店內寬敞 小型圓 長方型桌多(以4人1桌為主)頗受台大韴生及附近區民 公館商圈遊客青睐
BH recorder,2,點餐按鈴按了好幾次都沒人來幫忙點餐，看他走來走去就是不來幫忙點餐，不知道是人手不足還是怎樣...感受不太佳
Chin fang Chou,5,好吃咖喱飯🍛就是要到coco壹番屋！
Chien Maurice,3,味道中規中矩，不會踩到地雷，但服務人員明顯需要再訓練，好像遇到傳統公務人員的態度。
