author_name,rating,text
Stanley Cheng,1,"以前是泡沫紅茶店
玩了很難玩的大冒險
那時侯覺得很靠北"
柑罵,5,"空間氣氛古色古香，環境很舒服，
飲料只要半價就可以續杯！"
殘蒂芬霍金,1,如果可以，我一顆星都不會給，這裡出餐速度有夠慢，慢到我朋友都想進廚房幫忙，然後鍋物上來也只是幾片破青菜跟一兩塊肉片丟進去湯裡，甚至都沒有熟要我們用卡式爐自己煮，我是不懂東西丟進去有那麼難嗎？有需要用到30多分鐘？一杯160元的珍奶用了一個多小時，王子麵少一個，蔬食鍋裡面一堆葷食，料甚至比加大的一半鍋還多，如果不想來這裡付錢受氣就去斜對面的鍋in，價格實惠cp值很高。這家破店我再也不會來。
Tracy KUO,3,缺點鍋有點空虛，一定要加點不然裡面就只有蔬菜跟三片肉，也沒有任何火鍋料，所以偏貴，沙茶醬不知為何很甜。優點是包廂式可以聊天空間寬敞。
Rachel,5,今天來嚇一跳 竟然有小自助吧 用餐改方式了 但覺得滿好的 假日公館人多 這邊可以放鬆聊天用餐
威町Gary,5,"環境很適合跟朋友一起來聚餐聊天
有飲料吧跟冰淇淋吧
白飯也是裝到飽
非常適合各種活動聚會"
吳芳清,3,"火鍋只有菜 肉 一塊豆腐
貴在環境吧 空間很舒適乾淨 適合聊天
沙茶很甜但我蠻愛的？
冰淇淋好吃"
Kate Chen,5,非常好吃，很舒適的店，推推！
Jocelyn Chiou (阿狄),5,適合聚會閒聊，待一段時間，很有閒情逸致的餐廳，飲料很大杯也有紅綠茶自取
林苡君,5,牛奶很奶~有自己的包廂座位坐起來不錯
Ariel Liao,5,"有可愛的小包廂～ 🥰
食物跟價格成正比～"
ms Wang,5,場地優，餐點佳，適合大小朋友全家聚餐。
Chien-hua Ku,5,環境清幽，食材新鮮，冰淇淋不膩好吃！讚！
洪國樑,5,"溫馨舒服聚會好地方
餐點也不錯"
lala,5,適合多人聚餐 空間寬敞 炸物不錯 鍋有料尚可
郁欣王,5,環境舒適 有自助吧~炸物很好吃 👍👍
楊振銀,4,是獨立式的房間吃飯聊天比較不會吵到別人
周曉君,5,整體裝潢很有古風的味道 是聚餐的好選擇
Lili,5,有自住吧很棒👍🏻價格便宜👍🏻
寶憶,1,"等餐等半個小時 連一杯飲料也沒有 直接外帶
餐點還以為是燙的 結果也沒有 然後店員很閒 想應徵"
