author_name,rating,text
Benson Wang,3,什麼都好吃，唯獨銀絲卷油耗味很重，有點嚇到...
Ying Ting Huang,5,好吃！不過不提供切片，一個$70
"張哲瑋（Zhang,Zhe-Wei）",1,雞塊雞排比別家貴，四季豆花椰菜也很少一份30
Mabel,1,雞蛋豆腐很好吃，但買一隻雞翅 女店員到底兇屁？
Shang,1,"男老闆態度很爛, 跟這間買東西還要受氣, 還是別來了！"
christine k,3,炸乳酪不錯吃。雞排好像沒有先醃過，口味重的人可能會不太喜歡。對了，這攤的雞排不切的。
An An,4,"份量不多
四季豆跟地瓜條很好吃
雞排感覺肉質上不夠嫩"
王康沛,2,炸物味道沒有問題，但是女店員態度非常差勁。
廖慧青,1,裡面炸雞排的老闆態度超級差，但雞排還不錯吃
蔡銘揚,4,"雞排多汁又大
絕對能滿足你的胃口"
巴小風,1,不推 連個豆干品質都可以差成這樣 雞塊也只是還好偏柴
AnnPhone Art,5,雞排很厚很大塊，肉質鮮嫩多汁帶微甜(可能有醃製)，目前仍是心中第一👍
Huang Huang,5,一片雞排變70元！快吃不起了
Judy Weng,5,雞塊和杏鮑菇好吃👍🏻👍🏻👍🏻
林建宏,3,好吃但是越來越貴...
JoJo Wang,1,品質時好時爛，女服務生連常常很臭，根本不想買。
沖田总悟,3,脆皮雞排65，不算便宜，皮酥肉還好不是很嫩，還可以
加藤硬之腿,1,提早用電話預約，約定於七點送到，結果等到七點半說還在路上，最後在八點才送到明明就在公館市區10分鐘內的路程，可以等個一小時！來的時候還說只有兩個人顧，我說，員工要多少人是消費者的問題嗎？遲到還可以這麼大聲！
chu Kuo,5,餅皮很脆，十分入味，肉質新鮮！
Iso Ch,5,預定下午茶店家會主動告知各項餐點單價及總價，讓客人便於準備銀兩；送貨當天下雨，店家會主動請送貨人員小心慢慢騎車，是有良心善待員工的好老闆。雞排送到時有用保溫袋保溫，皮脆肉嫩又多汁，吃得很滿意，囑託帶收據辣粉等都不負所托，細心有誠信。5顆心當之無愧，讚！
