author_name,rating,text
Yc wang,5,適合散步賞花觀察植物生態，也可以坐下來喝咖啡。
張若瑜,4,櫻花盛開了～校內散步賞花、認識植物及台灣近代農業史的好地方。
sokkuli Young,5,"都市裡的農地
冰淇淋好吃"
YC Tsai,5,"醉月沉魚鴨鵝隨，湖心孤亭柳絲飛
農場落雁鷺鳥綴，田中殘禾葉淚垂"
黃秋桂,5,"很美
有很多櫻花和鳥
垂櫻更美"
古淑芳,5,台灣米的研發、培育歷史之故事！對農民與百姓貢獻深遠！
劉凱禎,4,市区內難得的開放空間，春天有櫻花可欣賞！
cc cheng,3,賞櫻，照相好地方
謝國財,5,有許多活動可參加~除了導覽外還有許多手作課程~推薦給喜歡學習新知的人，台大的官方網頁上有詳盡的課程介紹
Zhi 俐 (Pallas),5,"一直很喜歡這邊的小生態~
但是有次發現魚鉤，撿到台大的警察局，希望可以注意是否有偷釣者，警察回我~丟掉就好了…
再次有看到印尼的小孩，直接就騎著腳踏車帶著補撈網…"
淑珍邱,4,很可以放鬆身心的地方
語荷,5,那裏就是製作食品以及其它的場所所在地，要不是以前沒有拍過照片的話，現在可能還不會改變到那種地步，甚至是還會有新的景觀可以看得見
林雅惠,5,很舒服安靜的空間！一旁的鹿鳴堂還有美食，很方便。
啟民翁,3,除了原有的稻香館，又增加了洋菇館。
楊國吉,5,下午是到台大農場閒逛的最好時間
vfxjimmy Chen,4,"這裡感覺很棒, 在鬧區裡有稻田田園景供散心的好地方!"
James Lee,5,環境幽雅的學府
徐培鈞,3,很少人知道，不錯逛，可以了解植物。
洪美柚,4,幽靜地廣，散步好去處，也有咖啡店可休息
陳英哲,5,小屋前的棉花樹開花→結果→各綻放出3朵棉花(棉絮 用途為棉衣 棉被)小屋後有一顆老棗子樹，最近有修剪過，花 果快凋謝了o在磯永吉小屋前 瑠公圳水源地有導覽彩色全圖，可以跟實體禽鳥 魚 花卉對照，知其學名                                                附近瑠公圳水源地池塘有自然景觀~野鳥 多種魚龜 是台大師生及里民的休憇點，池塘裡的落羽松紅綠相間，倒水影漂亮
