author_name,rating,text
許光裕,1,這是我買過的態度最差的一家Mister Donut，店員沒有笑容就算了， 結帳動作稍慢一點店員就表現的很不耐煩，去過兩三次都是一樣的調掉，員工教育大有問題。
Noëlle Carmina,5,"在捷運站體內，屬於麻雀雖小的店面，庫存數量或許不多種類倒是滿多選擇的，也有冰品和飲料。
雖然有些人抱怨碰到態度不好的店員，可能我運氣很好當天的小姐很親切，也會給予優惠上的建議，包裝時也細心，自己是很滿意的。"
朱四,5,該提醒的活動有提，結帳也快速，挺好。
Lisa Kuo,1,店員的服務態度非常差，不但詢問優惠活動一問三不知，甜甜圈也沒用套子包裝就入袋（買其它家會先包好）最糟糕的是在挑選甜甜圈時，聽到女店員高聲對移工品頭論足，說「外勞又髒又臭，我完全不想靠近」「外勞都拿iPhone，都不知道錢哪來的，應該是假貨吧」等等充滿歧視性的言論，實在不堪入耳，令人不敢恭維。為何不能是移工族群努力工作，靠著自己的存款買的呢？雖然自己並非移工也非新移民，但這樣歧視的言論實在難容，絕對不會再訪。建議想購買甜甜圈的消費者，可以至其它分店購買，得到更棒的服務。
楊彩琳,4,"開在捷運站，方便可以買個早餐或點心~
喜歡天使法蘭奇以及歐菲香的甜甜圈~
會依照季節性或是節日出滿多特別的口味~
與你甜甜圈在一起😍"
mu mu,5,"在捷運站內很方便，需要什麼甜甜圈可以自己夾取再到櫃台結帳，這次試了天使法蘭奇，覺得好美味哦，有一種在吃沙其瑪的錯覺，但是口感比沙其瑪更Q更鬆軟，且溼潤度很夠，入口有一股迷人的麵甜香，裡頭還有一點點的奶油夾餡豐富它的味道，草莓巧克力的部分也很不錯，脆甜可口。

第二次吃了優格口味波堤，波堤真的是招牌Q實微彈的口感很療癒，優格味的巧克力讓波堤多了一層甜香氣，整體耐吃不甜膩。"
王小蔚,3,"空間不大
人多時很擁擠
不過在捷運站內
非常方便"
陳英哲,5,不同顏色 原料 造型的各式西點，增加您的食慾 購買慾，食用了讓您有滿足 愉悅感
Patty Wang,5,服務很好，店員聲音很親切，好喜歡🥰
陳英哲,5,甜甜圈 蛋糕等餐點味美價宜，種類很多
沙佳欣,5,甜甜圈，讚。
吳佩恩,5,"這個系列的都好好吃😋
糰子稍微甜了一點！可是還是很棒"
林美華,3,不很甜，但好吃，我喜歡
Format Chiu,5,早上趕車很著急，剛好前面有個客人買好多，還好店員很有效率又很親切迅速幫我結帳！覺得很貼心也很開心
陳彥朔,4,在捷運站裡，位置挺便利的~
Yo-Chung Chang,1,"店員素質有待加強。

在購買前3秒就已經跟店員再三確認過，甜甜圈搭配咖啡可享方案優惠(咖啡享折扣)，結果還是跟我收原價的錢(三秒前跟妳確認過耶)。還是我拿到發票換算過後才發現這種離譜的錯誤，拿回去店家也沒見那小姐承認疏失，只在那邊說她自己明明有輸入優惠，但事實上就是沒有阿，道歉很難嗎?? 疏失還找一堆理由。"
nita,1,"有夠不新鮮隔夜的吧 mister dounut現在都這樣？上次買忠孝復興店的也是一樣有得比的難吃
品管有問題吧 都沒在管理？ 怕爆"
Thomas Yeh,4,"偌大的捷運公館站，裡面好像沒幾家商店，倒是有這一家。

店面不大，但是僅有的一位店員在我抵達時，頗忙碌的，接電話，有人訂貨，好像是什麼團體有活動，我聽到複誦的數量似乎不少。

店內裝潢，以及燈光，商品都很吸引人，若有空，多少會有人進去參觀，參觀後可能就不會空手而離開了。

此時店裡面的商品和聖誕節似乎都有關聯，製作很精美，不只是好吃，也很好看。"
David Chang,4,"甜甜圈也可以多樣選擇
搭配7-11點數
買4送2
買8送4
全家大小一起享用
很划算"
廖魚兒,5,"平日早班的女店員服務態度真的很親切

店在捷運站內也很方便"
