author_name,rating,text
SAM HAPPY,5,"蔥爆牛肉：非常濃郁的醬汁，巴著每一塊牛肉，真的每一塊都吃的到滿滿的蔥香和牛肉味。

牛肉炒麵：我覺得是我點的三個裡面比較普通的～不過，味道也是有水準之上的～跟其他夜市炒麵比起來更為入味

燉肉湯：我第一次來不知道要點什麼，但看到每桌都有人點，就跟著點了，一喝不得了，直接想大喊也太好喝了吧！肉可以搭配店員給的醬料，好像是羊肉爐用的醬。非常好吃！湯還可以再續～"
LingFang Kou,4,"這次點的是雙人套餐990$
1.招牌羊肉鍋附贈羊肉片+金針菇
裡面有三大根羊骨頭，湯頭清澈帶點中藥味，非常順口，服務人員會一直加湯，讚讚。
2.涼拌羊肚：很清爽的開胃菜，辣中帶酸，辣椒跟洋蔥給超多！羊肚有嚼勁吃起來脆脆的。
3.麻油麵線：沒有很重得麻油味，有麵粉的味道。
4.炒青菜：中規中矩
5.沙茶羊肉：跟空心菜一起炒，肉很嫩，完全不會柴！
整體而言都是好吃的，也吃得很飽，吃不完還可以打包，湯頭帶回家還可以再加一些火鍋料煮。
推推！會回訪"
張瑞容,5,羊排湯好喝～很清、新鮮，老闆幫我們加一次湯～炒羊肉微辣，也好吃😋麻油麵線還可以！
鍾昕燁,4,四個人禮拜天晚上6點到餐廳，沒訂位直接進去，不過人滿多的，感覺在晚一點就會沒位置，有分一樓及二樓，一樓外面有位置，空間還算大不過椅子是板凳椅，比較不能放背包或衣物。而食材及餐點部分我們一共點了1750元（雙人餐+蔥爆羊肉+孜然炒羊肉+羊肉片+一些火鍋料），總體來說食材還算新鮮，熱炒及火鍋都還蠻好吃的，而雙人餐真的划算，建議可以點雙人餐再額外點菜即可，而人多的話可以點全家餐，看其他桌份量還算夠。個人覺得用餐體驗還不錯，除了椅子不是很舒適外，食材及服務都可以接受，有機會會再光顧！
唐阿倫,4,"點了雙人套餐

羊肉爐清甜 沒有過度調味 吃起來很舒服
熱炒中規中矩 吃的出鍋氣 還不錯

份量很足 2個正常食量的人 可以吃很飽"
Sophia Liu,5,這次外帶餐點，點了一邊一鍋（清燉、紅燒各一鍋），份量十足，清燉鍋的羊大骨超好吃、羊肉火鍋片肉質很好，紅燒鍋的帶皮羊肉非常入味軟嫩，湯頭都有藥膳味，喝起來很清甜，吃完也不會口乾舌燥，湯裡的配料有附凍豆腐、金針菇、丸子以及海量的高麗菜。也點了羊三拼（涼拌羊肚絲、羊腱、羊肝連），三樣都很好吃，不會有羊騷味，九層炒羊肉很下飯，推薦配飯吃，炒高麗菜脆甜，調味剛好。
Cha Cha,5,"兩人$990的套餐
▪️一鍋羊肉火鍋（涮羊肉片）
◾️沙茶羊肉
◾️炒青菜
◾️涼拌羊肚
◾️麵線

好便宜啊！

羊肉湯清甜
沙茶羊夠味 肉超多
涼拌羊肚微酸好唰嘴
另外加點孜然羊肉串
整體好吃
火鍋外帶加湯給好多超大方

缺點就是樓上樓下地板都超滑的
走路要小心"
王小茹,3,每次吃都覺得好好吃，涮羊肉很香甜，湯頭好，羊大骨有咬勁越啃越香，蔥爆羊比較有肉感，沙茶羊口味太重了點
ChiaLynn Wu,5,"今天天氣 12 度，很適合吃羊肉爐(￣∇￣)
- 五人點紅燒羊肉爐中份，原本湯鍋就有凍豆腐高麗菜、幾個丸子，多加點了豆皮捲，原本送上來覺得是炸豆皮還蠻失望的，但煮熟後兼具炸豆皮和腐皮的口感，很推～ 羊肉有帶皮，但肉質比較老
- 沙茶羊肉和孜然炒羊肉份量都不算大，但口味都相當不錯，因為羊肉片不會太大塊所以相當入味，推薦
- 麻油麵線的麻油香氣普通，麵線的 Q 度也普通，適合對麻油麵線本來就不太挑剔的人點，老饕的話可能會有點小失望
- 羊肉炒飯味道很清淡，炒飯鍋氣不足，但加上孜然羊肉或是沙茶羊肉就會相當下飯～
- 今天沒有吃到羊肉串太可惜了"
Annie,5,羊肉真的很好吃 價格有點高
洪偉宸,5,紅燒羊肉肉質很軟，湯煮完後不容易浮一層油，羊肉串很香，讓人會想多吃幾串
Yam Lu,5,因台大葉教授FB推薦慕名而來。這次直接吃雙人套餐，就是一鍋羊肉爐，搭配羊肉料理。位子不多，若假日聚餐，建議提前訂位。
胡智勛,5,室內有一二樓，環境寬敞明亮，客人很多很熱鬧。食材豐富、好吃。很適合公司或朋友聚餐。
JMH藥師一隻,4,"人山人海的老店 先訂個位子比較保險
羊肉好吃（尤其肋排） 湯頭極佳
一樓實在擠了一點
-20210131"
Vicky Chen,4,羊小排跟赤肉湯都不錯，是清湯，可以續。羊肉炒飯比羊肉燴飯好吃，有鑊氣，燴飯勾芡太多，需加一成服務費
H Rybby,4,今天點了雙人套餐，湯頭不錯甘鮮，帶皮羊肉有1/3較難嚼，涼伴羊肚絲調味不錯但辣油的部分太多，沙茶炒羊肉表現中規中矩，已990價位來說CP值尚可，如果食量較大者會輕易超過1500
Blair Tseng,5,"果然是老店 高朋滿座
價格實惠 還有炒類可以選擇
除了烤羊排有點筋以外
基本上沒有雷
冬天真的該來吃看看 可惜沒吃到羊貴妃🥲
建議提早訂位"
Edward Chu,3,羊肉的腥羶味不重，湯頭剛剛好不會過濃也不會沒羊味，多一點人吃套餐會比較划算。
annie wu,5,"羊肉爐好好吃、價格實在、服務又好！今天不小心打翻湯，店員馬上拿抹布擦還詢問是否需要冰塊😊
會再訪的店❤️"
賴彥良,4,"口味很好……
食材豐富……且料理有創意！！
令人驚艷！！
惟…………特定招牌菜！……太晚去！就吃不到！！😅😅😅"
