author_name,rating,text
Kevin Yeh,5,好吃的家常菜，非常下飯。（星期一、五都休息，可以打電話確認一下，免得白跑一趟）
州,5,"【醬爆雞丁(小)140元 / 番茄炒蛋(小) 140元】

老闆娘是親切可愛的奶奶！
雖然說兩個都點小的，但兩個人吃配免費白飯真的很飽又下飯⋯吃了三碗。還有熱茶和熱（大黃瓜）湯可以享用，真是實在的好店！！希望大家能多來！！！"
張良丞,3,開了三十年的好鄰居聽說6月份老闆夫妻就要退休了，謝謝你們給我們好吃的及回憶
曾沛恩（Francis曾大毛）,5,"餐點份量充足，茶、湯、白飯不限量，價格屬平價，味道也還不錯。
最大的缺點是速度，如果在吃飯時間才到現場點菜，通常都要等蠻久的，建議提前打電話預定。"
Wei-Chih Chang,3,平價份量多，口味還不錯，宮保雞丁的雞肉有處理過很好吃，芹菜肉絲也好，爽脆口感，炒豬肝差了一點，比較硬又乾可惜，另外最大的缺點就是白飯好像沒煮透，米心是硬的，配菜不夠爽。
Ya-Mei Lai,5,從大學吃到研究所到工作，前幾天突然好想念，下班後即使不順路也硬是要去吃。老闆娘親切熱情如往常，上菜也還是以桌為順序(等待是必要且值得的)，能吃到蔥油雞、乾癟四季豆、木須肉、糖醋魚片，以及無限的白飯，十分滿足。
廖滿足,4,超過30年的好滋味，聽老闆娘說過不久，就要退休，想吃到好滋味的朋友，可以去嚐嚐
鄭治國,4,快要歇業了，把握機會做最後的巡禮
葉瑋,4,"吃辛亥有一部分感覺是在氣氛的，很適合與朋友一同前來，常常滿座（有種很熱鬧的感覺），但因為只有老闆老闆娘，需要等候較長的出菜時間。
菜色的部分個人很推魚香烘蛋、糖醋魚片！！"
yaopang liu,5,這店有40幾年了，我從小吃到大，多年前老闆請了一些韓國外籍生打工，這些人畢業後回來看老闆夫妻，是很有人情味的餐廳，願老闆身體健康。
林昕蓉,5,還蠻好吃的，價格合理。
謝一踢,5,"看到韓國女孩完食後拿伴手禮給老闆娘
兩人還相擁了一下！
以為來到深夜食堂了！很有人情味的小店！
價格非常便宜，一道菜130~180不等
以台北市的物價而言。

消費方式是點菜就好，飯跟湯是附的。
茶是直接拿一壺的，今天是茉莉花茶。

東安雞好吃! 同行的男子們覺得很懷念
螞蟻上樹以及蔥爆牛肉
他們覺得蠻像當兵的伙食的！"
Chen Lung Chia,4,十分平價的菜色 不要太講究與挑剔川味的道地精緻與否是可以給學生與附近住家的一個選擇  是一對老夫妻經營的 。
Insa,5,"很像在家裡吃飯的感覺，雖然是比較台式口味
不麻不辣，但是份量足夠，酸辣湯蔬菜很多
老闆娘又很客氣～ 很滿足了：）"
toriah520,5,樸實無華的美味
軟綿綿,5,"好吃😋
從小吃到大的好味道！
酸辣湯料多味美沒話講😚"
Soking Wang,5,"且吃且珍惜的家常菜老店，價格非常平實
耐心等候是值得的"
Shufen Lin,5,非常好吃下飯，全家每周末都去吃一餐，吃了近10年，老闆娘和老闆都很很親切，超級推薦!兩個老人家經營，有時客人多需要等比較久，但大家也願意靜靜等待，由此可知食物之美味了
Phoebe Huang,5,從小吃到大！平價美食~店裡員工就夫妻兩人而已，沒有過多人事成本，所以多年來價格幾乎沒有漲價過。超級推薦的家常美味~~
楊雅蘭,5,要成為回憶了😭
