author_name,rating,text
shy shine,1,"網路上點了外帶自取，也在線上刷卡付款，於約定的時間內來到現場，排隊的隊伍約有15位到20位，進場的速度大約五分鐘到二十分才能有一位入場。
跟現場的人員建議此方法不合理，因ubereat的餐點可以放在門口，我們因人數限制卻必須在外排隊。
打客服反應也沒人接聽，現場排隊的所有人，若知道網路預定會在現場等超過一小時以上才能拿到餐點，應該就不會選擇購買此家之餐點。
建議不要在網路上讓我們選擇取餐時間，因為這時間與現場的實際狀況完全不同。最後我等了一個多小時才拿到餐，餐點也冷了。"
BB B,1,"防疫配套措施有跟沒有一樣，店內人數5人以下是好事，
但請點完餐的客人出來等，讓餐點好的人進去拿，就這樣也不會?
預定快取要的就是減少滯留群聚的時間，
結果叫可以取餐的人通通擠在門口，不能取餐的人反而在店裡乾等?
不在店裡確診的就不是你們的鍋了是吧?
不要說別人奧客，到了現場看到你們這種擺爛的處理方式還不生氣的人我才覺得奇怪。"
Yi Hsiang Chen,1,外送速度非常慢，等了一小時才到，薯條也涼掉了而且少少的餐點居然還少送了東西，打電話回去說會補送然後就再也沒有消息了？？？
Whitefox Chen,2,"比永和中正路上的KFC好吃多了

2021/3/5更新
今晚去外帶經典A餐(6塊雞+1中薯)加點雞米花，6塊雞點了3塊金沙跟2塊辣味跟1塊原味，結果回到永和的家一看，竟少了一塊原味，想說為了這塊還要過橋就算了，但這讓原本我對這家的信任度打了折，下次要買要在現場做檢查才能離開！"
Emma Hsu,1,疫情限制五人入內沒錯 啊流程動線也不規劃好站門口員工素質又差 一堆人插隊也不管 看不懂員工在做什麼
Stanley Hsueh (Stanleypapa),1,疫情設定的動線很差，電話訂餐來取餐 時間到了還需在門口等上30分鐘
張阿法,1,疫情很嚴重我知道，已經沒有店內用餐了，做個餐點真不是一般的慢，店裡沒人感覺員工也散漫起來了
yy liu,1,"這是我看過最不快取的快取
我的餐點好了不讓我拿是怎樣？
就這樣看著它1個小時，然後變冷掉的垃圾？
然後餐點還是出錯的
2021/5/29 晚上7. 顧門口動線的店員可以開除了"
CC Jung,4,疫情期間、分流管制人員、確保大家安全。
Hanchiang Fu,1,"速度比我阿嬤過馬路還慢....態度也不是說很好
螢幕也是擺設的，備餐跟可以取餐的無法顯示！"
Teddy Hsiao,4,12:35剛在手機線上點餐覺得要等10分鐘，走進店裏看點餐序號時，服務人員主動詢問訂單和很快速 12:40 5分鐘提供好餐點
某梨安子,1,"可以接受沒餐點製作需要時間所以等餐 但不能接受等了以後提醒第二次才發現根本沒準備
飲料還上錯冰量
過去也時常網訂結果現場排超久還沒開始準備，網訂的意義在哪？"
楊羊,1,一個小時前預訂快取，要取餐跟現場點餐的一起排隊？？？那預訂快取是在預定什麼？？已經不只一次預訂快取要等很久了，到底有沒有心要做？看起來都沒有要改善的意思。
林琬婷,5,"點了6號餐，卡啦雞腿堡+薯條+卡啦雞腿+檸檬蛋撻+紅茶共189
出餐速度很快，但是雞腿沒有現炸的那麼燙
蠻酥脆的，味道還行
店員人也不錯
早上10點半沒什麼人，獨享三樓的靠窗座位👍"
陳彥安,2,點餐等候時間長，店家沒有落實提醒等候民眾戴口罩的應有作為，炸雞好吃但很不妥
Fishball Wong,2,"那晚是在台灣大學店，用餐時間是晚上過了9:30, 真的沒看過那垃圾桶、回收桶、廚餘...
那髒亂，噁心的程度..."
Wei Chen,2,台大在地的肯德基空間，廁所嚴重阻塞，建議店員加強清潔管理
Dixon Chu,4,"台大附近的肯德基
店面算大
座位多多

不過依然是個肯德基 賣得東西也沒變
既不特別 也不雷～😎

但是平常有許多學生在此看書聊天打屁打東東
排解空堂的時光

或是兩小無猜的情侶在這邊共用耳機看著書
聽著歌 哼著歌 準備著期末考
啊！這就是青春嗎！
甜甜的愛 粉紅泡泡的瀰漫
只要這樣兩個人就感覺無比的幸福😌😌❤️❤️

而對其他學生來說
只要點了一杯飲料或早午餐
人人都可以是賭神 不對
是人人都可以在此度過悠閒的時光
想著等等下一堂無聊的必修課要不要翹課 …"
林佳靜,1,一直認為肯德基的服務品質都不太好，今天在台大這間分店又發生了讓人覺得很差的消費經驗。一進門就看到點餐櫃台排了4~5位等待點餐的人籠，立馬很主動使用自助點餐機點餐，取餐時發現櫃台人員一陣手忙腳亂又急又慌張的把餐點都放入袋子裡，我心裡覺得不妥，邊走出店門時邊檢查自己的餐點.....發現漏放了一份雞米花.....就立馬回去跟櫃台人員反應，恰巧前頭取餐的另一位客人的餐點也被漏放了東西，真的覺得消費者都儘量主動使用自助點餐機來減輕櫃台人員的工作負擔了，櫃台人員在客戶取餐時就應該多花心思 …
Cindy Zheng,5,"好像放了一小段時間，皮沒有很脆的狀況下，吃起來有一點油，但還是好吃✨✨✨
加油加油💪💪💪💪💪"
