author_name,rating,text
Yung Shin Chang,5,"台大不限時咖啡廳，有插頭適合讀書！
司康超讚！+$40元有奶油和果醬，推推一定要加🥰
內用一份司康$105價格還算合理
小島鮮奶茶 甜度偏甜，但味道和諧，順口好喝"
Courtney Shih (溫室),5,"⠀
《#工作咖啡廳圖鑑》﻿P.37
公館站/ Picnic 野餐咖啡﻿
#適宜工作指數 ：💻💻💻💻💻﻿

ーーーーーーーーーーーーーーー﻿
🧡( ◡̈)/日安我是溫室
Instagram👉 @bonjour.onshitsu ﻿
給你更多咖啡廳與旅遊景點提案𓇼𓈒 ﻿
ーーーーーーーーーーーーーーー﻿

-低消一杯飲品或150$以上餐點﻿
-不限時﻿
-有Wi-Fi/多數座位有插座﻿
-光線偏黃稍暗﻿
﻿
深受台大&師大學生喜愛的Picnic咖啡☕️﻿ …"
Delia Yu,5,"鹹派好吃！很有特色
整體風格很讚～"
李妍婷,5,"不限時/有插座 是讀書的我的福音啊啊啊啊
甜點比飲料讚讚！有機會一定要吃鹹派！
司康加玫瑰醬可以平衡一下太乾的口感
一待就是六小時，希望下次可以做到靠窗的位子
平日下午大家都來看書的非常安靜，也會讓自己很有動力"
股仔貝里,4,"綜合得分◼◼◼◼◻
美味◼️◼️◼️◼️◻️
價格◼️◼️◼️◼️◻️
環境◼️◼️◼️◼️◼️
服務◼️◼️◼️◼️◼️
飽足感◼️◼️◼️◼️◻️
----------------------------------------------
🍱野餐經典培根法式鹹派
🍱陽光蘆筍鮮蝦法式鹹派
🍱法式家鄉燉菜法式鹹派
單點$130
套餐$180
---------------------------------------------- …"
你好嗎,4,"男友說鹹派給4.5顆星
少的0.5是因為太好吃了不想讓店家太驕傲？
我不太明白他在執著什麼，
但我想店家並不會太驕傲，
因為他們的服務態度讓我感覺很親切❤️"
Sally,1,"一直以來都很喜歡來這裡做事
但經過有一次結帳的時候店員突然態度不太好的說
我們前幾天的某個品項沒付到錢（雖然我自己也沒注意到底有沒有漏付到
我當下也沒有特別質疑，店家也沒提出真的沒結到的證明，只是口頭上說我們沒有付到

當下我們有補上錢但走出去越想越不對
雖然也沒多少錢，但讓人觀感不好也不太想再光臨了
希望店家更嚴謹的管理好結帳的流程～
我也就當花錢買次一教訓，未來也會注意自己所支付的錢有沒有少給"
Molly Liew,5,不限時咖啡店，有插頭，司康不錯吃，下次一定要來試試鹹派⋯雖然因為地點不是很方便，下次來也不知道什麼時候了
chia ying,4,"＊《野餐咖啡》離捷運站有些遠，可以搭公車到台大綜合體育館再步行過來，大概走3分鐘就到了，不會很遠，到的時候剛好剩下兩個小座位，詢問店員是不是可以等之後有人離開換座位，答案是可以的，而後來有其他空座位時，店員也有主動過來詢問我們是不是要換座位～

＊店內桌子排得比較密、桌面大小也不大，雖然有插座很方便，但我覺得要用一整天的電腦並不那麼適合

＊拿鐵（冰）$140
《野餐咖啡》的拿鐵對我來說稱不上順口，是偏苦的味道。

＊巧克力牛奶（冰）$140 …"
Miss Snow,3,"我跟男友在找尋咖啡店的同時
經過了「picnic」野餐咖啡
氛圍從外面看就蠻舒服的
很多單獨來咖啡廳
看書～工作～聊天......
看起來聊天的人沒那麼多

話說～
公館的小巷子總會有很多有趣的生態環境
如果細細觀察探險！會遇到有趣的店家
（還有很多特色餐廳/風味餐廳）

來聊聊「picnic coffee」
我們打開大門後
店員請我們等候量體溫及消毒
然後再安排座位

有吧台區/是圍繞著開放式廚房的大吧台
（10～12人左右的位置）算是一個L倒角型態的 …"
