author_name,rating,text
houpu Liu,5,🌹大安區的居民，這邊辦理月票游泳，價格很便宜，❤️游泳池裡面也有三溫暖，有蒸氣室和烤箱，沖水也很方便，有健身房要健身這個地方也很好，還有教室也可以來租借，現在學生很多來學習。
Aastapolar,4,在3樓健身中心的櫃檯付費200元可以檢測Inbody，有紙本和存在手機App兩種選擇，櫃檯人員說存手機的機器數值比較嚴格😂
知足,4,很特別的運動中心～居然有書法展喔⋯⋯《到2/2前是退休將軍們的書法展》～歡迎大家前往參觀👍⋯⋯
chiu c,4,運動健身好去處，管理得宜，乾淨安全，進出的民眾水準也蠻好的，健身房跑步機多，其他運動健身器材也多維護蠻好，唯獨游泳池每日下午2～4是敬老優惠時段，老人非常多，盡量避開此時段佳
姚小新,4,一樓主要是很大的游泳池，有分兒童池跟一般池。泳池外附有一間小兒童遊戲室，不過沒人管制，有小孩在裡面跳跳繩，還有小孩狂咳狂哭大人都沒在管，所以主要是使用者的問題。另外還有設幾台投幣式籃球機可以投籃。
tiger lin,2,"建築大樓的電能消耗就屬空調了，約佔電能的70～80％，政府才會規定28度以上才能開空調，這體感在運動時必定會流汗悶熱。
公辦民營單位營利低，一般工作人員220新北市板橋區低，有什麼樣的薪資水平就招募到相對水平的員工。"
謝勝朋,4,乾淨，只是健身中心空氣汗味太重，空調排氣太差所至，要大力加強
Tina Wang,1,設備老舊，外面下雨，場館內也下雨；空調似乎沒有作用，運動時感覺悶熱，空氣品質比戶外糟糕；洗手間味道挺大，門板噪音此起彼落，影響情緒；疫情期間入場人數已銳減，消費者繳交費用時，工作人員竟還得以面露不耐煩，絲毫無服務熱誠...（雖是政府委託經營，看似無須受監管？甚或北市府放任其提供最低標準服務）
Ken H,5,超讚50m游泳池，另有25m小池，分流小孩與不會游泳的人。
張竹恩,4,"撞球場
純粹為了只有公家的才有辦法真正無煙環境
不然桌布破、灰塵多也不清
燈光不夠亮、球竿跟球也不ok...
好幾年了這些從沒改善過！
市政府能改善這些嗎？一個優點換四個缺點？"
徐國棟,3,場館寬闊，泳池非常的長，是北市內少見的，但健身房的設備略嫌老舊
Peggy Wang,3,空調設備不太給力，跳有氧時教室還要幾隻電扇加持，但仍悶熱🙄
陳姵璇,1,"健身房規定要帶毛巾才能進去...
但是之前來了好幾次都沒帶毛巾就進去
現場也很多人也沒帶毛巾
結果突然欄我說沒帶毛巾不能進去
要我退錢不然就買毛巾...

如果有這項規定應該是要在我第一次來就提醒吧...
都來了一個月才知道有帶毛巾？
是你們之前管理不周吧..."
Robert Sun,2,"上週慕名而去測試一下游50公尺標準池的體能亦嚐試各種的水療設施含烤箱，蒸氣室等基礎設施。發現為數不少的設施已故障多時，現場管理員告知年度歲修即將到來。待一併排除故障。該中心應該是由台北市政府委外經營。其每日開放營業時間是6：00～22：00 .奇怪的是收費未見有折扣。那憑什麼僅提供殘缺的設施呢？？。22：00～6：00 此段時間不就是搶修時刻嗎？試問台北市府的管理單位有否去臨檢瞭解保養有否到位呢？還是放牛吃草的心態,  ??"
Liu Yu Zhen劉昱蓁,5,以價錢來說我覺得很划算，只要避開人潮去運動就可以了
張睿宬,4,壁球室設計的不好，常常網子卡球，燈光也很閃眼，但服務人員人很好，卡球有幫忙搬梯子幫忙取回，辛苦了
Amy Spears,3,"器材&淋浴間老舊,健身房平日白天人不多"
Diane Lynn,3,"對有運動習慣的人來說：設備稍舊，空間有點擁擠。
但對初階入門者來說很夠用了！"
Tony Chao,5,冷氣舒服 場地寬闊 價格實惠 服務態度佳！
Eego Lee,5,50m泳道 有烤箱蒸氣 平日下午游泳ㄉ人數剛剛好 也有一個快速泳道
