author_name,rating,text
江翎禎,1,"有陣子蠻常吃他們家的法式吐司的
結果有次吃完後得急性腸胃炎還發燒拉肚子，過了一個多禮拜才好，醫生說是吃到不乾淨的食物
希望店家能注重店內食物衛生問題"
裘裘,4,"-紅茶$20
甜味適中沒什麼茶味
標準早餐店等級紅茶
-法式吐司原味$30
好吃！(但一個人吃會膩)
-田園雞肉蛋餅$60
蛋餅皮是一層酥皮，雞肉用胡椒調味雞胸肉，肉蠻多的請看照片，店家沒有幫你加醬所以直接吃很清淡，應該是健身仔比較好的選擇。

店內位置很多
不太需要排隊
住得近的話會常來吃"
Kenyon (kenyon0619),5,"法式吐司 蛋餅都頗有水準
有幾個蛋餅特別濃郁好吃
而嫩雞是雞肉丁 供參考~
不過內用區比較深的地方好像有異味(不確定)
所以後來換到靠門口的地方這樣"
王士哲,5,"很有質感的早午餐店
以簡約的藍白搭配進行裝潢
桌椅擺設和牆面裝飾都很賞心悅目
食物品質也很不錯
很推薦大家可以來嘗試看看

－粉紅豬培根香酥蛋餅
蛋餅皮煎到香酥卻不會焦到掉屑
餅皮還保有柔韌的口感
培根吃起來口味適中
沒有一般早餐店的廉價培根感

－深海金槍魚法式吐司
這道蠻讓我驚艷的
法式吐司蛋香十足還保有一點蓬鬆感
金槍魚給得很大方，調味也很夠味
量多到不一口吃就會掉出來
尤其加上煉乳後甜鹹結合得恰到好處

吃起來很滿足，是次很好的體驗
下次一定會再找機會來品嚐其他品項！"
janet8909251,5,"難得早起的日子裡，當然要先來安好食開啟元氣滿滿的一天٩(˃̶͈̀௰˂̶͈́)و

真的很喜歡他們家的牛肉蛋餅，蛋餅餅皮很脆，多層次的口感讓人印象超級深刻，跟南部的粉漿蛋餅或是其他早餐店的蛋餅完全不一樣！牛肉本體沾附的醬汁也好吃到無話可說🤤

如果很多朋友一起來的話，也很推薦他們家的炸湯圓！一盤大約15-20顆，可以大家一起分著吃，甜甜的煉乳裹上花生粉，外脆內軟的小湯圓真的會讓人一口接一口😍

超級推薦大家來吃❤️"
Tina Liu,4,滿推炸物跟法式吐司系列。薯條跟薯餅都金黃酥脆，會撒一些胡椒粉相當提味，另外炸湯圓也是很多人的選擇。法式吐司裡面我特別喜歡甜口味的，有葡萄、草莓等口味，再淋上煉乳，個人覺得不會太甜不用擔心。他的口感相當鬆軟，跟其他店的法式吐司比起來是相當有特色的。這間店的優點是很多單人跟雙人座位，因此一個人來吃也一點都不尷尬。因為鄰近學校，平日中午時段人會很多，宜盡量避開。收據上都會有一段幽默的語錄，來吃的時候可以仔細看一下！
Alaiya Chin,5,"法式吐司很好吃！是厚的那種，不是扁扁的吐司，太餓沒有拍到照片。
蛋餅皮酥酥的，吃完嘴巴不會油乎乎。
白醬雞肉讚讚讚！"
股仔貝里,3,"美味◼️◼️◼️◻️◻️
價格◼️◼️◼️◻️◻️
環境◼️◼️◼️◼️◻️
服務◼️◼️◼️◼️◻️
飽足感◼️◼️◼️◼️◻️
----------------------------------------------
🍱田園嫩雞肉法式吐司$60
🍱阿梅味豬排起司香酥捲餅$65
🍱欠炸薯條$30
🍱薯餅(2片)$30
🍱紅茶$20
🍱葡萄汁$65
----------------------------------------------
張望了一個學期 …"
Mia Shih,1,"大前天用Ubereats點餐，點了可可法式吐司和熱拿鐵，
但拿到的時候法式吐司是冷的，吐司與可可醬也是散亂的，
熱拿鐵是苦的，跟平常在其他地方喝的拿鐵很不一樣，
味道怪怪的，本來不以為意，但吃完以後，
就開始嚴重胃食道逆流與火燒心連續三天至今，非常不舒服，
今天還去看醫生，醫生說胃有發炎現象，
感覺食物好像沒有很乾淨。"
蔡蔡,5,最喜歡巧克力法式吐司，巧克力有顆粒很特別很好吃，已再訪很多次，雞肉捲的話也不錯，只是雞肉有點乾的感覺，但給的份量多還不錯
