author_name,rating,text
Carol Lee,1,110元的打拋肉便當，打拋肉佔了兩格，很幽默
林承恩,5,"飯、湯、飲料可以吃到飽
獨門醬汁很好吃"
Dung Pham,3,頁面不是這家的店門、網路照片也很多不是這家的菜色😞網友給點評也要弄清楚是哪家店好嗎？被騙而來了！！
Joanne Leung,5,"來公館找吃的，從夜市的一端走到差不多盡頭，看到這家你看起來不錯的，小小的泰國餐館，點了個NT$120的碳烤霜降豬肉飯。

這裡白飯和蠻好喝的雞湯都是任取的，不怕吃不飽！豬肉很多配菜，非常好吃！唯一不太完美的是菜不那麼熱，對我這個香港人來說有點不習慣。

台灣隨處都有經濟好吃的！"
姿婷王,1,超級難吃，花了110塊感覺沒吃什麼東西，咖哩裡面兩塊雞肉，對你沒看錯，兩塊！！醬汁一般，跟7-11一樣。店裡有股不知道什麼怪臭味，很悶的臭味。男友吃的雞腿肉還可以，那個咖哩真的不知道在幹嘛....真的第一次來師大就被當盤子，110不知道在貴什麼
chi chi,4,每次來吃都吃雞腿跟霜降豬肉，雞腿軟嫩入味，霜降豬肉雖少，肉質鮮嫩爽口，尤其搭配獨門醬汁(有梅子酸甜感），更開味。配菜普通，用餐環境尚可。
Vera,4,元富期貨公司訂的，碳烤霜降豬肉很嫩又夠味，有些部位帶筋有嚼勁，醬汁略酸甜很開味，配菜三樣，滿有特色的，可惜吃不到碳香味，可能醃過的豬肉味道偏重吧～被醬料蓋過去
Jack Hung,3,以前是平價且美味，而且白飯、湯可無限取用的學生取向餐廳。但多次漲價後，C/P值下降，只有在懷念學生味道時會去吃。
葉冠宏,1,"難吃死.... 菜是涼的、肉的醬有一股強烈臭酸味 用餐環境潮濕、悶臭。
$120 給我我都不要吃"
Elbert Liao,5,"不知道是錯覺還是⋯
每次戴金項鍊的老闆在時，烤的都會特別好吃，但是老闆不在就普普"
陳玟萍,5,回訪好多次，香茅豬排好好吃😋配菜都會換，位置不擁擠，可以好好吃飯的店家。
Amy Yang,5,雞腿跟松阪豬都好吃，白飯也煮的非常Q好吃，CP值滿高的
黃琦翔,5,內用可以一直吃白飯和喝雞骨頭湯，湯裡面的雞骨頭很多，也會有菜，菜每天不一樣，有可能是豆芽菜、高麗菜、白蘿蔔其中一種。
黃煜熙,5,"泰式雞腿飯就是要吃師大第一腿呀！
雞腿飯的醬汁真的是畫龍點睛呀！"
Ting,4,菜色不錯，但是餐具使用美耐皿，美耐皿只耐熱40度.......
陳俊佑,3,"飯湯自取還不錯
招牌的雞腿不好吃，反而是霜降肉片很不錯
推薦學弟妹來這邊點雞腿以外的菜單XD"
張淑華,5,泰式雞腿肉香，香烤🐷肉特別不會硬，配菜覺得有點少白飯湯無限享用
洪鼎睿,4,"雞腿是真的好吃
可惜配菜太普通甚至偏難吃
只好扣一星"
邱郁珽,4,"碳烤雞腿飯好吃，飯湯免費吃到飽
適合食量大的學生
湯裡的大骨每次都吃到很爽"
Kelly Wu,4,"師大第一腿
師大的學生應該都吃過
公館店的配菜感覺比較好吃有價值（上次我在公館買的有涼拌木瓜絲）
價格上公館的比師大路貴$10
師大路店裡面的位子比較小
厲害的應該是那個醬汁"
