author_name,rating,text
楊彩琳,4,超級老牌的麵包店😂😂貝果好吃🥯還有蛋糕便宜又大碗喔
angel shen,4,之前來買過 覺得還不錯吃 尤其他的蒜香麵包好吃 推
連衛安,5,"本身不愛吃貝果，但是這家真的好喜歡
花生很好吃"
C Mickey.,3,"#0508
蘑菇pizza 麵包嚐鮮
雖是蛋奶素成分麵包
口感卻一點都不清淡
偏重口味
防疫需求
目前麵包都已經單獨包裝供客人挑選
※※※※※※※※※※※※※※※※※※※※※※※※※※※
交通方便近捷運站
貝果口味買五送一
藍莓乳酪跟楓糖好吃會回購
葡式蛋塔也不錯
咖啡核桃蛋糕質地變硬
沒以前那麼好吃
巴斯克乳酪蛋糕新品上市
卻沒提供切片販賣
建議切片販賣
比較適合單獨消費並想嚐鮮的顧客"
曹靖媛,5,"去看完台大杜鵑花之後，就去附近找點心吃，沒想到被我發現一家這麼厲害的蛋糕店！
一般的貝果口感我不愛，覺得太硬，但是他們的貝果超級好吃！我只買了一個芝士貝果（好後悔沒多買幾個）皮薄、酥脆，內心軟Q、很有嚼勁，味道也很香！價錢也很便宜！
下次我要買不同口味，還要買他們的雞肉派（比外面賣的大很多）！"
咪醬,2,消費經驗不佳，連使用的原物料是什麼都不清楚。ㄑ
Yushan Wei,3,貝果好吃買了很多次，可是買多的時後發現各個品項發票沒有價格，只有總金額，1.2次回去才發現被多算錢了。
MAX,5,貝果還不錯，比較偏鬆軟，有點像711的軟法，路過都還去買，可惜星期六只賣冷凍的
Ming Kao,4,吐司不甜，好吃。可惜不預訂，隨性來會買不到。
李惠鈴,5,三代傳承的老店，我愛吃法國麵包抹大蒜醬還有貝果麵包皮Q彈內軟，兩種麵包口味挺多，一次購好幾條，放在冷凍庫要吃直接拿出來烤3-5分鐘就像剛出爐一樣，超級適合我可以存放多週，隨時想吃就有熱騰騰的麵包可以吃🤪超有幸福感～
33 5,1,"培根法國麵包已改為軟麵包和以前脆的不一樣
變不好吃了👎
1.該品項調整並未明顯的注明
2摸上去發現是軟的立即表明要退（尚未離櫃）
說是因爲發票登在載具沒辦法退

經查主關機關公告資料
發票就算開載具也能退"
方大頭,3,"「得記」創立於1960年，店名取自於創辦人陳再得先生之「得」字而命名，至今已伴隨著公館走過半百個年頭了。

最早設立的「得記」店鋪，初期一樓以販售罐頭雜貨及一些傳統麵包為主，二樓是名為「得記古典名曲」的咖啡廳。在當時經濟並不富裕的年代，幾個台灣傳統甜麵包：紅豆麵包、奶油麵包，可以喝咖啡的情人雅座，讓座落於充滿濃厚人文氣息的公館的得記，陪伴了許多台灣大學、國防醫學院、三軍總醫院的莘莘學子一同成長，為許多學生留下無限美好的回憶。 …"
Kate Kao,1,買了熱狗堡跟三明治，三明治超乾，熱狗堡有夠偷功減料，不要叫熱狗麵包叫美乃滋麵包吧！熱狗切片放，連半根都不知道有沒有，一口咬下去超油都是美乃滋跟菜感覺超噁，美乃滋又調的不好吃。失望，看評價不錯才來的。
Cheng Isaac,5,每次來這附近必買我愛吃的菠蘿麵包，家裏附近賣到32元還普普…
陳建萍,3,海綿蛋糕20漲到28，45元的咖啡核桃瑞士捲蛋糕停做，蠻可惜的！藍莓乳酪貝果還不錯吃！葡式蛋撻冰過好吃！
vivi,5,經過都會聞到陣陣麵包香，每次去公館必買的ㄧ家麵包店。店門口都會有現烤的香蒜法國麵包、咖哩法國麵包、花生法國麵包，切成ㄧ塊ㄧ塊供客人試吃，1個35元，3個100元。店內環境清潔，燈光明亮，麵包擺放都很整齊，麵包盤擦拭的很乾淨，麵包種類也很多，招牌貝果有很多口味，原味、楓糖、藍莓乳酪、花生、巧克力⋯也會切成ㄧ塊ㄧ塊供客人試吃，有賣冷凍的貝果，可以買回家冰凍，隨時想吃的時候，自己在用烤箱稍微烤過。現在好吃的波蘿麵包很少，德記的很好吃，有傳統的味道，也有做成波蘿油，花生、芝麻、椰子奶 …
C J,1,外面賣烤麵包的人員態度非常的差
Cheng Kitty,4,喜歡吃這家的大蒜烤吐司及奶油餐包。
Yin Chen,3,"2020/8/7

海綿蛋糕30:微甜，配黑咖啡應該剛好
貝果一個40
花生口味：花生醬滿好吃的濃濃得
起士口味：外層起士，烤了後酥脆"
小芒,5,可頌、三明治、麵包及甜點等都很好吃!
