author_name,rating,text
Chen Jo,4,街角靠巷邊，只此一席坐，最有FU的位置！
珊珊,3,"最常來此門市消費，那天遇到太ㄎㄧㄤ的店員，心不在焉的，感受不好。
而且喝完之後上吐下瀉（不是很確定是不是星巴克造成，但可能性極大）"
Stephanie Yu,5,清幽，很適合看書，但是人蠻多的，還是可以找到位置。
Jade The Best,5,可是我沒去啊，我比較窮都去旁邊路易莎。
Matt Yu,4,假日比較吵一點，對面就是台大，很多學生老師會在此出沒。店員很親切，會仔細說明飲料的作成與搭配。
劉至謙,5,因應防疫 營業時間有改喔
Quiny Hsieh,1,服務態度很差，尤其是叫Mickey的人!
穎川げん,5,店員態度好～繪畫功力也超強，前面的杯子根本是藝術作品XD
黃小姐,3,一週去三次，都沒有辦法買到早餐蛋松露堡（店家根本就沒訂）不然不會每次都這麼剛好
Sue Chiu,2,這家星巴克店員服務態度不佳，不若其他門市服務給人愉悅感，有待進步。
YC Yang,5,店員親切，環境不擁擠也不吵雜，景色優美
Tim Kuo,4,到了就讓人有回到了家的感覺
江雅筑,5,空間舒適，服務態度很好，會主動打招呼
Chang Gary,5,座位蠻多的....靠牆的一排座位下都有提供插座可供客戶使用！廁所的清潔度也非常好👍
蔡承臻,4,一大早就生意不錯，點餐結帳蠻快，座位稍擁擠
mickey M,2,一早心情就被破壞掉，使用環保杯裝咖啡，結果杯子外圍全部是溢出來的咖啡並未做擦拭感覺很差，
Sylvia Wu,5,位於學校附近的咖啡店，有大片的落地窗，天氣好時可以欣賞到安全島上的綠蔭美景。服務人員相當親切，會主動提供近期的優惠活動。
張䕒尹,3,夏日新口味，不錯喝
noname noname,2,位在地下室的廁所很噁，建議打掉重蓋。
簡赤焰,4,冷氣有點太強…
