author_name,rating,text
ChiWen Chang,2,"老闆一直緊迫盯人，讓人吃的很趕...
店內提供燒焦的海鮮煎餅，無法接受。

跟以前用餐感覺差很大！"
Linda huang,4,2021元旦假期與老爺騎著腳踏車到公館，天氣好冷，老爺想要吃暖呼呼的烤肉，因為臨時起意，所以就找了這家愛樂廚房-韓式烤肉，老爺與朋友一起來過一次，銅版烤肉吃到飽一人398元，不用服務費，價格整體來說非常划算，有海鮮煎餅、部隊鍋、炸雞等吃到飽，韓式料理的各式涼拌小菜也都有，肉類有6種都是吃到飽，最後一般的汽水、橙汁、檸檬紅茶也一應俱全，店在二樓，旁邊就是是小公園，用餐景色不錯，我們下午二點半左右到，只有三桌客人，可能昨天大家都在熬夜跨年，所以沒啥人，總之愛吃銅版烤肉的人是不錯的 …
HMH Tofu,3,"有數種韓式小菜 6種肉 蔬菜 炸雞 煎餅 炒飯 冰淇淋機東西相當多樣 但其實只推薦大家烤烤肉就好
肉的部分不會因爲他的價格便宜而不好吃
尤其醃過的辣雞肉 豬肉都特別好吃
他提供澆在銅盤上的是水而非高湯
所以蔬菜類跟火鍋料的根本沒什麼味道 有點可惜
煎餅跟炸雞可能擺久了 不太好吃 勉強還行
辣年糕泡久了其實軟爛的 沒什麼口感
他還有送一碗小的部隊鍋 泡麵部分有點煮太軟
但整體算好吃的了
老闆的服務其實很親切 但真的沒什麼服務品質
桌子黏黏的 但沒收服務費還可以
整體而言以cp值來說有四顆星
想吃肉的學生可以考慮
如果要吃好的 則是三顆星 不建議抱著太高的期待"
國見比呂（林聖博）,5,除了本身銅板烤肉之外還有附小菜，煎餅炸雞，部隊鍋，cp值超高。
Cindy Yu,5,"海鮮煎餅 炸雞 部隊鍋 和各種小菜都很好吃
肉也沒有因為是吃到飽而品質不好 真的很棒❤️
以後一定還會再來！
（不懂為什麼當初看評價只有3.5顆星⋯⋯
（根本超過五顆星了！！！"
Allen Chen,1,"平日（禮拜三）中午13:00來，
整間店空盪盪只有兩桌客人，
一人前來用餐被拒絕，
連加價都不行。
（重點是也沒有註明不能一人用餐）

真的很會做生意。"
陳冠樺,3,位於公館商圈2樓，吃到飽的韓式銅盤烤肉料理餐廳；雞肉、豬肉可選，羊肉騷味明顯（較不建議），辣炒年糕、海鮮煎餅（菜量比花枝多）、部隊鍋（泡麵好吃，搭火鍋料）、炸雞（完全素雅，沾辣醬），小菜普通，沒到一盤皆一盤，但也不難吃；鮮少吃銅盤烤肉的人，建議不要來，因為烤焦了，老闆娘會不太開心噢噢！
Alibe Chen,5,東西好吃又多元，如果有在做減醣的人也適合，果然是吃幾十年都很棒的餐廳
Wei Chang,5,"學生時期最愛來的餐廳
除了銅盤烤肉最喜歡吃他們的海鮮煎餅和炸雞"
憶憶,5,老闆娘親切熱情大方。上菜上到還沒吃到一半就已經快飽了。好吃。一人398不用服務費，用餐時間一個半小時（老闆娘的口語，夠啦夠啦。）哈哈。
Lucy,3,對於愛吃肉的人銅板烤肉是好吃的，其餘的熟食真的還好，不過價格便宜CP 是算高的
Ann,1,環境衛生不佳 一進去桌上有先擺好的火鍋配料感覺是放很久的 盤子上有很多灰塵 火鍋加的湯也只是水而已完全沒味道 自助區更不用說超級沒衛生東西完全沒用蓋子蓋起來都不怕東西跑進去？肉就像重組肉一樣 一夾就散 牛羊豬味道完全一模一樣根本沒差別 炸物感覺也是放很久整個是冷的 辣炒年糕完全沒味道溫溫的一點都不熱 吃一塊肉就完全沒胃口 才剛吃而已就急著來收錢是怎樣 吃個晚餐好像是買罪受一樣😑😑
鄭捷文,4,第一次來用餐，小菜種類很多，一人398不加服務費，炸雞，海鮮煎餅不錯吃，外場1人的服務也親切，樓梯旁一架鋼琴也可隨興去彈喔
黃貫庭,2,在2019年中去吃的，跟大學時比起來好像有換經營者?不確定，不過整體的水準不比當年，當天吃飯時送的海鮮煎餅是冷的且是酸的，然後自助區有蒼蠅，衛生環境水準不夠，肉印象中是醃製過的，吃起來就那樣子，對我來說，整個用餐品質是無法對得起收費的，不過用餐後段越來越多人來，甚至滿場，看來是我沒有吃到這間店的精隨。
S.Q Wang,3,交響樂伴食，感覺蠻舒服的，口味偏鹹，服務還算不錯，假日生食青菜僅限一盤，讓人傻眼，單獨吃調味肉片，鹹到吃不了幾片，小菜食材雖是一般，但料理的不錯吃，算是亮點之一，不建議假日去，沒生菜真的很扣分。
M J,4,"禮拜天大人398的價錢很親民👍👍

外場先生豪爽可愛，我們第二輪只要了炸雞跟煎餅各半份，仍然送來近全份的量，並邊說半份怎麼夠吃，好親切！😆"
雅心游,5,"超級無敵大堆❤️
是我這輩子吃過cp值最高的韓式烤肉
部隊鍋 炸雞 還有一堆小菜都非常好吃"
チンシズカ,2,"衛生，服務正常
食物不優，只有吃飽
菜盤選項不多
小菜有怪味
環境普普，學生居多，吵雜
一分錢 一分貨"
missy Yang,3,價錢公道，愛吃銅盤烤肉的朋友最好的選擇，但是肉的味道有些過鹹，用餐時，老闆總是說好吃要多吃一點啊！溫馨的待客之道的感受就像在自家一樣，但是調味醬料下手太重，導致肉有點過鹹，讓我頻頻喝水緩和過重的口味
Richard Chen,5,有人情味的老餐廳，唸書的時候來吃過幾次，後來到外地當兵工作就慢慢遺忘。今天剛好經過，就上二樓來懷念一下。一樣的老味道，一樣的高CP值。一人 398，不加服務費，烤肉，小菜，炸雞，煎餅，部隊鍋，霜淇淋，飲料吃到飽，划算。
