author_name,rating,text
chi chi,4,環境優美，很有藝術氣息，可進校逛逛走走。
涂咪咪,5,"麻雀屏中選
雖然小 內涵博大 師資優 圖書館管理優質 應有盡有 以個性  以人性管理著 雙袋服務 工作人員 親切無比 非晚娘 待遇  謝謝 教育領導有方
前人種樹 後人乘涼
前江後浪推前浪

教育成功之一
教育為百年樹人
人人有責
人人或得
感謝所有工作者

謝謝有您們真好"
李天堯,5,"國小教程紮實的學校👍👍👍！
我們的考試制度根本無法測出人格特質優秀的地方 ，
所以認真努力的你，
不要被學校限制，
考試只代表知識熟悉，
生活、工作應變、情緒控制、與人合作等價值觀與能力，
是時間才驗證的出來，
為自己的選擇去付出和負責，
才會真正的成長與蛻變成人才😀😀"
Jesse Chen,5,我也不是這裡的學生，但總覺得充滿回憶。
呂嘉和,5,小朋友寒假可以進去打籃球（採實名制），比友善小學需到下午六點才能使用，方便很多，小孩多一處戶外活動空間，感謝國北師。
恆智實業隔熱DIY材料、住家隔熱、廠房隔熱,5,"交通方便
歷史悠久
教育莘莘學子的教育界巨擘👍👍👍"
鄭文淵,5,一級棒！警衛先生很負責！常言道：警衛是學校的門面，國北很成功！只是目前實名制，真的辛苦了！
Edward Yu,5,台北教育大學位於和平東路二段，附近交通四通八達，搭捷運或開車都十分方便，由於接近台灣大學，因此用餐也有很多選擇。台北教育大學校區並不大，校內停車每小時收費五十元，警衛也十分客氣，校園中廣植樹木，因此許多鳥類也在校內棲息。這裡也是附近居民運動、散步或帶小孩活動的地方，操場與綠地上常見繞操場快走運動或玩飛盤的孩子們。校內宿舍區中間的活動中心設有餐廳，便利商店，二樓是書局，方便老師和學生們用餐與採購文具用品，對面的成功國宅附近也有許多餐飲店，生活機能完備。
Jenyi Chao,5,百年創新名校、師資培育搖籃
Mooday,3,"學校好小
明德樓沒有無障礙設施 腳受傷很不方便"
李俊卿,5,可以在校門口咖啡廳喝咖啡，也可以去操場輕鬆的慢跑
羅根,4,以周圍球場來說，風害較小。
馬佩婷,5,"校園建築物看起來很有古典美，如果可以，是個適合拍照的景點～
交通方便，教室明亮，廁所乾淨，是辦研習的好地方！"
Artist 王娟娟 Gloria Wang,5,很有歷史的校園，承載過去與將來！
sherry張,5,"是一個非常美的學校～
保有人文、建築、藝術的好環境，也培育許多的人材！"
邱仁一,5,日式風格校園，現在期間進校園需要填寫姓名投入記名箱。
Bonnie wow Wow,4,"滿舒服的學校，警衛也很和善。
離捷運站很近，感覺整個學校感覺乾淨整潔，小而美。"
CT Shih,5,教授的教學經驗豐富，校園精緻
葛志鵬,3,學生活動中心4樓上課，椅子不是8分舒服。
林家皜,5,不怎麼樣 沒啦 五顆星 國內小教天花板吧 我覺得啦 我說我啦齁
