author_name,rating,text
翁鉫復,4,普普通通，可以用悠遊pay
連芋兒,1,吃一次就夠了，皮變厚，價格也變貴。賣的很跩，50元去隔壁巷可以吃好又吃飽
SUPERGOAT山羊,5,超好吃一定要吃他們的辣椒🌶️ 保證讓你嘴巴很爽。
ChingYu Pai,5,吃過這邊的蔥餅之後，就會覺得蔥餅就該這樣，外皮煎得金黃酥脆咬下又帶有嚼勁，內裡的三星蔥新鮮甘甜，可惜相較以前份量有減少，但還是讓人很滿足，跟一般$30的蔥油餅是不一樣的層次😁時不時會讓人回味，生意很好要早點過來，以免賣完收攤撲空嘍
李均慧,1,"變貴難吃，壞了宜蘭蔥的美名，態度又差
對面超商的微波蔥餅都贏牠"
WU DAVID,3,哇靠，竟然一片已經50了，哈哈，重點是變難吃了，態度也不好！
Ivy Lin,4,味道不錯，辣椒夠辣。但料太少在吃餅皮的感覺較多。
sxqert SU,1,看到一家人全都在抽煙桿麵皮 也太噁
步芝明,3,"1080630週日點心：
1.外地人路過買來嚐鮮，一個50元太貴了，如果30~35元還可以接受，50元應該是麵館的價錢。
2.口味如同前面的評論一樣，稱不上特別好吃，蔥不算特多，麵皮的確厚，難怪沒有排隊的人潮了。"
Lucy Huang,5,香酥餅皮恰恰好的筋道，一口咬下熱氣撲鼻是麵香蔥香，吃到最後也毫不油膩，超好吃
XE TDEE,5,很好吃，會讓人一直一條一條吃下去
阿光,2,50蔥變好少QQ 某一男老闆態度很差，問一下蘿蔔絲餅的問題態度很不耐煩
Nic C.,4,現煎餅皮酥香，皮薄餡多，青蔥鮮甜不辣口。數量有限，有時傍晚便完售。
Robin Huang (Switechic),4,不會太油，加了辣醬就蠻好吃有味的，個人沒有偏好蔥太多，這家的餅皮很有嚼勁，趁熱吃好吃！
李品欣,5,超好吃，簡簡單單 蔥甜皮脆
林宗明,3,辣椒有辣，餅皮有點脆硬，蔥沒有想像的那麼多。不錯吃。一份50元。
陳奕安,4,"服務態度是不算好，反正我也只是買個蔥油餅也不太在意。味道幾個月前比較好吃，蔥香皮脆胡椒辣，真的棒。現在感覺蔥變少了點，導致餅皮變得比較乾硬，香氣也沒那麼濃。
推薦偶爾當下午零食吃。"
HsinYun Chang,5,加辣椒醬很讚，一個50元份量很多可以直接當正餐。
王惟惟（惟惟）,5,目前還是50元
gha778813,1,一個50塊太貴，中間都是皮，只有外圍哪圈好吃😂
