author_name,rating,text
劉文玲,5,設計優雅，空間明亮寬敞，座椅舒適合乎人體工學，還有沙發臥舖可供小憩，真的十分人性化👍
鐘jeremy,5,台大校區幅員廣闊，進到校園以後彷彿你來到了另外一個世界，這裡是在日據時代就有的校區，有很多的歷史建築古蹟和學生宿舍教室 都在這個區域裡，內容多元，不多來幾次是沒有辦法了解這裡的現在和過往的歷史故事。
David Chang,4,到此散心不錯，只在外面繞繞，很不錯的建築，很有風格，從外窗戶看進去，裡面感覺很優雅漂亮，校內圖書館還是留給學生一個安靜的讀書空間。
王智勇,5,與周遭草地融為一體的綠建築，讓擁擠的校園帶來一點清新的氣息。
翁士軒,5,挑高的大面玻璃牆，坐在裡面讀書相當舒適
zhenlin jiang,3,自修室不開放給校外人士 ，應該的，但是除了自習室根本就沒地方可去，只有寥寥幾個休息座位，這最多讓人進去走一圈，實在缺乏誠意。隔壁台師大這一點做得就非常好👍
stan chen,5,於台大校園內、為極具現代設計的圖書館
Jason Zhou,5,"個人覺得
伊東豐雄最好的作品
都在台灣
1是台中國家歌劇院
2是台大社科院圖書館
台灣也成就了伊東豐雄
因為像台中國家歌劇院
在日本是無法完成發包
許多日據時代在台灣的
殖民西式建築也是如此
先在台灣進行建築實驗
才在日本進行完全複刻
要列舉的建築枚不勝舉
古哥一下會告訴你很多
也和日本汽車工業一樣
不敢像福斯集團般新創
要等市場成熟後再複製
日本對外勇於新創
對內幾乎極盡保守
台大會培育不出
下一個伊東豐雄？
不是的
是因為現在的台灣社會
太瘋狂於政治
台灣的新創人才漸流失"
CJung Kuo,5,好的沒話說， 六星級圖書館，硬要挑剔的話， 就廁所衛生紙及洗手乳常常用完沒有補充
Ruth Chang,5,可惜當天圖書館已經關閉了！但欣賞伊東豐雄也是很開心
Steve W. Lai,1,"Very disappointed, not structural glazing, but just curtain wall, and they are not 4 sides SSG.

太失望了，外牆不是 structural glazing，而是 curtain wall。花了這麼多精力做樹狀造型，被 curtain wall 完全破壞美感。"
CH B Chen,4,此圖書館有門禁管制。外人要換證。門禁旁有置物櫃。
Yuan元,5,"很美的圖書館
如果當初我們有這麼美的圖書館
我就會認真唸書了"
周傳威,5,辜振甫先生紀念图書館位台大後門，設計新穎，管理超棒，藏書丰富。窗外車潮不断，內有辜老前輩塑像。 是充电感恩好地方。
Chen Jo,4,"越來越多的設計融入了新潮科技，和新潮建築元素，走在尖端，完全突變的設計和傳統校設日式西洋建築有大大不同的格局，尤以採光和隠密性是完全不同的！多留了公共🈳️間，玻璃圍幕間隔，似有若無，格局似大實小，一覽無遺！
有時間走走，感受一下⋯⋯"
李宜璁,5,書中自有黃金屋 圖書就是該有這樣子的環境 才能夠創造更多的人才
Emma Lee,5,校內學生讀書的好去處，一樓座位寬敞，附插座，景觀佳！
謝尚晉,5,謝謝乾爹斗內我們圖書館
Chi Derek,5,下載電子期刊資料非常方便。
Lady Emotions (LadyEmotions),5,美麗開闊風景的好地方，除了飲水機有點難找
