author_name,rating,text
allen 4u,5,腹地很大空間寬敞，很多活動在此舉辦，近期CWT57在此舉辦活動，不少Cosplay也來參與，正好前往練拍，每一位Cosplay都很用心扮演也非常大方讓人拍攝
KAI SHUN,5,"補 2018.03.16
人生看過的第一場音樂劇獻給了《貓》在台大體育館。果然現場就是不一樣，經典中的經典！
Memory 很好聽🎵🎶耳朵懷孕了"
李允中,5,即日起到2021/6/8為止，因為疫情加劇暫停開放
利維リヴァイ,5,今日參加場次 校園景色寬廣美麗 休息地點多 是個適合散步 休息 悠閒的娛樂場所
停移,5,連續兩天、難得有機會來看排球的企業聯賽，球場看起來很大很漂亮（大到我跟朋友在走廊迷路）還在球場跟喜歡的排球員拍到照了，非常開心也美好的回憶（直接給五星好評🌟🌟🌟🌟🌟）
Andrew Lee,4,一間還在賺自己的營運和當初建設費用的體育館  辦很多活動賺資金 有時候系隊練球都沒場借  也沒什麼辦法
Dan Chiou,5,來台大公館商圈逛街，或是搭配大安森林公園行程，可以將車子停在綜合體育館下方的停車場，車位多且停車格空間寬敞
鄭佳宜,5,"為了春酒來的
在等待進場先在外面坐坐
很愜意舒服

可以看看別人打球"
海豚掀肚子,5,真是充滿回憶的地方。
Shiawminn Lin,4,台灣大學第一學府，校園充滿古色古香的氛圍，醉月湖旁邊的綜合體育館則稍顯現代風情。
rong-liang shyu,3,車位多 但晚上停車後走出停車場梯間跟廊道一片漆黑 雖有感應式照明 但婦女朋友還是要小心
王麒,4,校園內的公共廁所太少了，找一個廁所要走好遠....
14宸瑜張,5,cwt  場次很大 商品多 COSPIAY也很用心 不輸台中場 CWT
Jo Chang,5,\(-ㅂ-)/ ♥ ♥ ♥3層樓逛好逛滿
allen lin,5,健身房學生價很便宜，但是設備可以增加種類或是換新
O LIO,4,掉鏈子的主辦，文化對世新都開打5分鐘了，得分版校名還沒改
HU G,4,一個盈利賺錢大於學生使用優先權的體育館
汪小小,5,讚讚讚！…♡d===(￣▽￣*)b ♡啵兒棒地啦！…
家和Kerry,5,很好辦活動的場所 是學生的回憶 另外還有很棒的游泳池 健身房等運動場所 是個台大人的運動中心
黔揲,4,常常舉辦大型活動的場所，在CWT和杜鵑花季的時候來過，館內的WIFI收訊有一點差，自己網路也沒有好到哪裡.......
