author_name,rating,text
Often,3,"咖哩味道還不錯吃
但有點出乎預期的是豬肉...
不是肉塊是碎肉，
這樣就有點像肉燥加咖哩
追求肉嚼勁口感的人可能會有點失望
餐點有附一杯飲料
點餐時可要求免費加一次飯
但起司另外單點一片要 $15 稍貴了些"
張淑英,4,"用餐時間路過，咖喱控的我，就進去吃。
咖喱味道、醬汁稠度，OKAY
我點咖喱豬肉，雖說是肉燥，但好入口。
會想再來試其它的主餐的餐點~"
Wen Liu,5,每年早春三月天必定到台大賞杜娟，昨日下午趁著好天氣走逛了一圈，花開燦爛(爆棚)!之後照例走到此店吃晚餐，鷄肉咖哩十蔬菜•牛肉咖哩十蔬菜均為130元。漂亮的盛盤顯得秀色可餐，一口吃進咖哩香味滿懷，肉類軟嫩，青菜香甜，好滿足的感覺。雖稍有辣味，配喝一口紅茶，頓覺舒暢，謝謝店家!多年來維持不變的口味，使我飽足身心健康。
Jasmine Hsieh,3,"吃了好多年了
從大學時代
今天看店內人居然不多
吃完後果然.....退步很多
連豬排都不好吃了"
SHANYU,3,豬肉咖哩味道算不錯，份量一般，豬肉是碎肉，沒什麼青菜，有附飲料。
Allen Lin,4,平價好吃，二樓地板不平衡，坐久了半規管不太舒服。
Sean Wu,2,"吃了10多年，只能剩下感傷。
品質越來越低落，以前非常喜歡這家的咖哩，味道濃郁好吃，但這一兩年每次吃都明顯吃出退步，配菜越來越偷工減料就算了，咖哩也越來越稀，以往厚重的香濃幾乎留在回憶…"
chris lei,3,午餐点一道蔬菜魚飯130元很便宜
HOBBIT LUNG,5,從小吃到大的咖喱，老闆熱情咖喱濃郁！
吳玉瑩,5,餐點好吃，價格公道。
YCERIC,2,炸魚有很重的腥味 咖哩口味還可以  雞肉才四塊 附上的紅茶喝起來已經沒有茶味很像糖水 應該是水混得太多 比較嚴重的是用餐環境真的需要加強 不是很推薦
林思涵,3,餐廳過度安靜、感覺衛生沒有很好，氛圍不太佳，餐點還可以
Wang J.S.,3,咖喱口味濃厚，送餐速度快。店內位子不多，空間偏小，樓梯設計有點陡，要自己小心😂
Mark Liao,3,味道不復當年（2018）
獅子,2,"好吃度：3顆星
價錢：4顆星
衛生度：1顆星
服務度：4顆星

說真的食物不難吃，我點豬排咖哩，附一杯紅茶。
價格120元，白飯多到吃不完。
他的咖哩味偏一點點小微辣。

但今天的咖哩溫度不夠熱...
所以吃起來口感沒有上次外帶的好吃。

會給2顆星主要是餐具🍴的衛生度，湯匙🥄有污點（咖哩渣），附餐飲料杯子感覺濕的（外杯有水、杯口濕濕），整體感覺不舒服。

吃完飯離開...看見杯子水沖...沒刷...然後就疊在一起！我想就是我們桌上那杯了😭😭😭

衛生環境沒改...應該不會再來了，有點可怕😱"
Ying Ting Huang,5,還不錯吃啦～平價且能吃很飽，雖然豬肉咖哩是碎絞肉的形式，但配上稍甜的咖哩醬還行。碗中附有一朵花椰菜⋯希望可以再多一點哈哈。豬排部份也可圈可點，整體來說尚可囉！可內用也可以外帶，內用附有紅茶一杯～
Jason Wu,4,"好吃，咖哩濃。豬排酥脆。
讚!"
EVE LEE,1,"詢問素食能不能吃
回答可以喔
結果有洋蔥"
Lin tzu yang,2,點的是豬排咖哩，先說總結：餐點味道中下，但用餐環境髒亂。咖哩口味偏日式，味道與sukiya的咖哩差不多，咖哩中約四塊紅蘿波與一塊花椰菜，白飯口感算不錯，豬排瀝油沒乾淨，炸的不夠酥脆，肉質不優，且有些許油耗味，不推！
宗宗菌,5,好吃，不貴，朋友推薦的果然很棒
