author_name,rating,text
安德烈,3,因應外帶五折，所以跟風吃一下。吃過一次公館店但沒印象服務不好，但這次電話訂餐是位女生態度很急很不客氣。我打了十五分鐘才打進去，一要訂餐就跟我說鮭魚和串燒類都沒有，我突然愣住，因為本來都決定好要訂什麼了，突然需要思考一下下要改訂什麼，對方就很不耐煩直接問說你要看好再打嗎？excuse …
佳佳佳,1,"首先 現在疫情期間大家都很辛苦
謝謝狗一下出了優惠給大家方便跟很開心！
真的很謝謝你們。

但我還是想要在此說一下訂餐感受…
本來是滿懷欣喜
因為很喜歡狗一下食物
也適逢要生日
決定用狗一下當作生日大餐 😂

但是..
覺得店員電話態度都不太好 不論是昨晚或者今天.. 我是很有禮貌的詢問 但是店員態度不太好。
再者-串燒類已經賣完
電話裡 昨晚告知家人「無法外帶」 …"
Abby Lo,1,"疫情期間,電話打不進去而選擇直接到店點餐,依照指示店外填單,填好要拿進去給店員,就被喝止到外面等?如果沒有進去告知,會知道客人要點餐????而另一人不知情是外送人員還是哪位,卻可以直接進入餐廳????????"
Joan,3,"吧台位置真的太擠了
有被硬塞進去的感覺
iPad點餐可是菜單規劃不怎麼好
很難找到想要點的食物

玉子燒不錯吃
鮭魚的肉質不錯
明太子雞的雞肉有點柴
飯的品質有點太濕軟
感覺同價位的店有更多其他選擇"
Emma Fan,1,"打去訂外帶口氣差的要死
開頭只問了取餐時間其他也沒說
點到後面才說今天不提供串燒類
居酒屋不提供串燒阿是要我吃沙拉？
而且也應該在開始點餐前就要講什麼不提供吧
不浪費我時間也不浪費你時間
餐飲業除了東西好不好吃最重要就是店員態度
這種態度之後也不會去消費了 何必花錢去受氣"
KW C,1,不甚愉快的用餐體驗，電話預訂在下午五點入座，了解店家有兩個小時的時間限制，但是在一樓沒有滿座，地下一樓完全沒有客人的情況下，從七點就開始暗示時間已到，到最後幾乎是下逐客令，一行人共三位，沒有高談闊論打擾其他客人，真的不太了解店家的想法。居酒屋不就是讓客人好好喝酒的地方嗎？相信未來需要痛快地暢飲買醉時，會重新考慮狗一下居酒食堂的適切性，提醒同樣愛好杯中物的朋友們，謹慎選擇讓您可以盡興喝酒的地方，被掃地請出門的感覺，實在令人不敢恭維。
Stanley Cheng,1,"用餐時在腳邊撿到三、四千元的千元大鈔
一時起了貪念就放至自己的口袋
事後後悔打給你們櫃檯，你們櫃檯就說報警
事情就不了了之
不知道你們是不是奇怪的店
客戶入座之前，地上有紙鈔你們應該早就發現
事後告知你們欲歸還財物
你們也一付事不千己的樣子
這幾年開了很多日本料理
以前這附近沒有這麼多日本料理的
而且以前紋身刺青、全身黑衣的短頭髮人也沒這麼多"
Yc wang,4,日式居酒屋，地下室有座位，空間比較擠，使用平板電腦點菜，除了烤櫛瓜口感一般以外，品嘗過生魚片、海鮮丼飯、炸雞唐揚、照燒雞腿、烤鯖魚、烤明太子扇貝、明太子山藥、胡麻豆腐沙拉…都不錯吃，最低消費600元。
Jennifer Shih,1,"結帳不主動給發票，只說了一句”這樣就可以了”，等詢問後才給發票。

食物不怎麼樣，每人低消300元菜單上好像沒有清楚標示。沒有送上茶水，看其他桌才知道有。打卡的贈品問了多次才給。"
蔡小鬼,3,"每次經過都會被台灣炒飯給吸引，決定給它一個機會踏進去嚐鮮！
有點失望，因為炒飯一般般，飯糰好難吃，冷氣超冷，串燒不推薦！
唯一印象深刻的事... 蛤蜊好大顆，大蝦毛毛蟲好吃！
整體環境不差，服務也可以，但餐點很一般"
Best Egg,4,"毛毛蟲壽司確實不錯有點經驗
原本以為搭配黃芥末會被蓋過去的味道，卻是更加順口，燒烤雞軟骨也很入味搭配著啤酒，整體來說是平均以上的日式料理餐廳
不過價格略微貴一點"
David Chen,5,超高CP值的商業午餐，松阪豬套餐只需要280加一成服務費，有一系列小菜跟湯，非常划算。不過我比較推薦點薑汁豬，他的一夜干是乾魚片，在沒有其他配菜情況下還是豬肉比較下飯，另外冷氣有點強，不要坐在出風口。握壽司我覺得還好而已，茶碗蒸非常厲害👍
Molly Lee,3,第一次來公館店，座位被安排挺奇妙的，就在櫃檯前，路人結帳會受到干擾，清酒大蛤味道有點淡，烤櫛瓜加了美乃滋不是很喜歡，而且烤的時間不夠久，其他都很好吃。
張玟翔,5,Good.好吃！疫情期間外帶現金5折優惠
Yu Ho,3,"若是來吃簡單飽食的話不建議
份量普通 附湯滿大碗
座位稍擁擠"
YuMe Shadow,4,"蛤蜊湯很淡
茶碗蒸不是蒸蛋的形狀
第一次用喝的茶碗蒸
其他固態餐點都非常好吃"
孫子荃,2,"食物我覺得好吃本來可以給4顆，服務真的有待加強給兩顆就好，一進去說完了人數也沒做反應就讓人外面乾等，再進去語氣不佳說等他多久一下喔
點餐前沒告知低消，吃到一半語氣很差：你們還要加點嗎？沒到低消喔！
還要我們問差多少低消多少才告知
明明一開始就可以好好說明用餐規定，就算後面來補也可以好好說話吧？
我真的是差點要直接飆服務人員，真的看在跟同學聚餐我就算了。居酒屋給人的感覺本來是熱情歡迎。你是上班沒領薪水還是客人欠你錢。
你們就不能說：不好意思我們低消一人300，有什麼推薦不錯可以點來試試。
店家看到好好改進一下吧！"
小玉兒,4,脆皮大腸好吃、明太子雞肉也可以，扇貝串就不優了。。海膽鮭魚飯也普通。。
劉家杭,4,蔥肉串的蔥很辣，甜點的烤麻糬切的太厚，沒有烤透烤軟，有一些小瑕疵。價位中高，除了上述的小小瑕疵外，一切都很美味，仍然推薦一訪。
liyin chen,4,店員服務收盤滿勤的，吧台位子少，兩個人吃通常要併桌，比較適合多人聚會，丼飯價錢還可以符合他的新鮮度，串物調味比較重，炸雞的醬料是豬排醬的樣子，滿特別的。
