author_name,rating,text
Grace Liu,5,"第一次親眼看到+聽到告五人的地方
場地不大，大概只有60-80人吧
喜歡這種小場的隱密感，跟樂手很親近，可以隨便就對到眼和聊天哈哈
聲音很讚！
位置可以選椅子位的第一排
雖然不像坐地板的最前面，但局高臨下不會被拍照的收或手機擋住

瓜🔥"
曾伯豪,5,氣氛很好，店員親切還會協助放置大型行李及幫忙開門！很棒！
W YI,5,"超讚的表演空間，
雖然整體不大，但空間相當方正，
觀賞、動線的規劃都相當完整。"
殷悅哲,5,"很棒的展演空間(๑•̀ •́)و✧
我愛老王樂隊♡\(*ˊᗜˋ*)/♡"
Jet Chyi,5,充滿人文氣息的老店，空氣中淡淡的菸味是一種搖滾的態度。
宋文心,5,總是放著很溫柔，可以輕鬆搖擺的音樂。燈光比以前亮了許多，是個做事的好地方
蕭韓姍,5,不在海邊，卻是讓人心胸開闊的好地方！
NewSensation Studio,4,"我的愛店
音樂品味很好 老搖滾天堂"
Liam Chiu,5,不時會舉辦樂團表演，是個很棒的場地。可以很貼近表演者。
Yu-chen Cheng,5,位於二樓的小餐廳，是兩次去都是參加廖文強和河仁傑的活動，工作人員都很好很友善~
Yu Ju Lin,3,音樂不錯適合放空的空間....飲料ok但不太適合用餐
Hsuan Hsuan,5,來聽老王專場，建議可以票價提高、總人數減少，不然超擠哈哈哈
李宛樺,5,"·拿鐵+伯爵奶茶蛋糕$250
·冰摩卡$170
環境舒適，適合讀書、放鬆、聊天、用電腦的小地方，也有非常貼心的小陽台吸菸區且不會打擾到其他顧客

雖然就價位和餐點來說，在公館有更多的選擇
不過若是喜歡閱讀、展覽和音樂的你，不能錯過的好店！"
曾大力,5,充滿人文氣息的咖啡廳，好喝好吃又常有精彩表演，文青常駐點
李妍婷,5,"上次抽到票去看偉晉，
結果服務好到一個不行，店員超耐斯
我愛屋及烏了起來"
小春,5,"氣氛佳
適合與朋友聊天相聚
看到許多彩虹小物
很開心"
Susan Cho,5,"環境非常愜意 可以坐上一整天
插座也蠻多的！"
SCOTTIE FR33,5,"超好吃....💙💙💙
沈澱心靈創作思考挖掘靈感的好地方☕️"
Katty Chien,4,"從樓下看上去，感覺店裡應該有點老舊，但上二樓後，其實店內很寬敞，座椅雖不新，但整體感覺是舒適的，還提供很多書籍給客人閱讀呢！

點了冰拿鐵 ～130 元，熱美式～ 100 元，一份招牌貓王三明治～180 元和一個胡蘿蔔蛋糕～150 元，飲料部份都不錯，貓王三明治也很好吃，尤其是三明治搭配的洋芋片超酥脆的！ 只是胡蘿蔔蛋糕就不那麼優囉！

店內不限用餐時間，我們是來聊天的，但有很多客人是一個人帶著筆電來享受獨自的悠閒午後時光。"
chanel yang,3,"氣氛合適讀書寫字
但餐點跟咖啡真的要加油⋯⋯⋯
貓王三明治🌗🌑🌑🌑🌑
>吃不到花生醬的濕潤感可是培根又烤到很乾
熔岩巧克力布朗尼🌕🌕🌑🌑🌑
>完全沒有熔岩，真的很普通的布朗尼蛋糕
維也納咖啡🌕🌑🌑🌑🌑
>鮮奶油好吃，但是下面的咖啡真的⋯不知道怎麼形容，非常水（因為我也是做咖啡的所以很確定維也納喝起來不該是這樣子）
愛爾蘭咖啡🌕🌑🌑🌑🌑
>酒和咖啡的比例需要調整！
卡魯哇咖啡🌕🌕🌕🌕🌑
>是那天喝到唯一比較正常的，還不錯！
絕非批評但是希望店家可以改善～"
