author_name,rating,text
Sean Hung,1,狹小的店面，空間擁擠，價格不貴，但是麵類種類特殊，有細麵、寬麵、拉麵、家常麵。寬麵居然是一般陽春麵的細麵？！家常麵才是真正的寬麵= =，牛肉很乾很硬很老，口感不是很好，麵的味道也不是特別好。
湯伯虎,4,一個平易近人 歲月盡好的傳統牛肉麵
蔣明芸,4,"大安區CP值高的牛肉麵,如果餐具能改為耐熱的不銹鋼或瓷碗就更棒了！"
曾沛恩（Francis曾大毛）,4,"空間：非常狹小的店面，將中央的桌子旋轉45度後，硬塞進很多張桌子，導致走到被佔據掉超過一半的空間，通行很不便。
榨菜肉絲麵：榨菜算好吃，屬於脆脆的那種榨菜，不會像是有些店家好像放在醃漬罐中泡太久都軟爛了。
炸醬麵：醬料還不錯，但大碗有點太多，吃到後來感覺都吃一樣的很單調，另外家常麵很有嚼勁還蠻好吃的，鍾意吃偏硬的麵的人應該會喜歡。
餛飩湯：口味還不錯，鹹淡適中，餛飩造型奇特，是很大一片但都很薄很扁。"
Hsuan,5,"環境較小，進門後明顯感覺比較悶(不過現在冬天還可，也有看到冷氣)。
價格便宜，大碗牛肉麵僅105元，且有免費飲料和酸菜可自由取用。牛肉麵湯頭很棒，肉多不過肉質偏老，有五種麵可供選擇(細麵、寬麵、家常麵、拉麵、冬粉)，記得要寫在單上不要口頭說，若沒特別註明就是細麵。
最印象深刻的是，因為是兩人共食一碗麵，吃到一半時，老闆突然主動多拿了一支湯匙給我們，相當用心！一定會回訪。"
Maggie Shih,4,"CP值正常，麵體口感還不錯
肉片是筋略少一點的大花鍵的樣子
所以吃起來不是軟爛型，也還可以。
95元可以吃到牛肉麵算平價，所以當然肉不會太多😁"
Tai Yi Tseng,4,炸醬麵好吃😋豆乾好多😍
蔡Tsai士豪Shih-Hao,4,"小碗牛肉麵：麵偏硬，紅燒頭湯不會太重，肉4大片？塊？介於中間但沒有入味，裡面的青菜給的不算少
燙青菜：脆度依舊在，微鹹味道不錯
推辣椒醬，酸麻辣都有
免費飲料喝到飽，不過沒什麼味道"
Shih-Lun Wei,5,"我覺得在台北這個價位便宜
而且湯頭麵條都有用心 有股淡淡的騷味我喜歡
麵條偏硬但可以吃到湯跟麵融合的味道
*最近一次吃麵條變很軟但不爛 一樣很有麵香
湯頭清淡爽口不膩
吃起來不到驚艷 但就是非常舒服 爽快

番茄牛肉麵的話 是加番茄洋蔥豬肉末的炒料
要我還是推薦牛肉麵 加番茄普通"
Paul HUANG,4,"口味記憶點不足
沒啥香氣
就是順口
小菜種類少
大部分顧客都是一碗麵"
陳彥龍,5,我喜歡細麵超過拉麵，好吃
Allen Juan,4,大碗酢醬麵65元，有一大堆還不錯吃的豆乾丁，內用有飲料可以喝
Chung-Han Chiang,4,"便宜好吃。
炸醬麵味道很夠"
汪冠洲,4,味道中等，牛肉薄，有些老，價格便宜。
Fox wei,5,樸實的店 有點舊卻乾淨，料不少也好吃！
Youan Nieh,5,"台北市數一數二的牛肉麵，下雨天店裡也客滿，是大學週邊餐廳中，不靠學生也能客滿的麵店呢！
小秘密：有四種麵條可以選，預設細麵。"
Jhen Yi Weng,5,"118巷最好吃的牛肉麵，建議麵條換成拉麵。湯頭獨特，且充分與麵條結合，牛肉很大片很滿足。

唯一的缺點是店內空間有點小，有點沒感覺那麼乾淨。不過也不到無法忍受的程度，所以天氣冷還是很希望可以坐在裡面好好吃一碗麵。"
James Tso,5,餛飩麵，餛飩大顆，麵份量多，湯味道很鮮
李光雄,2,昨晚停自助加油機停下要加油發現停止插卡故障，繞一圈再回去人工加油，跟服務員說加油機故障要貼本機故障才不會害客人多繞一圈，服務態度，口氣很差我們外面的不管，你要跟裡面的說，什麼東西啊
Bargain Chen,5,牛肉麵好大碗95元在台北實在是很便宜，牛肉又很嫩很好吃。
