author_name,rating,text
Randy Chiang,5,建設台大社科院的幕後推手是彭錦鵬老師，非常了不起，也是全台灣最棒的圖書館和國際會議廳。
Sung Jackie,5,來鄭文燦巿長演講，從學運到城市治理，講的很好，校區內停車場車位充足。
Wei Yu Cheng,5,參加個研討會，不知道能評價啥....
謝佩蓉,3,有活動來這裡，感覺很不錯
CH B Chen,5,小型會議室，座椅舒適。
林淑真,5,台大校園區內真的好大 學生都要自備腳踏車比較方便 校園內還有銀行 便利店 早餐店 各式餐點飲料 校園內非常乾淨 來聽演講真不錯
林冠安,5,大概是全台灣最棒的圖書館
Gordon Hsieh,5,環境設備相當好，讓師生有安心學習的地方。
ChunChin Chen,4,上課的地方，可惜沒門排，不容易叫ubereat
楊子賢,5,"環境整潔
廁所兩邊都有
旁邊的風景也很美"
Michael Yang,5,不記得在哪裡看到這個研討講座的訊息了 ？第二次來到這個台大的會議廳，上次應該大約2年前，是初次在此見到蔡總統本人，; 剛才簽到時約略看到與聽者大多是台大博士班的學生，真不愧是高段班的素質的說 ; 尤其坐我右前方一位超級明星臉，烏黑長髮過肩，淺色短裙裝，站起來是高挑清秀亮麗，看她快速敏捷地在筆電上不停敲打，標緻的五官容貌介於韓國全智賢和秀智，中國江疏影之間…………
張淑芬,4,座位很舒服，是適合辦理論壇的場所。
Andrea Chen,3,停車方便，但標示不夠清楚，讓人有迷宮感。
Ruby K,2,工作人員未經確認就關掉洗手間的燈
Li Kai Zheng,5,超級乾淨！
Zoe Kuo,5,約會很棒的場所😃😄
曾文,4,會議廰設備不錯在三F電梯多又快
賴明君,5,很好睡覺
Stacie Shih,5,適合人數多時的演講空間。
LiesegangRings里色崗斑馬紋,3,建築外觀獨特，伴有池水，假日休憩好景點。
