author_name,rating,text
Joyce Tsai,5,"招待的沙拉和麵包令人開心、牛肝菌墨魚麵硬度剛好超級美味、洋蔥湯和酥皮濃湯也是滿分、羅勒海鮮焗飯更是鮮美多層次、甜點提拉米蘇可口綿密、飲料紅茶咖啡令人滿意。
餐飲絕對美味、價格超級優惠、用餐環境舒適、還有服務人員的迅速服務和親切的態度、這些都遠超過五星的等級！CP質超級高！絕對再訪！！"
吳芝瑩,4,"-
🇹🇼POST霞飛驛歐法點餐-台北大安
-
📮 106台北市大安區新生南路三段60巷8號
🤍有機會會再回訪
⚠️Wi-Fi狀況不穩定(店內遠傳網路訊號不好)

🍗瑞士千層酥皮鮭魚💰NT.350
酥皮加上鮭魚的口感很特別莫名好吃
推薦給個機會嘗試看看
中間的蔬菜部分沒什麼調味
我們是加上旁邊的醬料吃哈哈哈哈

🍗橄欖油海鮮墨魚麵💰NT.250
海鮮也沒有很小氣算是豐富
墨魚麵蠻清爽的
剛好可以搭另一道瑞士酥皮鮭魚

😋巴黎香蒜烤田螺💰NT.180 …"
Zoie C,2,酥皮鮭魚和酥皮濃湯都很不錯。可惜假日生意爆好的時候服務品質不佳，漏單晚上菜（隔壁晚到至少半小時的客人菜反而先上完了），又急著收盤子趕客人，令人不太愉快。
JimJim Hung,4,"招牌羅勒海鮮義大利麵套餐250+100
酥皮濃湯是裡面最好吃的
超級推
其他就還可以
不用服務費很開心"
陳大仁,4,"誰來晚餐？來點義大利麵囉！口味還不賴，瞬間跟著年輕起來，推薦!
#主廚酥皮濃湯"
Demi Hsiao,4,提拉米蘇 酥皮濃湯 主廚醬牛蕈菇雞肉墨魚麵 讚讚
Roter Pen,5,"整體店面算是比較小一點的店面，比較復古的風格。

不收服務費。

在疫情下店家的防疫措施做的很好，在擁擠的桌間確實的放上夠高的透明隔板，客人進來還會提醒客人要酒精消毒再入座，上菜的時候服務生也很用心從隔板那一面上菜。

菜色方面如果是沒吃那麼多的人可以點的單點，就算是肚子餓一點的客人店家還有免費飯和麵加量。

要吃完整的全餐也是不錯的選擇，但是胃袋需要空一點或是大一點會比較吃的完。 …"
語風薯薯,5,"價位在220-260間的義大利麵，加套餐+100極度推薦喝酥皮濃湯，因為這間是被義大利麵耽誤的酥皮濃湯店，義大利麵吃起來比較普通沒特別的亮點，反而是餐後的甜點我會比較喜歡，多一顆星加分給不用服務費！
男店員依然很認真辛苦了"
小可愛珍,4,這裡的義大利麵味道還可以，可以單點或選擇套餐，套餐有附湯品、飲料跟甜點，會比較划算，烤田螺很好吃，甜點有三種也都很好吃。
Martin C.,5,"這間是我吃過台北最好的義大利麵，而且令人意外的，白醬超棒。

霞飛驛的白醬濃郁，卻不油不膩，讓人禁不住一口接一口，蛤蜊、蘆筍鮭魚都是我推薦的口味，而霞飛驛的麵體也下過功夫，口感十足，有麥香，整道麵只有優點、沒有缺點，我每次過一段時間都會不自覺想吃一次。

前餐部分，麵包不大，但也是烤得酥酥香香，通常，第一次到霞飛驛的必點是它們家的酥皮濃湯，和一般尋常的酥皮不同，是一絲一絲的，脆度更高，而且吃起來會有點甜味，第一次喝的人都會有驚喜感。 …"
張譽瀚,5,滿有特色的一家義大利麵餐廳，感受的到老闆對於料理的堅持。平日中午來有贈送沙拉，酥皮濃湯很有特色，與一班常見的片狀不太一樣，呈現螺旋狀，可以加麵，要在點餐的時候告知喔
愛吃鬼,4,"第一次來吃就已經愛上，套餐的酥皮濃湯完全不輸
饗饗好好喝～
義大利麵的軟硬度很剛好～
而且羅勒雞肉義大利麵的口味也是我再外面沒有嚐到過的很好吃很喜歡。很推

餐點上的速度也很快～"
林裘蒂,4,"夥伴說他們家的酥皮濃湯我一定要吃吃看
所以就跑來吃了

我也覺得酥皮濃湯的酥皮非常特別
所以來幫忙推薦一下😂😂😂

仔細看一下照片酥皮是一層一層的
拉起來吃是絲狀的
很好吃😋真的蠻特別的
感覺是他們特別製作（至少我沒吃過這種

濃湯相較於酥皮就普通很多
就很普通的口味😂
但是瑕不掩瑜可以給四顆星
（酥皮本人給五顆星不為過啦）

然後巴黎香蒜烤田螺
我從來沒點過這道菜
居然意外的很好吃欸
（夥伴說一般來說都差不多好吃

再來是主餐我點了
牛肝菌雞柳細扁麵 …"
Anna Chen,4,酥皮濃湯好喝，加價＄100可升級套餐，免服務費，價格合理。
呂維靜,5,服務太度好，餐廳環境優，CP值也高，很適合介紹聚餐的地方。
apple chen,3,"價格實惠
千層麵真的很大碗，不過醬料很多吃到後面很膩！
酥皮濃湯的酥皮滿脆的！
店內裝潢還不錯！還有豆腐椅很特別！
整體還可以！"
Pei-Hsuan Cheng,5,"蠻好吃的
可以加麵，不過女生加完麵還是剛好而已
加套餐加100
番茄蛤蜊義大利麵230元"
波莉露,5,"很有質感的一餐，連副餐都很精緻。
也喜歡它空間不大卻有家的cozy與溫馨。不同桌不同路的人熱鬧紛紛的聚在一個空間用餐.... 彷彿感受的到每個人都沈浸在美味與關係的串流裡"
x x,5,"酥皮濃湯的螺旋酥皮很脆很香
橄欖油蒜片雞柳辣椒麵 義大利麵的麵體軟硬適中雖蒜味沒有炒的很出來 但還是好吃
酥皮鮭魚外酥內軟 口感極佳！
提拉米蘇沒咖啡味我很愛🤣
完全沒有讓我失望的一家店
且離台大很近很方便 好想每天下課都來吃🥺"
Rachel Wang,5,"｜服務｜
免服務費，低消120元。

｜餐點｜
橄欖油蒜片雞柳辣椒麵（190元）雞柳、蔬菜份量多，麵條Q有吸附醬汁。

三色瑾花果茶（150元，附甜點三選一）喝起來像洛神花茶，酸酸甜甜蠻清爽的。"
