author_name,rating,text
謝宛蓁,5,"平價咖哩，是符合這個價位的表現，不會有可怕的便當咖哩感覺（雖然飯配菜是便當配菜）。唐揚雞表現滿不錯的，皮薄肉嫩不會乾也不會太油！

有麥茶紅茶可以無限供應，聽說咖哩可以再加，但女生吃一碗應該剛剛好~"
山海幸,5,"老闆很客氣
東西很清淡 肉很多 醬汁還可以客製
飯可以免費續加
有免費冰紅茶 溫麥茶
地方乾乾淨淨的"
陳怡靜,3,烤雞腿飯滿不錯吃的，配菜也給得很大方
Sylvia Shih,4,"烤雞腿飯$90，配菜有多樣青菜可以選，好吃不油膩，白飯不是那種乾癟的米，覺得很棒。

無骨雞腿排飯$90，迷迭香草的調味。

先送單付款，之後會叫桌號過去選配菜。"
SHANYU,3,普通的便當，人潮很多，出餐真的慢，但配菜算不錯
洪鼎睿,5,"好吃⋯用餐時間一到總是門庭若市。

推薦大家想吃便當的可以點腿庫飯、腱子肉飯也好吃，白飯都可以無限續碗。

也很推薦點咖哩飯，咖哩飯比起便當可以說是更划算，因為不只白飯，連咖哩也可以無限續加。

只不過點咖哩飯的話青菜稍嫌太少，我會推薦大家可以另外花個20元或30元加點幾道便當配菜
因為麻吉食堂的配菜也都很好吃！

我最喜歡點炸雞咖哩飯，即使加上30元的配菜也只要120元，可以吃得超級飽又好吃！ …"
Gary Su,3,三個星給好吃便宜，扣兩顆給不固定的開店時間，個人認為起碼要公布一下，不管是臉書或更新Google地圖的營業狀況~
涂銘洋,4,推便當類，無骨雞排、烤雞腿、炸豬排都好吃。不過開店時間比較不固定，要碰碰運氣。
Gwen Chen,3,"配菜只給少少幾根，偷看隔壁給超多的。
但是可以加飯還能續咖哩醬真的很不錯，可以吃飽。
雞腿排調味很香，咖哩的味道也很好吃。"
何名柔,4,平價好吃，無骨雞腿排酥脆好吃，可樂餅咖哩飯也不錯
游博翔,4,可自行選三樣配菜，配菜每天有變化，白飯吃到飽，主菜無骨雞、豬排、魚排都炸的酥脆，學生吃飯的好地方。
Heinrich404,3,啊我沒吃過餒 怎麼沒開
Ansel Lin,5,便宜好吃，加飯不用錢吃到飽！讚！
Laura Wang,4,"豬排很厚很好吃~配菜略鹹
但咖哩&飯可以無限續
大推魚排！！！很厚且juicy~比臉還大！！！"
陳俊廷,4,"咖哩跟飯可以無限吃  平均90元
非常適合學生族"
林Eva,4,腱子肉飯90元，味道中上，但主菜偏鹹，不過能續飯就很可以！CP值頗高~另外，點咖哩的話也可續咖哩。
Doris Huang,5,"好吃，菜色不油，選擇也多樣。
但真的常常有事沒有營業（尤其禮拜一)
撲空了好幾次😂😂
建議去之前，可以看店家line的狀態，或是line詢問，才不會白跑一趟噢～
期待廚房趕緊整修完，恢復營業！"
Lee ch,1,"118救星 愛開不開 缺錢就開 有錢放假
太誇張了 不開頻率太高了 118救世主 味蕾耶穌 就這樣棄廣大的莘莘學子們而去，賺飽後就不理睬我們，根本118飲食界渣男！我們強力譴責！"
Oma Huang,4,很好吃，但開店時間超級不固定，扣一顆星
Arnold Peng,1,可以改營業時間囉
