author_name,rating,text
鄭任勝【一起來當新店人】,5,吃完燒臘來一杯冰拿鐵，感覺舒服多了。拿鐵很好喝，杯子的造型很活潑可愛，值得一試。
林士為,5,大熱拿好喝，咖啡醇厚和奶味香甜，調配得恰到好處；不知是店長還是店員的男子，服務態度親切而且朝氣十足。
Hsuan,5,請朋友順路帶咖啡才第一次喝到，之前覺得在這附近的外帶咖啡中價格偏高，這個小窗口位置又換過很多間店，不太想嘗試。結果一喝滿驚豔的，冰拿鐵的豆子很香，還有蠻綿密的奶泡，頗有誠意。品質值得這個價格，是在不想走遠時好喝又方便的選擇，希望可以在這邊存活久一點，
Yu Kayu,5,"拿鐵香醇、口感溫潤
咖啡口感完美融入奶泡中
不衝突
好像在喝一杯牛奶一樣純粹
推推推😇😇😇
請多開分店😇😇😇"
Chi史東,5,"明明你的心我的心~
原來就在學校對面當然來朝聖一下
真的超級讚
不論是店員還是咖啡
美式味道很剛好
價格也很合理
除了現泡好像還有賣咖啡豆
店面在轉角口小小的很可愛"
黎傳富,3,外帶方便性，購豆質感也不差，小而美。
Han Wang,5,拿鐵真的超好喝的，喝了會上癮😍
Ginger Lee,5,冰拿鐵很好喝～超順口的！！推推推😍
David Lin,5,拿鐵好喝，蓋子顏色很可愛
陳品璇,5,"每天都經過，但身為環保狂沒帶環保杯是絕對不喝外帶咖啡的（一次性咖啡杯超級不環保😣希望大家都可以有環保意識🥺這家店提供自備環保杯折3元喔！！！超讚）
今天終於自備環保杯，點了熱拿鐵，只能說驚為天人⋯⋯太好喝了吧⋯⋯奶泡超綿密，立馬上來評價五顆星🌟🌟🌟🌟🌟
希望不久的將來可以有臺大學生證的優惠（私心許願，畢竟學生很在意CP值的😛"
CHEN ERIC,5,拿鐵很讚...就算是咖啡控也可以...單品也不賴... 每天都要喝咖啡... 喝過這麼多家的拿鐵... 這家算排很前面... 店員也很熱情... 好店一定要推一下
Ellie Chen,5,好喝！CP值高👍🏻 還有賣咖啡豆～
Day Anderson,5,應該是這附近最棒的外帶咖啡！點了冰拿鐵，咖啡與牛奶的比例很均衡，topping的濃密奶泡令人印象深刻，外帶杯的顏色跟設計也很有質感，值得一試！
CkPai,5,"謝謝請我吃蓮霧
咖啡好喝"
Sharon Tseng,5,很好喝的外帶咖啡🥰 冰拿鐵牛奶跟咖啡的比例很均衡，喝起來很順口，豆子喝的出來比市售商業豆品質好很多
Ling-Yu Chuang,5,"淡江好滋味💕
從拿鐵到單品，老闆把我一家人都收服了！（哈
喝過就不會回去連鎖咖啡/便利商店了！"
HCA HCA,5,好喝到爆，每天騎車經過紅燈超久必買（期待不是老闆上班）
Yu-Sheng Liu,5,冰拿鐵的奶泡超好喝  要是冬天喝不到該怎辦😭
Evans Lin,5,客製甜度的拿鐵很好喝，店員很親切☕
許育婷,5,最愛拿鐵跟鮮奶茶🥺🥺
