author_name,rating,text
Yi-Hsuan Chuang,1,前幾天到門市購買，眼看店內大概3-4位客人，算可以互相保持防疫距離的人數，所以我想進去速戰速決，因疫情關係店內在結帳處有畫防疫線，做得算不錯，但是呢，我在等結帳的時候明明下一位就是我了，但偏偏來了兩位歐巴桑從側邊插入，兩位還超級靠近，結帳還討論了一番，我在後面等了許久，然後又來一位歐巴桑為了看吐司靠近正在等結帳的我，還逼近到碰到我！還在我面前開口詢問，天呀！店員完全沒制止，也沒注意兩位歐巴桑是插隊，也沒有請客人要保持防疫距離！很可怕的經驗，近期不會再進去了
廖方柔,1,"這家店實在還不錯，長期都在這邊購買餐點（因為就住在羅斯福路上），
但是店內有一位蠻年輕蠻漂亮的小姐，也不曉得是不是老闆欠她錢，還是對這份工作非常不情願，在櫃檯收錢⋯從來沒見她有笑容，也沒對顧客善意過，更甭提跟顧客打招呼（譬如一句簡單的謝謝），老是一張臭臉～真的令人厭惡👎👎☠️。"
Karl Chen,3,教育訓練要加強一下囉，第一次沒算到折扣，更改後還是算錯
rebecca Wang,4,明太子麵包好吃，但有點變太小條，有跟店家反應
S IU,4,"一、麵包種類多，價格合理，法式蕃茄鮪魚麵包、麻糬、千層鮪魚不錯。
1.青醬野蔬：麵包上有玉米筍、青花菜、蕃茄，並灑上起士粉，青醬外觀、味道都調得有點像果醬，口味偏甜，選用的小蕃茄也較甜，若能用稍酸點的蕃茄會更合味。份量不多，適合當點心。
2.法式蕃茄鮪魚：法國麵包切半，上有蕃茄片、鮪魚、焗烤起士、洋蔥，麵包有嚼勁，味道也不錯。 …"
黃淑媛,1,店員態度非常差。結帳的店員問我要不要多帶一個全素的，有打折，我問她某個麵包算不算，一個就不理人，另一個就不耐煩說「全素的就算」，廢話！就是不知道哪個是全素的才問嘛！結帳的店員超糟的，好像我欠她錢一樣，說話口氣差，結帳時故意打收銀打得很用力，最後還嘆氣加翻白眼，做得那麼無奈，建議別做就好了，顧客有義務受氣嗎？別家一之軒店員都很敬業也很客氣。
ethan,1,餐盒附了一個很重的沒營養飲料增加重量，其他麵包都很小。
楊雅蘭,5,"麵包種類好多
晚間還有九折優惠
麵包不貴好吃
加會員還有壽星點數贈送
以及生日蛋糕九折卷
目前買過的麵包都不雷
千層鮪魚、法式檸檬蛋糕、芝麻肉鬆蔥卷、丹麥奶油卷、海鹽奶油菠蘿、牛奶排包
都很喜歡喔💕"
WENWEN TU,5,種類齊全，常有特價活動，可花比平時較少錢買到好吃麵包。
Saunders Huang,5,有新增很多樣全素的麵包，至少有6-7種可選擇。
Mei Zen Wang,3,麻糬好吃、奶酥麵包好吃。店員客氣，但店內引導可再加強。今天晚上買三送一活動，客人很多，右邊櫃檯排了四組客人，有對父母帶著兒子，拿盤子也插隊，拿麵包也沒禮貌，那位爸爸要結帳時無視排隊的客人直接走向左邊櫃檯，結果店員先幫那位爸爸結帳，店員說排隊的四組客人路線錯了要重新來左邊櫃檯排隊，還對那位插隊的爸爸說「你是對的」。如果排隊路線有誤，當第一組客人排隊時就可告知，但店內等到排了四組仍沒有提醒卻要乖乖排隊的人到插隊的人後面重新排隊，讓人傻眼。可能櫃檯桌上有立牌標示，但客人多的時候還是 …
黃凱莉,4,新產品草莓吐司，讚啊！
Kerwin Lo,4,"服務態度不錯
麵包蛋糕都還Ok"
Yueh,5,"超常買它的麻糬，最推薦芝麻麻糬、紫米花生麻糬，其他都太甜。

皮薄餡超多，咬起來超紮實，很有爽感，花生是顆粒的那種，芝麻、花生的內餡都是帶有濕度的，不會很濕也不會很乾，整體很搭！"
周佑滄,4,位於台電大樓對面的一之軒門市，店面不大卻品項豐富，麵包與小西點非常吸引人，支付方式多元，是購物經驗良好的地方。
沈佳儀,4,空間大，店員也親切，可惜沒有賣鮪魚蛋塔
YT,5,麵包、蛋糕都很好吃，店員服務很好！
麗蓉周,4,甜點新鮮好吃，加入會員馬上有會員價格讓人覺得挺開心的！
州,5,"品質不錯 東西好吃

*2021/4/29更新
有幸參與學長的論發
被忠五老師請客吃了可麗露
（聽他說和法國留學時吃的有八成像xd
真的蠻好吃的，外酥內Q！"
應志誠,4,種類多，價格適中。
