author_name,rating,text
ting-yu shih,5,"飲料、漢堡都給該給的份量！服務的阿姨們、早上一個年輕女生人也很好態度也很好！很細心！廁所也很乾淨不會有臭味，空調也很舒服～有些摩斯都悶悶的！

之前去中山店 大杯紅茶甚至給不到500😂 態度也很差薯條給很誇張少～
這家很推！"
C Mickey.,3,"#0320
假日時段12點以前
用餐人潮眾多
座位擁擠"
僰祤,1,"搭薯條雞塊只有給薯條
搭雞塊的給了不知道是啥的三個圓圓的
有夠雷的店家
不會再回購"
刺客教條,5,出餐快速，24小時營業深夜的好選擇
小優,4,"服務好
（忘記說要加青生菜，請服務人員補加）

餐點製作用心
（漢堡放入漢堡袋的角度正確）

用餐環境通風不好
（廚房在裡面，整個用餐空間油煙味很重）"
11戴瑜萱,5,24小時很方便，服務也好，但是她們摩斯企業播的歌都重複千篇一律，有點恐怖記得自備🎧😂
小wei,1,沒有註明漢堡包裝袋的材質！耐熱程度？是否能直接碰觸剛煎好燙口的肉排？可能為了美觀，讓肉排直接碰觸漢堡包材！
CuZong Cu,4,"在同業中價格偏貴，主餐美味，但雞塊與沾醬不太美味。服務人員親切。

價格 🌟🌟
美味 🌟🌟🌟
服務 🌟🌟🌟🌟
環境 🌟🌟🌟"
Max Huang,1,"非常糟糕，我是用熊貓外送訂餐的，
交代了需要的產品：胡椒、番茄醬，通通沒附上
玉米濃湯裡還有塑膠袋，十分危險
你們羅斯福路也太ㄎㄧㄤ了吧..."
賀.,5,24小時很棒 很晚的時候記得要坐靠近門口 裡面會整理
勒亞,4,位在台電大樓捷運站2號出口對面。交通方便，內部寬敞。
楊逸文,4,"員工待人很親切，很熱心幫忙很方便。

簡直是完美的好地方！非常豐盛的餐點，美味的，完美的服務，推薦這個地方！
會再回來！"
韓松佑,3,內用飲料為什麼要給外帶杯呢？既不環保喝起來口感也有差別
林肇寬,4,"環境整潔，服務親切，上餐快速，美味可口。
有高低兩個洗手台，大人小孩皆方便。"
chichi,2,"今天用手機訂餐到了還是等待一段時間
結果外帶後發現雞塊沒有給醬料包
醬料包是雞塊靈魂⋯⋯"
張瑀玹,1,今日晚上18:30於本店消費外帶，向店員點薑燒珍珠堡兩份，但由於負責點餐員工不熟悉電腦選餐，看似新進員工，之後還由在旁的同事協助點餐。買回家吃幾口後，發現是燒肉珍珠堡，但因宗教因素我不能夠吃牛肉。希望本店能夠好好進行員工訓練，尤其是負責點餐的員工，於本店消費多次，但經常有店員點錯或餐點給錯的失誤，一而再再而三的犯相同的錯誤，希望本店能改善這些問題，熟悉與用心負責點餐，給予客人更好的服務品質。
承翰楊,5,24h的空間，是個夜晚無處可去的中繼站
Eva Chen,5,店員服務態度良好、親切、客氣，昨天用餐店員看到一位身心障礙的阿姨，會主動的伸出援手幫忙，是一間友善的mos❤
蔡旻原,5,偶爾會來吃宵夜，人不會多到沒位置。餐點好吃。
Turbo Worker,5,24hrs夜貓筆電族好去處..
