author_name,rating,text
朱崇華,3,"今天點雙主菜, 椒麻雞跟打拋豬共155元
防疫外帶, 接受行動支付像linepay或街口

主菜偏少, 椒麻雞炸的皮有點厚硬, 感覺是炸過再加熱的, 肉咬起來有點柴, 原本的期待是酥脆外皮跟多汁的肉質, 但跟期望差有點大。
打拋豬, 量也不多, 味道尚可, 不太辣, 但味道還算足, 是蠻好下飯的。

配菜是看起來不太美味的螞蟻上樹, 青菜跟半顆蛋,
我想, 如果只有單主菜, 可能飯會配不完, 因為主菜的量真的太少, 雙主菜配飯蠻剛好的。

整體來說, 我覺得在公館夜市來說這樣的cp 值並不高,"
windy Wong,2,份量越來越少了……而且外帶泰式椒麻雞居然沒有給醬？！沒有給醬？！沒有給醬？！我是單點雞排嗎？公館又少了一家能吃的店了……唉……回不去的公館
芳,1,這到底是三小，盒子不夠就隨便用個塑膠袋敷衍？還膨脹成這樣，橡皮筋綁超緊根本打不開，而且味道超怪超噁，感覺是壞掉的，爛到傻眼==
DAISY HUANG,5,椒麻雞配打拋豬很好吃，女生份量足，一人也能吃泰式，推
Wu Niki,5,內用位子不多 也有些擁擠 但出乎意料洗手間還蠻乾淨的👍份量還算多 空心菜的蝦醬味蠻重的！湯和白飯可自取 椒麻雞的醬不會辣（喜歡吃辣的 他們還有其他的辣醬可以加）我覺得這個價位和份量很可以 ！店員也都蠻客氣的！
Dickey Chen,5,"看了Youtuber PH的影片後朝聖
優點：
1.店員服務親切
2.內用湯品/白飯可無限自取
3.檸檬炸雞飯($95)的炸雞吃起來酥酥脆脆，檸檬味十足，非常好吃

缺點：
1.內用環境小，非常不舒適，建議外帶"
キミソラ,2,"外帶真的等太久了！都在出外送的單！
外帶的塑膠袋搞得超油膩，實在不行！"
墨羽琴蹤御仙風,5,"雙拼能隨意拼
都蠻不錯吃的
推檸檬炸雞和椰汁雞跟打拋
內用白飯和檸檬愛玉可無限續加
店內有廁所可使用
且廁所清潔程度很不錯
內用空間不是太大所以會有點吵
(同鄉人士聊天相聚時很開心音量難免會大點)
內用桌面在用餐忙時難免會有來不及清潔的時候
但呼叫店員時都能很快獲得處理
同時出餐也會較忙
請耐心等待"
Ember Chuang,4,"藏身在公館巷內的異國料理，內用座位稍嫌擁擠，餐點還不錯。
打拋飯很夠味下飯、招牌的椒麻雞飯也很好吃。"
TG,1,"星期一中午的長頭髮女店員態度很不好⋯

椒麻雞肉少而且醃得偏死鹹，炸得比較乾硬，配菜不多覺得130不值得，失望><
(椒麻雞個人比較推師大的孟記，肉多又嫩，也比較便宜)

本來想下次再試打拋豬，但考慮到店員態度可能不會想再訪😅"
Han Han,5,檸檬雞蠻好吃，店內白飯免費續，還有湯免費喝，湯的肉還很大，覺得可以吃很飽
XIAOYU SI,2,雖然是我的愛店但是站在門外等外帶30min真的很白目
WenHai Ling,2,"好吃 但等有夠久
中午11.30來 店裡沒有客人
點完餐後快半小時還沒上桌
是在吃西餐嗎
你要只做外送你要先講"
Ian Chou,5,"大學時的回憶
跟朋友再次來回味 口味依舊是頗讚！

貪心點了雙拼（椒麻雞、綠咖哩）
飽到吃不下其他東西😅

可以自己裝大骨湯 飯好像也是無限加
不管是對學生或是出社會人士 都很推薦的一家店！"
Berway Liao,4,椒麻雞炸得很好吃，醬不太辣酸甜味居多，內用白飯和大骨湯無限，優質
嗨樂,5,推 高cp值 椒麻雞飯真的好吃 白飯跟雞湯都無限量供應 推爆
廖緯霖,5,"服務好 出餐速度又快
椒麻雞真的必吃"
ulb B,5,"無庸置疑的好吃，這次點的是綠咖哩雞飯（會辣，不過還可以接受的辣，完全不吃辣的人還是不要點比較好
內用的好處大概就是 白飯、湯、飲料 可以無限使用
這間個人吃個5次以上，最喜歡應該是綠咖哩、椒麻雞了！"
Guts Baby,4,平價學生美食，內用白飯可以無限續碗
賀培俞,1,配菜冬粉裡有蟑螂
