author_name,rating,text
李宗榮,4,提供較多不錯的且不同肉品(雞、豬、牛、羊)，也有雞塊、炸雞、海鮮煎餅、辣炒年糕、拔私地瓜，⋯，豐富吃到飽
Jo Chang,5,\(-ㅂ-)/ ♥ ♥ ♥平價好吃，蛤蜊挺好吃的。 服務態度也不錯
米非,5,"110.4.25 - 4.5星

附近幾家銅盤烤肉我都吃過.
這家第一次造訪.
韓國銅盤烤肉的問題大概都類似.
就是菜色選項比較少.

但這家讓我覺得頗滿意的點是:
肉類的醃料不會太鹹.
吃久不會太膩.
(其他家吃到會鹹到掉毛)
花枝跟蝦的新鮮度也不錯.
拔絲地瓜跟海鮮煎餅味道不錯.

然後小菜部分.
我們夾了某一個類似海帶的小菜.有點鹹.我就放棄小菜類了.
不知道是常態還是剛好下手太重??

其實我們是下午13:25進場.
是最後一組客人.
陸續其他客人都離開了. …"
Tony Lai,4,CP值一流的老店，推薦給喜愛銅盤烤肉的朋友，尤其大推醃花枝，老闆應該是韓國人，炸雞、拔絲地瓜、海鮮煎餅都不錯，500元以下吃到飽'的消費，沒什麼好挑剔的了。
HUNG MING,5,"好吃美味的韓國烤肉，
晚餐一個人含服務費460元"
連德安,4,"從小吃到大的韓國烤肉
牛小排 牛肉羊肉 花枝都很好吃
還有附拔絲地瓜 海鮮餅 炸雞也都好吃"
King YU,2,牛小排不是牛小排筋超多，蛤俐死不補，怕被吃就別上這道菜，不是吃到飽嗎？？
weilin chen,4,"也算公館老字號的韓國的銅盤烤肉店，整體服務算是可以，人員會幫顧客適時加水避免乾燒及倒湯液，菜色不算多種，但品質尚不錯了。
但也許是有些顧客不熟操作流程，容易造成誤解風評很兩極化，仍有改善空間可用圖片或文字說明一下。"
Ming-Da Chen (Yves),5,肉控可以安心吃爽爽，各種肉品跟海鮮都是自行取用，醃製肉品風味足且不會過鹹，肉質整體品質明顯優於其他同價位的韓式銅盤烤肉店，蝦子跟花枝的口感跟甜度尚為中上，店家補菜的速度滿快，不會出現想吃某種食材卻拿不到的情況；店員也會不定期提醒銅盤要澆湯汁，避免銅盤烤焦後，以致到影響烤肉的風味；人蔘雞湯的湯頭夠味，有時會看到蔘鬚，雞腿肉不多，完全不會占掉肚子內銅盤烤肉的位置；另外自助吧的餐點，值得大推好吃的烤雞翅跟拔絲地瓜，可以無限取用。
YH Chuang,1,"1.肉醃太鹹（更會影響到火鍋湯底也變超鹹），肉質整體不佳、也沒有很新鮮的感覺。

2.熟食做得也不怎麼樣（海鮮煎餅沒什麼海鮮、都是菜味；人蔘雞湯沒有雞湯味、雞肉就0.5cm兩個薄片沒誠意；炸雞的皮做得很外行）

3.用餐環境有待加強，希望至少明亮乾淨。
誠心建議肉類用點餐的方式、不要自助，才不會到處都是湯湯水水，然後好好加強熟食部的品質，否則根本不配這個價格（晚餐含服務費一人$460）。

雖然缺點頗多也不會再訪，但我覺得店員的補貨速度滿快的，雖然其他評論說店員感覺一直在盯著客人看，但有什麼需求也是立刻上前詢問或幫忙，只能說一體兩面，我倒覺得不會影響我用餐。"
阿球教練（體態管理專家）,4,"C/P值高,不會因為中價位食材就亂來，整體來說是蠻值得去的，環境乾淨程度也OK。"
Queena Lin,1,"真的有點誇張，分享給其他想去的

店員從頭到尾盯著你看，覺得很不舒服....

吃東西也看，夾菜也看，聊天也在看

夾菜上面有放盤子，我們拿起來用，店員說要用桌上的盤子。

如果不能用上面盤子，那幹嘛放那邊........

然後魚餃燕餃吃起來臭酸味（超級噁心）

環境不是很乾淨，位子上的垃圾桶裡面還留著上個客人的垃圾...

詢問店員肉是否能吃了，店員說可以，如果吃沒熟再放回去煮就好 （廢話？？？

用餐時間1小時30分

6:30進去，7:30就說剩下10分鐘 然後過來收桌子"
Pocky He (何波奇),4,除了男老闆比較江湖一點之外，服務生服務態度都不錯，而且會叮嚀鍋子要澆高湯以免燒焦，這是情有可原的。食材料多又新鮮，還有包肉生菜，不定時還有海鮮煎餅與拔絲地瓜可以享用，不錯！
蔡翔彥,1,"所以說是覺得我不會烤肉？
直接走過來動手？
嘴巴一直碎念説烤肉方式不對
花錢好玩的？
可以請店員閉嘴嗎？
我拿什麼盤子裝菜都要管欸
推薦各位轉頭去旁邊的戰匠
不要跟自己過不去 禍害自身。"
