author_name,rating,text
Wu Niki,5,店內空間寬敞明亮 服務人員很親切！牛骨湯餃（蝦仁）味道很好！因為有許多的九層塔和洋蔥在裡面 所以味道較重！看到鄰桌點的泡麵和咖哩飯份量很多 下次想再試試看😋
S Hu,4,運動完，意外找到這間來試試看。一試之下，非常美味，分量多，價格便宜，湯夠熱。炸春卷外皮也蠻特別的。環境也蠻舒適的。我們3人都吃的津津有味，下次再來
州,5,"【雞肉河粉 90元】

原本前一天吃了河粉，不想再吃，但被朋友拖來，意外發現一間好店⋯
店內空間寬敞，用餐時間也不會太多人（嗚嗚🥲）
份量乍看之下很多，其實湯的部分占滿大比例；
但湯頭超級好喝👍👍👍
雞肉的部分有一點柴，但配著湯入口就還好。
希望有更多人知道這間好店！"
邱允平,1,吃到壞掉的皮蛋，餐點送錯，豬肉乾河粉濕到我以為我在吃肝連湯佐河粉
陳竑屹,4,"去過幾次，覺得這個價錢在台北來說還可以接受，味道也還行。但河粉給的份量再多一點會更好，不然有點吃不飽。

雖然店名是賣河粉，但這間店的越式雞腿飯跟湯餃反而更深得我心，前者醬汁特別、配菜多樣美味，後者水餃有多種口味，湯頭還能選擇牛骨或是酸辣的，個人覺得酸辣湯餃非常好吃，價格也漂亮，值得一試！"
黃欣萍,1,外送的餐點錯誤，皮蛋也不新鮮…..
外星人,4,"生牛肉河粉
加了不少黑胡椒，有點喧賓奪主(?"
Hong tho Nguyen thi,5,"食物很好吃，價格便宜，特別適合學生們與上班族。
每道菜都有特別的味道，加進去一點檸檬和辣椒更好吃的。"
Eve Lee,2,海鮮酸辣河粉的蝦子，咬開整個軟爛！冷凍太久的死蝦才會這樣，吃完30分鐘後烙塞！青木瓜絲除了兩片小小的九層塔和一些辣椒其他什麼配料也沒有！這樣要賣$60！（小蕃茄花生蝦米四季豆只能靠幻想）而且量小到誇張！一筷子就能夾起所有！河粉要130，裡面除了非常不新鮮的1個蝦子+2個快要跟鐵絲一樣細的魷魚圈，沒有其他的海鮮了！希望店家售價可以跟產品成正比！吃完真的懷疑老闆故意偷工減料，還是說外送的品質就是這樣？
林涵,1,"很扯 訂foodpanda 竟然只有拿一份給送餐員
處理方式真的很差勁不負責任怎麼做生意的"
陳宥銓,4,"價格110$左右
推薦 酸辣豬肉河粉跟炒河粉
不推咖哩太稠

很巧的來吃飯 遇到學姐~~"
張志瑋,5,"過了用餐時間，還是很多客人
下次要來吃看看"
S ll,2,一點青菜都沒有，只有一堆河粉跟九層塔...
Chi史東,5,"我從來沒想過米線的份量可以到這麼大
適合吃粗飽"
Sylvia Wu,5,"很喜歡涼拌雞肉米線清爽的
口感，搭配切碎的生菜、小黃瓜及花生，以及酸中帶點辣味的醬汁，份量剛剛好，適合想來點輕食的上班族。"
安心穗,1,用FOODPANDA 訂餐，店家餐點漏做了，送來的各種餐點也沒有標註品項，必須自己一個一個打開來撈是海鮮還是牛肉還是豬肉...註明要收據或發票也都沒提供...
Brian Chen,4,生牛肉河粉湯頭不錯，份量ok，牛肉稍材
Chihching Yao,5,餐點CP值很高，餐點幾乎都吃過一輪了，都很喜歡！酸辣湯＆清燉牛骨湯都很濃郁且吃得出來是用心熬煮的沒加味精及太多的人工香料！店家還會準備新鮮的檸檬、店家特製的蒜頭辣椒可以自行調整酸度及辣度，很夠味！風味春捲或炸春捲沾醬配蒜頭辣椒更對味（敢吃辣的人大推）！詢問之下才知道原來蒜頭辣椒有販售！立馬訂一瓶回家！！
N. Barbour-Lacey,4,"咖哩牛肉河粉 130元濃厚咖哩湯汁，點外送的時候，黎記北越河粉會把河粉與咖哩分開，很貼心。越式雞腿飯 120元與越式排骨飯 110元都付二個青菜與一個荷包蛋，還不錯吃，雞腿與排骨都似有濃濃的東南亞檸檬草與薑的感覺。

菜有一點點油，可以提醒餐廳拿乾一點的菜，這樣才不會飯也吸的油油的。"
Alice C.,3,"米線的醬不是很道地（不太好吃）雞腿便當很實在
咖哩雞（肉很多是雞腿🍗）但咖哩醬好甜口味不喜歡。法國麵包熱熱酥酥的很好吃"
