author_name,rating,text
Ape Matsa,4,"#使用本土豬肉
餛飩湯的餛飩很大很爽真心喜歡😘
小菜口味清爽好吃份量也不錯$35
麻醬麵好吃一下就吃完了
雞絲石鍋拌飯，沒有鍋巴那種
飯量比菜量多（我覺得可惜）
但愛吃白飯的可以點，管飽的！"
蘇冠綾,1,"外帶餛飩湯的袋子裡有三隻小蟑螂，雞絲飯也忘了給雞絲，整個拿回去跟老闆講，老闆說這樣他也不知道怎麼算錢，就重新補了雞絲跟換了餛飩湯⋯
整體觀感非常不佳！不推！"
劉采瑜,1,外帶袋子有好幾隻小蟑螂、雞絲韓式拌飯忘記放雞絲，拿回去跟老闆說，只有補雞絲+重煮餛飩湯 態度不太好 環境髒亂
劉純純,5,"來這裡點一碗阿婆乾麵加大，就可以讓學生吃飽，國北學生出示學生證還有打九折，且裏頭的店員都非常親切，服務周到，常來光顧這國北教附近cp值很高的店。
-"
Hippo Cat,3,中規中矩的餛飩，挺大顆的收工餛飩，裡面大約五到六顆大餛飩，湯頭偏鹹，速度一般。
卓艾妮,1,"外帶石鍋拌飯袋子內有許多小強🪳
環境髒亂態度不佳"
Jenny wu,1,今天去吃突然有隻蟑螂飛到我臉上，而且差一點掉到我的麵裡，真的超噁心。 而且小菜的蓋子都沒蓋上。
Glendy戈蘭 chu,5,在台北市、新北市，有很多家的溫州大餛飩，我吃過這麼多家的溫州大餛飩，在和平東路教育大學對面的溫州大餛飩，是我吃過的最棒的溫州大餛飩，他們的菜肉餛飩特別好吃，他們的溫州大餛飩套餐才85塊，包括了溫州餛飩一大碗，加上紅麴滷肉飯和式紅麴滷肉麵，才85塊，價格真的很合理、很超值，他們的環境很乾淨，服務人員的態度很親切，老闆和白頭髮的老闆娘好客氣，我們家還有我的親朋好友們，常常去吃，非常推薦喔！
荒川,2,"可以不要一早吃麵配佛經嗎？
兩顆星給食物、價格、環境都不優。"
Conner Huang,1,"完全走味了，改菜單改到不知道自己賣什麼

以前好吃的紅油抄手也沒了

若是抱著溫州大餛飩連鎖店的期望走進來，你會大失所望"
楊華靜,1,吃到一半吃到蟑螂是怎樣啦，超噁的好不好
Jennifer Chang,5,餛飩和乾麵的品質都很穩定～性價比高！
Elsa Lin,5,餛飩很大顆，好吃，衛生跟態度都很好，不懂為什麼有那麼多奇怪的評論
PinJun,1,餛飩麵很普通 麵跟湯完全沒味道 餛飩也沒有很大顆 還要等很久^_^
Chen Kevin,4,份量足夠，味道上不會難以下嚥，就是吃的飽的一間店
爛骰王,2,乾麵沒味道，黏在一起不好扮
Joseph Chou,5,"1.清淡爽口，食材新鮮。
2窗明几淨，用餐環境明亮。
3.用台灣豬肉就是讚。"
kh,1,超難吃 又貴 不是外面的連鎖店 完全走味
Venus Lin,5,跟別家溫州大餛飩不一樣，還有另外賣阿婆紅糟拌飯，老虎醬配麵和飯都好吃
陳柏瑋,5,阿婆乾麵有花生粉很特殊，好吃！
