author_name,rating,text
Yun-yun C.,5,"吃了十年
從攤位時期就開始吃。
到後來搬到店面，還經歷兩次翻修。
奶油南瓜醬一直是個人的首選！
麵條有很多選擇：義大利麵、寬扁麵、細扁麵（口感類似天使麵）、筆管麵、貝殼麵
另有燉飯的選擇，會搭配乾燥芒果片，有點像古早味地瓜片的感覺，酥脆帶點甜味不會特別突兀，反而增加一番風味。
如果有搭配套餐的話，湯品都很好喝，現烤焦糖布蕾很好吃😋
在公館商圈寸土寸金的店面，偶爾需要候位，但門口有椅子可以稍做休息。
外帶餐點（可以打9折）或使用外送平台點餐是不錯的選擇。
價格平價，配料可自由搭配，推薦給造訪公館商圈的大家👍"
潘維詮,4,價格可以接受 服務態度很好 點青醬雞腿飯很好吃值得推一下 因在巷弄內 最好是騎車來方便停車 或是坐車來品嚐一下 推！
Ruby,4,平價好吃，點餐方式為組合式的(也有店家的主廚推薦可選擇)，想吃什麼麵及配料都可自己挑選，加50元起可以升級套餐。
qqj Kathryn Hua Hsu,5,"我的愛店啊啊！沒想到評價不高XDD

我都點XO醬蛤仔，蛤仔新鮮、XO醬味道超愛，朋友有點雞腿麵，也是挺推薦的（但我沒吃）

酥皮濃湯的酥皮是我喜歡的多層超油酥皮，真的是大愛！不是層層分明的那種、也並不是酥脆的那種，但很好吃⋯ 不過我也有朋友不喜歡，請看圖片吧。酥皮搭配的湯是普通的玉米湯，但不會有結塊或過油，算ok，主要還是為了酥皮點的。

飲料紅茶則非常普通，就套餐搭一下。"
蔡昕璇,5,"從小吃到大！服務態度很好！
義大利麵+酥皮濃湯（萬年不變的組合
很常時候大家都看評價做選擇
雖然現在被評的很低
但我覺得行動直接去吃吃看會改變你的想法
之前會覺得酥皮要等很久
現在一邊吃義大利麵一邊喝濃湯 好滿足☺️
他們會詢問我們的意見做改善我覺得很好👍🏻"
Nap Chou,1,等餐時他桌客人盤中出現蟲屍，明顯帶腳，告知服務員，服務員卻回說那只是切片橄欖，並快速取走盤子處理掉，另人感覺不適。料少、價格偏高，但口味還行
林曉梅,5,這家餐廳已經在公館商圈十幾年了，我也是一路吃到現在，餐點可以按照個人的喜號去做，非常特別，而且店裏有一個阿姨非常親切都會跟客人互動及聊天，服務態度超好，使得用餐氣氛非常好，很喜歡，所以經常會光顧，希望大家可以來試看看
卓郁芳,5,"永遠吃不膩的愛店，每週都會想來吃一次~
餐點非常多選擇 可以任意搭配自己喜歡的組合
價錢也非常超值，真的非常推薦!!"
Shang W,5,"多年來的常客，必吃香蒜辣椒口味義大利麵👍🏻
味道好吃價格公道，推推👍🏻
阿姨親切服務周到
必須給五星好評！！"
Gavin Chen,5,餐點超讚，平價好料，服務親切，喜歡義式料理的一定會喜歡！連甜點都是自己做的。
劉育瑋,5,從小吃到大，環境乾淨舒適，店員也很親切，可以客製化餐點非常的棒！
Yun-Nung Vivian Chen,5,食物平價好吃，最推薦奶油南瓜細扁麵，真的太好吃！份量稍少，吃完意猶未盡。食量較大男生建議加麵。
Chu MiMi,5,"有個店員阿姨服務非常親切
態度良好
餐點份量大 價位合理
推薦學生及小資族來用餐"
陳映翔,1,點完餐才跟我說飲水機壞了...沒有水...你們加那麼多味精然後口味也偏鹹還沒有東西喝
Wendy Su,5,吃超過6年了，餐點美味，可更換麵條種類。唯一小缺點是座位擁擠，尖峰時段候位的人會隔著玻璃窗看你用餐😅
林清華,5,食材用料水準高，主廚推薦餐夠味好吃外，還可選擇自己喜好去搭配口味，很用心，很nice的店，已經在此用餐多年，👍🏻！
克魯斯,5,店家 餐點用心 很好吃 服務阿姨 也很貼心 下才會再來～
vivi,1,空間狹窄，位置坐起來很不舒服。紅茶是要加價的，喝起來跟水一樣。酥皮濃湯的酥皮光是看顏色就不行，白白的不酥不澎，烤的時間不夠。義大利麵快吃完的時候看到一根毛髮在麵裡，衛生不佳。整體表現不優～
張嘉倫,5,可以自己配醬料、麵種、配料的義大利麵，好吃推薦
Daphne Wu,4,"2018/07/14
南瓜奶油鮮菇（120）+雞肉（20）義大利麵，南瓜奶油比例很好沒有過重的奶味，醬汁緊裹麵條不滴落，鮮菇厚實Q彈，麵條也是我喜歡的硬度，唯一敗筆是我把加點的配料從培根改成雞肉，雞肉只是水煮燙過加入，有微微腥味，自成一格無法與大家融入，整體來說還算是不錯的，口味很多可以選不同的麵條配料自己組合，有機會再試。"
