author_name,rating,text
Alan Wu,1,騎樓不是你家的，不要亂移腳踏車謝謝
Mina C,5,"專業又親切
封面封底排版錯誤也會幫忙重新排版(加錢是應該的)
也非常好溝通!!
大量印也比較便宜
大推!"
SUSAN LYU,4,這裡影印服務專業，收費合理。   態度方面，碰到男店員都不錯，女店員就不一定了！
徐正權,5,DIY操作簡單方便，計價也十分親民經濟！
Jo-Yu Duh,1,"學生交流版寫著「政大店說給1星差評每張影印1元，給5星才0.5元」
雖然沒來影印過，但特別上來給全部神威差評。"
Tai,5,影印完回到家發現錢掉了，還好店員拾金不昧，讓我失而復得。感謝🙏🏽
Anita Chang,5,"我最喜歡的連鎖影印店！
印黃色很漂亮，而且店員人都超好的！"
周傳威,4,家中没備「影印机」，需要「影印」文件，在此情况下。來到「神威」中心，位於復興南路，不起眼店面，但專業快速熱心服務員，替你服務，价格超便宜，是台北市之冠。好康道相報。
hojin C,5,複印便宜（黑白每張0.5元）＆能夠line數位列印
鄭碧鳳,1,"遇到乾瘦老頭出沒暴走請小心。眾多大大幹譙的工作人員臭臉什麼的，其實不算什麼，畢竟不笑客人也沒損失，而且也有幾個態度還行的。但您要是遇到老老闆許x治，那可是中大獎了。
我女兒被他大罵三字經，還企圖傷害[感謝好心阿北把他拉開]，警察來謊稱沒有監視器畫面[好剛好喔，就那天沒錄]，
警察都來了，還企圖觸碰我女兒，被告了在法庭上還是死不認錯，說詞漏洞百出被檢查官噹爆，後面卻不知私下使了什麼骯髒手段神奇換得不起訴。 …"
王惟惟（惟惟）,5,a4黑白雙面300張(600頁)315元含稅
Momo,1,員工態度極差，請教如何影印和裝訂時，愛理不理，再三確認設定正不正確時，店員也說正確，結果印出來不是我要的大小，只能多付錢
鄧丞晏,1,"彩色影印色差嚴重
藍色印出來是黑色
問原因何在處理態度也消極
認賠
感覺差"
tavia sim,5,讚死 黑白單面才0.5⋯遇過最便宜的
JJ JJ,1,"第一次覺得可憐之人必有可恨之處。
店員的態度已經不是冷淡，是給人充滿敵意的感覺，
稍微請教如何使用影印機的問題或者是價格大部分都不會正眼看你，
店員回答的時候也是充滿敵意，
有的時候聽不清楚再問第二次的時候還會被叱喝。
最好一輩子在影印店當店員。
說真的不太明白為什麼要被這樣對待，更何況詢問者是以友善而且有禮貌的態度去詢問問題的話，店員這種反應以及回答方式真的是非常的不及格！ …"
Luffy Lin,5,以前畢設專題必去的印刷店，便宜又大碗
Jenny Chen,4,"第一次去都會被店員的態度嚇到（也太冷淡了吧！）但去了很多次，其實也不錯！進去的時候不用被東問西問，自己印完東西，問店員多少錢，再自己從盒子裡付錢+找錢～真的很方便！
而且其實如果有什麼問題，問店員，雖然他們臉都很臭但還是會回答的很詳細、也會盡可能的幫忙～
如果不要太在意服務態度，這家真的是很有效率且cp值非常高的地方！
（要印80幾頁的東西，也可以在五分鐘內完成（含裝訂））"
柯宏霖,5,這一家店很猛，不懂為什麼那麼多人評他們態度差，明明就很好。趕時間要印論文，二話不說直接開印，不到兩個小時內就交出來，太神啦，感謝神威，讚嘆神威。
C,1,接電話小姐態度不耐煩
洋洋,5,態度好不好另一回事，印的品質不錯，快印初稿也可以2小時後拿，效率很快
