author_name,rating,text
Jasmine Tan,2,5/12疫情嚴峻，店家全員沒戴口罩，邊煮邊口沫橫飛高談闊論，把警戒標準當空氣逆？勸大家不管外帶外送都不要訂
Darren Chiu,4,其實注意到這間店蠻久，但一直沒什麼機會來吃，今天天冷剛好就想來碗熱呼呼的海產粥。店內就一個負責煮，一個負責包，看起來都電話預訂，生意很好。現場等了大約30分鐘，熱呼呼的粥端上桌。說真的光看賣相是普普，但喝上第一口湯，歐喲！秒懂了，難怪生意這樣好。湯頭清淡中帶有微微蔬菜和海鮮甜味，這湯底融合了蛤蜊，青蔥，洋蔥，蔬菜...etc. …
珊珊,4,"沒有到評價說得那麼好！環境衛生有待加強。
有先打電話訂，但是沒有準時，還是等了一下子。"
蔡賢靜,5,"每次路過總是會被香氣吸引
吃了覺得十分滿足
虱目魚粥魚肉大塊又多
海線湯麵味道特別
價格公道
推推必吃"
李光裕,4,料給很多不管是麵或是粥，頭好喝。
Jia Rong Li,2,"料滿實在的但等半小時不是很值得，湯泡飯不太像粥，有頭髮跟小蟲子。可以理解煮的人不戴口罩，但連接電話的人都不戴口罩感覺不是很健康（衛生）。

吃過一次就好！"
戴立綱氣象,5,海鮮麵130，至少1到2小時前預訂，假日不營業。
林傑,4,"口味甚好，湯頭鮮甜，米粒軟不爛，尤其各類水產口感口味能吃出新鮮。
極力推薦"
Mimi龍,5,"即使漲價20元後，
生意依舊非常好，
經常要預約、要等。
海產粥味道很好，
用料實在，海鮮內容大概是，
花枝、蝦×1、魚肉片*4、
蛤蜊*3、豬肉片*4吧，
上桌後基本上不太需要再調味。
比較特別的是，
豬肉有麻油味，湯卻喝不太出來，
應該是肉片有先泡過再煮的關係吧。"
Sean Hung,1,很普通的店，不懂為什麼會這麼有名？點餐到煮好要一個多小時，等超久。。。。。一次只煮三鍋，料也不多，就是一隻蝦，三個蛤蜊，幾篇薄香菇，高麗菜+肉+透抽，一碗要 130元？！店內簡陋，環境衛生不佳，店員都不戴口罩= =
Yayun Chien,4,"料多味美, 海鮮很新鮮, 要預先打電話訂餐, 不過店面沒裝潢, 沒冷氣, 環境有待改進。"
Eva Chi,5,"路過了數不清次的阿英海產粥，終於在一個冷冷的天幸運地不用等太久來吃

🍽食物短評
1）跟想像中的「粥」不太一樣，比較像湯泡飯的感覺
2）海鮮的料算多
3）湯非常鮮美！！
4）好吃！真的好吃！

🧂其他部分短評
1）老闆沒有像評論中的無理，不知是不是運氣問題
2）當天被告知要等至少15分鐘，但實際上沒有那麼久。或許也是運氣問題（？）
3）比較可以改善的個人認為是用免洗碗裝熱騰騰的粥（怕）。如果知道內用也會被裝在免洗碗裡，應該就會自己帶碗去吃了😣"
楊小靜,1,打電話訂餐（核對過兩次）拿回來發現做錯兩碗，去電告知，小姐說下次補給我，過兩分鐘又回電說要我自己把錯的餐點拿回去換，你以為我住隔壁嗎？你們的時間是時間，我的時間不是時間？
Adam Chen,5,"你們還在看評論哦？
就直接來吃然後，把這個地點設喜愛啊。

記得要電話預約哦。"
陳澄,1,"1.不吃肉不能換其他料 也不能便宜一點... 真心很大牌
2.電話預約準時到還等了15分鐘 更瘋狂的是沒預約的路人當場點跟我同時間拿到................."
xuan y,5,超級好吃！記得要先打電話預定，不然現場是很難排到的喔！
georgemouse,5,十年不變的好味道，推薦虱目魚肚粥！
吳欣潔,5,12/11晚上約九點多過去沒什麼人就畫單了，直接現煮不用等，不是吃飯時間很快🤣老闆娘也沒有評論那麼誇張兇，害我們畫單很緊張，趕快畫完遞單🤣🤣拿到粥趕快離開，哈哈哈！可是很好吃欸，湯很鮮，可以一直喝，小卷也很新鮮，覺得好吃，還有那天是臭臉阿姨最後一天上班，聽阿英羊肉羹說的，羊肉羹也好吃喔！
Joanna T,5,"第一餐來點要等一小時以上有嚇到
不過小姐很貼心說下次可以先電話訂還給我菜單回去看
今天終於吃到~湯頭鮮甜、料真的很多
還會再來消費👍"
小孟芹,5,"真的很好吃，所以訂的人超多！
沒訂的絕對不要碰運氣來喔~🙃
至少要提前一個小時打電話過去！"
