author_name,rating,text
Nifty,5,前ㄧ晚到現場撲空已關店，似乎提早關店。於是計劃隔日13：00現場排隊，排隊人潮多，疫情期間每個人排隊都能維持安全的距離排隊快速，現包新鮮又好吃。這次還多試了香菜口味很驚艷，整體來說沒有以前鹹，口味有調整過皮ㄧ樣Q!給5顆星，也謝謝店裡好多包餡人員，疫情期間水餃真的是懶人料理，辛苦了
steve yang,5,2021六月初第二次購買，因當地停車位難尋只好騎機車去，一點剛過前面排了十幾位，水餃生意太好都未冷凍，天氣熱遠途最好自帶隔熱袋，結賬很快，價目以圖片最左壓克力燈板為準，紅色為舊價，返家後先煮了盒香菜豬肉，皮薄餡多不用沾醬就很好吃
Jimmy JIH,4,疫情期間營業時間改成10點開始，要提早來排隊，賣完為止。
Roger Tsai,5,本來生意就很好，最近疫情肆虐來買的客人多到排長龍，車子都得並排暫停。
任奭,5,大排長龍還限購，你說生意好到哪裡。
黃淑慧,5,"疫情關係10:00開賣,9:00就有人排隊了。只能買20盒"
Irving Liou,4,美味依舊，但似乎比十幾年前小一號。
郭炳煌,2,是因為疫情的關係，今天5/17買的水餃比往常買的餡少很多
Chiels Liu,4,水餃超好吃，但附近交通會因為太多人來買而阻塞~只賣生水餃~
蘇國堂,5,桃園分店門市人員很親切⋯水餃內容非常好吃⋯可以去這家店買喔⋯⋯保證CP超值⋯
謝育庭,3,不知道是吃魚槳還是豬肉 打太黏稠 吃不出 豬肉的鮮甜 有點像 冷凍豬肉冷過頭 口感
momosum,5,"撲空了！不過還是會繼續支持！
都好吃♥♥"
張永炎,4,"價格合理，口味水準之上，只有外帶，服務就別奢求，因平日隨時人潮不斷，5/16,08:30到店想買，己排约20人，懶的排離開，下午13:30再去，想說午餐後的午睡時間，總没人吧，哇!近百人在排，(每人限購10盒100顆)非常時期吧,又是吃不到，唉!會懷念"
悠寶,4,"路過看感覺很厲害 買了兩盒來試試
只是不便宜欸 拿到後才發現 一盒10顆
花枝蝦仁鮮肉 $140
蝦仁韭黃鮮肉 $120
平均一顆12跟14塊  頗貴!!

煮開後 算皮薄餡多
味道上是不錯 個人覺得有點偏淡
如果不要賣這麼貴 回購意願會比較高 一點

台北市冷凍水餃目前還是比較愛吃「沅誠海鮮水餃」在東門市場裡面

📢如果照片跑不出來 可以點↑↑上方我的頭像裡查看

⭐️飲食參考：
甜：以星巴克「焦糖瑪奇朵」來說，半份濃縮、糖正常
鹹：蠻重鹹的
辣：中口味斟酌參考"
Nash Huang,5,水餃便宜好吃 cp值超高 口味很多任君挑選
pichen wu,4,餡飽，味鮮，麵皮Q，可惜有些會開口
BoBo Chang,5,在某間咖啡廳吃到，查出他們賣的是阿玉水餃，立馬衝去買～外皮有嚼勁、高麗菜豬肉的內餡吃起來不油膩，連吃了好幾天！生鮮直接煮、冷凍過後吃起來的感覺差不多，這點蠻厲害的～
ColaSheep (ColaSheep),5,CP 值高到驚人的生水餃專賣店，建議盡量吃當日生產的新鮮水餃，而非冷凍過的。
Ammy Tseng,5,"吃了近30年的水餃😋
最近迷上他們的花枝蝦仁鮮肉水餃，兩週就需回購一次😀😋"
莊麗珠,5,菜新鮮，水餃味道佳，價錢合理，員工工作效率高，服務品質優，頭腦比客戶清楚。
