author_name,rating,text
Rebecca van Ang,5,"德式美食，
有早午餐、肉類主食、蔬食沙拉。
🌱有Vegan

⚪蔬食沙拉-任選四種 $295
附兩片德國自製麵包與飲料。

如果吃沙拉的話，
可以直接走到櫃檯選擇口味，
約莫有六、七種可以選擇。

這次點的有：
舒肥雞胸肉沙拉、萊茵馬鈴薯沙拉、
養生鷹嘴豆生菜沙拉、貝殼冷麵沙拉，

附上的兩片穀物麵包外層酥，
是帶著些許酸味的硬麵包。
莓果醋酸的有味。

馬鈴薯洋蔥沙拉搭配香料開胃；
舒肥雞肉沙拉較為普通， 肉質稍乾；
冷麵沙拉有菇與蒜頭、胡椒、辣椒調味，稍辣一些；
鷹嘴豆沙拉有高麗菜絲、甜椒絲、豆苗、生菜 、鷹嘴豆，配上酸甜油醋醬。

沙拉的選擇多，
很適合夏天時吃，
清爽開胃。
下次有機會也想試試看其他主食💕

Ig:rebecca_gourmand"
Jarod Chen,5,"歐風蔬食沙拉外帶 小盒（任選三種） 165元

大熱天沒食慾時特別想吃沙拉 歐嬤真的是個好選擇 冰冰涼涼的超推
沙拉可以自行搭配 每天也會換不同菜色 也可以加點雞胸肉之類的
想要攝取蛋白質 澱粉 纖維自己選 很方便
份量還算不少 雖然看似不便宜 但比起69元的超商沙拉CP值更高

目前吃過的有

舒肥雞胸肉沙拉 （雞胸約75g）
雞肉不會太柴 搭配萵苣 好吃
不過有肉的好像就只有這個 對想補充蛋白質的這就是定番了

青豆仁核桃薑黃飯
從冷藏櫃中拿出來 薑黃飯卻不會過乾 …"
王嘟嘟,5,想說來點健康的下午茶，沙拉區好特別每樣都想吃，馬鈴薯沙拉洋蔥很多好吃，貝殼青醬麵青醬超香，套餐附湯超級專業的菌菇湯，很濃卻沒有加奶油，蛋糕本人也是完美，覺得下午茶套餐跟沙拉套餐都很飽足，價位跟份量十分滿意
QQ LEE,4,"去德國吃過當地的早午餐
覺得這家味道蠻像的
麵包很健康好吃
很喜歡三種口味的奶油
德國豬腳外皮很脆
配上酸菜芥末真的和去德國吃口感有點像
燻鮭魚酪梨歐姆蛋料也很多
甜點也不錯～
會想二訪的店"
En,5,"餐點好吃，蔬菜美味還有無麩質麵包❤️
不過我朋友說紅酒燉牛肉味道太淡😂"
JopheiY,3,"豬腳好吃(要預約，口感外酥內軟)、但香烤時蘿鮭魚低醣餐還有藍火龍都不太喜歡且價格偏高，不會想要回訪。

香烤時蘿鮭魚低醣餐：擺盤很美，鮭魚皮金黃酥脆好吃，但肉質味道普通；厚切番茄很好吃；時蔬炒藜麥沒有味道之餘，好像涼拌比用炒的好吃😂

藍火龍：照理來說藍莓、火龍果和香蕉是不會錯的組合，但是加上燕麥和蜂蜜之後比例失衡，味道不太協調，呈現一個奇怪的甜味，不太喜歡。"
Shih-Chi Chang,5,三種沙拉+麵包的外帶組合，均衡清爽份量剛好，太適合防疫期間午餐！
許電池,5,餐點很好吃！兩個人女神來可以點一個德國菜加一個沙拉套餐～很棒！
hemin huang,3,"蛋白質捲餅-雞腿莎莎
超飽，我平常就很喜歡外帶這家的蛋白質餅皮，平常只要吃一張就很有飽足感～包裹雞肉莎莎外加太陽蛋，真的是光一卷就覺得很飽足。雞腿肉是大塊的，吃起來很滿足～
蛋白質餅皮本身較乾，是美中不足的地方。

男友吃的北德香燉蘆筍蘑菇奶汁雞腿肉，真的太好吃了！醬好吃到我一直偷沾，他的飯很特別，非常非常好吃～～我一直偷吃🤤"
黃小崔,5,"餐食用料新鮮，健康好吃😋，尤其大推店家的麵包、蛋糕、沙拉、飲品等，不愧是以烘焙食品起家的，餐食全部吃完也沒有太多負擔。
但若需要完全沒有油煙味的用餐環境、高品質隨桌服務，但進店前要先有心理準備。店內外場人員只有2～3人，需應付內用、外帶的，在尖峰時段會比較忙。"
