author_name,rating,text
高瑋成,5,"位於捷運科技大樓站，辛亥路二段的正香馬來西亞餐室，主打美味好吃的馬來西亞麵食 飯食  飲品。

海南雞飯，老闆很大方，給你滿滿的一整盤雞肉，雞肉鮮嫩多汁很有嚼勁，配菜豐盛有馬鈴薯 青江菜  小黃瓜  豆芽菜清脆多汁，沾醬有油蔥醬跟甜辣醬，鹹鹹香香酸酸甜甜很開胃。
米飯是屬於尖尖的香米，粒粒分明飽滿，搭配醬汁，讓人口水直流。
白咖啡，屬於微苦帶甜濃郁香醇，布丁Q彈綿密細緻。"
Phillip Enzo,4,"店員很用心清潔，客人用餐後會用酒精消毒擦拭桌面。
海南雞飯好吃，米飯調味好入口，雞肉很嫩。
可惜沙嗲沾醬不像在馬來西亞吃到的一樣。
如果有道地的茶冰就更完美了。"
Manic Peng,3,"食物口味不錯，但整體搭配不太好，適合偶爾嚐鮮，或是朋友喝飲料聊天順便用餐，經常吃不大好點菜。
椒麻口水雞的肉很嫩，香辣酸甜非常好吃，但套餐搭配的青菜泡在麻辣湯裡口味重了點，不是太能吃辣的話最好先撈起來。乾的肉骨茶香甜可口足，裡面的三層肉跟排骨都很入味，美中不足的是套餐沒有蔬菜，肉骨茶湯裡的配料又少了一點，一盤肉250的定價倒也不是不划算，但套餐吃起來單調也不夠均衡。結果加點一份蕃茄炒蛋蕃茄太少也不入味，有點是敗筆。"
Tew Cheerrie,5,"服務態度超棒～
這裏的乾肉骨茶是我來台灣以來吃過最道地的，超好吃！
海南雞飯也很好吃，超有家鄉味❤️🏠"
程璟昕,4,"海南雞飯價格算中上
可是不會有被虧待的感覺
米飯粒粒分明 雞腿肉很嫩
沙爹雞肉串味道好 配料也給得很到位
泰式奶茶好喝 冰塊少一點會更棒
老闆跟店員也都很親切 讚"
Miki Ieong,5,"店內環境乾淨，主食品項不算多。

海南雞腿飯 $155 （附湯）
附送的雞湯中規中矩，但是有味道的，不像有些店的湯很水沒味道。
雞肉滑嫩不柴，香米飯很香，但醬料有點少。整體來說，雖然沒有到很驚艷，但是好吃的海南雞飯，價格也很合理。"
州,5,"【海南雞飯 155元】

這個價格算是中規中矩（和憶X當X差不多，略便宜於池XX）香米飯真的超好吃⋯份量夠多、夠味又不會太鹹👍雞肉本身還行，但醬有點少；會先來一碗熱湯，冷冷的天喝起來很暖。"
陳怡靜,4,海南雞胸飯的雞胸肉很嫩，香飯也鬆鬆的，還有醬汁，覺得很特別~~
吳弘仁,2,第一次覺得百貨公司的海南雞飯會比外面餐廳來的好吃
Vincent Tien,3,海南雞飯搭配的醬料缺了黑醬油，肉骨茶是偏中藥味那種，用餐環境乾淨明亮，以學生餐廳來說算是不錯
Celia Ding,4,"整份套餐中最棒的是米飯，有道地的南洋味，雞肉本身不夠嫩，吃起來略柴，配菜有點隨便，3塊煎（炸）馬鈴薯、一碟清燙無滋味青江菜，而且青江菜切得太粗礦，帶著梗又不好咬下，有點失敗。沾醬部分建議可以多一點，或讓顧客自取，一開始送上來的份量，大概沾3塊肉就沒了，還好後來又跟工作人員要了一些。
用餐環境乾淨清爽，服務態度談不上親切（不是必須），工作人員不冷不熱，但要東西都會給。"
羽宮翠,2,不會特別驚艷，可能是我不習慣或許需要多嘗試其他品項
Lisa Hsiung,5,非常好吃，而且用餐環境簡單又乾淨，今天享用叻沙麵/肉骨粉飯，叻沙麵是我吃過最好吃的，吃完會想再來的店，推薦，👍👍（再來一次，叻沙麵附的海南雞變成雞胸肉絲，🥲🥲）希望下次還是海南G
Chloe Liu,5,"※酸辣湯麵 125元 超乎想像的好吃! 剛上桌想說好像有點小碗欸? 但事實上滿滿的料加上夠酸微辣 在冷冷的天帶來幸福的感覺🤤❣
內用還有免費熱茶可以飲用~~~
下次來再試試看他們的海南雞飯!"
John Chih-Chung Lin,2,海南雞飯不差，但不到驚艷，反倒肉骨茶湯排骨挺好吃，飲品奶茶也頗道地。另相較旁整條118巷的店來說，用餐環境算乾淨很多。
ユー。,5,乾肉骨茶一絕，推加了滿滿美祿粉的恐龍美祿
qiaoyu peng,5,用料豐盛，有油豆腐 金針菇 雞肉 半顆水煮蛋 豆芽菜 高麗菜 蝦子一隻，湯不會太酸也不會太鹹，讓我少見的快把湯喝完，價錢也可以接受。
錢世傑,1,"學校旁邊，覺得很貴，看起來還不錯吃，吃起來普普通通
原本要給兩顆，看到店家回應，覺得可以再扣兩分，但因為扣不下去，改1顆"
陳媛媛,5,"餐點不只好吃，是一家很溫暖的店！老闆夫妻很用心，也很照顧小幫手們！
會再訪！！
（個人必點麥片口味料理😍"
Y C,3,"海南雞飯還可以
但無法接受椰漿飯竟然配薯條....不道地"
