author_name,rating,text
林璟耀,4,"1. 飲料：還是認真比較推薦珍珠奶茶，而且可以點到半糖甚至全糖，因為他的半糖大概是一般飲料店微糖/微微糖的甜度。我今天加價點的紅茶拿鐵比較淡。

2. 滑蛋雞腿排飯：雞腿排很嫩很好吃，不過醬汁比較鹹，一定要配飯。

3. 銅盤烤肉系列：口味整體偏清淡，比較接近火鍋的感覺。我的朋友很喜歡，但我個人覺得還好。

4. 火鍋系列：就是正常的火鍋⋯正常的好吃水準內，但比較沒有記憶點

5. 甜點：烤焦糖布蕾很好吃～很大塊，CP值很高，非常喜歡

6. 服務：態度很好，但是外場的人實在是太少了。才兩個人要負責80左右的場，導致很多桌上的餐盤都來不及收，而且叫個飲料要叫3次才會來。建議時間不趕再來吃，不然一定會焦急到死。"
Joslyn Wu,5,銅盤烤肉超好吃 ，疫情期間落實實名制，而且要求大家入店一定要量體溫，沒量到還會追著你到桌邊測量
Ying Lin,4,位於臺灣大學隔新生南路對面巷內的集客人間茶館，有著獨特的裝潢風格：各餐區置全褐色木製桌椅，點綴綠色造景，牆面襯以中國古典書畫山水為背景，隱隱帶出文人墨客的情懷。外餐區右側牆面為清院本『清明上河圖』（傳世有三版本，清院本是集各家所長，復因受西洋畫風影響，街道房舍建築採透視原理作畫，比起宋張擇端、明仇英版本更為精美）。來此，有多種冷熱中國茶/手搖杯茶款，約100-150元，冷飲類採用超高大的玻璃杯，容量約一般手搖杯2倍，不怕你聊天口渴；用餐的種類有涮涮鍋/銅盤烤肉/日式陶板燒/風 …
Jia Jun Du,4,"餐點多樣、廁所乾淨，適合久坐聊天，服務也不錯。

一點缺點是，我明明是點銅盤烤肉，可是爐具上竟然有冬粉，控火的按鈕都是醬料😂😂，爐具的清潔可能也要注意。"
H Rybby,5,奶茶超大杯可口又可以久坐，32好友聚會的最佳地點啦
uglyway chen,5,地方寬敞，用餐環境乾淨舒適，銅盤牛肉好吃。好大杯珍奶。
Mingmei Hsiao,5,"養生湯底超好吃，每次來都必點個養生雞肉鍋吃。
套餐飲料超大杯
是個朋友聚會的好所在"
Cold Sherlock,5,有免費的插座 不限時的座位 超大杯的經典珍奶 非常適合聊天打牌玩桌遊
趙英蘭,5,服務人員熱心親切，餐點美味價格實惠，焦糖海鹽奶茶茶香奶醇，真是個喝茶聊是非的好地方！
李彩寧,5,"打卡送的銀絲卷很好吃
套餐加40元的飲料珍奶不錯喝
鍋物養生
每個座位都有插座可以使用 適合休息聚會"
Yu-Jen Chen,3,珍奶內用一杯100多塊，但根本沒有那個價值。茶很稀，珍珠也很普通。外帶的價格稍微正常一點，一杯50塊，但以它的等級來說，我認為只有35塊的價值
孫家菱,5,環境舒適明亮乾淨，餐點好吃適合聚餐的好去處 。 下次會再來的。^^
巫菁芳,5,"好吃～～價格很合理
點了藥膳羊肉蠻養生的
Google打卡可以再送炸銀絲卷～～
另外點的炸薯條跟招牌炸豆腐都好吃
最棒的是座位就有充電口！
也太佛心了吧
很適合休息！！"
蘇玴興,5,餐廳氣氛悠閒，餐點飲料好吃且價位合理，是個與家人好友喝茶聯絡感情的好選擇.
板橋李準基QQ,4,"跟其他集客一樣
就是一個聊天喝飲料的地方
飲料都中等
吃東西的話就是還可以
只要你不點咖哩

銅盤烤肉的肉沒有像其他家有醃漬
比較不死鹹
但是整體偏少 男生應該吃不飽"
賴玉琴,5,服務人員很親切，水果茶酸酸甜甜好好喝，花枝丸好好吃，還有給五星評免費送銀絲卷😋
楊乃冰,5,魚片蛤蜊鍋及鮮蝦牛肉鍋味鲜湯汁純美，是每次必點的涮涮鍋。
楊羽媁,5,"單純聊天、讀書寫報告都很適合的地方
飲料餐點cp值高
大推👍"
蕭清憶,5,"打卡送點心～
算是蠻常來集客的喜歡奶茶2333
雖然今天點了桂花烏龍"
曾宜璇,5,"超喜歡集客，銅板烤肉很好吃，然後有插座可以充電很棒，可以和好友待一整個下午。
評論有送奶油銀絲卷，看起來很好吃。"
