author_name,rating,text
Drodma Tharlam,4,"燙青菜很好吃！豆漿很好喝！價格的話，在台北吃東西就是那樣嘛，所以也不要想太多....

忠誠蔥油餅就是比較厚的那一種蔥油餅，後然後又有層次。比較沒有那麼油，是真的很飽足！

他的炒麵、炒米粉、就比較一般，炒麵比較像早餐店的那種麵條，炒米粉應該是比較Q彈的那種炊粉，但是還是不錯吃的啦～

不過，餐廳的衛生條件就不要多要求了...."
吳漢堡,4,畢業後才第一次來吃真是慚愧，蔥油餅順口好吃，牛肉捲餅的口感我真的忘了@@改天再去試一次
劉家宏,1,以前做的蔥油餅比較好吃，現在的蔥油餅我覺得很難吃，很像一坨生麵糰，幾乎沒什麼味道，我吃起來還有種噁心的味道。不推
Sarah Lu,5,蔥油餅有料好吃又不油，雖然店面較舊，店家注重衛生，早上經過都看到老闆娘洗蔥洗菜很仔細，也不會手碰錢又碰食物而是讓顧客自行找零，連找鈔票都用長夾子，很有趣，搬來以後固定點炒麵和蔥油餅，到現在沒失望過
鍾宇明,5,"四分之一的餅加蛋份量算很厚實，
蔥油餅不會太油，個人覺得配點醬油和辣椒油
會更好吃。
貢丸湯算一般。
105元的套餐算是食的很飽！"
陳方榕,4,"從大學的時候就常常來吃的店～
很餓的時候吃一個蔥油餅套餐超滿足，但內用的話可能要注意身上的衣服都會沾上一點油煙味是唯一美中不足"
Kevin Chang,5,跟看起來的一樣，脆有嚼勁，飽足感。是從小吃到大的口味。另有其他麵食熱食。
蔡承臻,5,"蔥油餅屬於較厚偏軟的口感，不是表皮酥脆有嚼勁的那種，但配上蛋香氣十足，還有幾種醬料可以沾。
滷牛腱意外地好吃，讓人驚艷。"
Shih-yuan Lin,2,食物普通，可以吃粗飽，不貴。不過內用環境太糟了，吃完出來全身都是油耗味⋯⋯
Estella Chen,4,"酸辣湯另我驚豔非常好喝，蔥油餅可惜是已經煎好的不燙口，炸醬麵麵體有嚼勁。

套餐很有飽足感。"
mu mu,5,這裡的蔥油餅實在太太太好吃了！這次點了1/4張蔥油餅+蛋，覺得份量非常紮實，蔥油餅吃起來不油不膩，口感厚實軟Q，單吃可以嚐得到麵甜香氣，然後店內有提供黑醋和辣醬，可以多醋加微微的辣醬，調製成有點像泰式的那種酸辣醬，和蔥油餅也非常搭啊！重點真的是吃起來不油，口感又好討喜，療癒飽嘴，真的超幸福的啦！家人有點半張+蛋，覺得那個份量不是開玩笑的，就像堆成一座小蔥油餅山，光看就覺得滿足XD燙青菜今天是高麗菜，味道處理的不錯，可惜剛好家裡有一大堆高麗菜，比較希望是深綠色葉菜XD酸辣湯不錯 …
蘇玟琳소원림,5,"四分之一張蔥油餅加蛋，真的很好吃，蔥味很濃，不會太油，表皮很酥
青菜蛋花湯不論是菜或蛋花都很多，口味清淡蠻好喝的
雙醬乾麵份量超多，麻醬味比較重
重點是三樣加起來才110元，套餐優惠真的很讚"
alfa awd,4,再次開業15年逾~東西實在，待人客氣。
劉冠妤,4,"老闆人還不錯
蔥油餅現桿現煎很不錯
但是覺得還可以再煎的脆一點
而且需要靠醬料提味，單吃比較普通
麵跟湯表現都還ok"
涂銘洋,4,一個蔥油餅套餐可以吃的很飽，平價美味，可是店裏總有一個油煙味每次吃完出來衣服都會沾上味道。
鍾易呈,5,蔥油餅厚實Q彈，但完全不像外面賣的油膩，無須沾醬，單吃即可從口中溢出陣陣餅香，已經自然的甜味。搭配套餐非常划算～一定要點來吃吃看
John Hsukarski,4,味道沒有過與不及，屬於標準。含1/4餅的套餐可以讓男生吃得飽。
James Leg,3,蔥油餅不油且好吃，但抄手麵的調味是奇特的偏酸，不喜歡
Fuvkingup Eveything,4,餅不錯，不油內嫩微外酥
朱彥如,4,店內油煙味重，百元內的套餐有湯、麵、四分之一蔥油餅。可以吃很飽！ps餅無+蛋是指蔥油餅加蛋！！！
