author_name,rating,text
Freda Yang,2,"四川擔擔麵太乾，花生粉沒香氣。
餛飩湯喝起來像煮麵水。小菜普普。單價有點貴"
顏慶瑩,4,麵和小菜都好吃，附湯有點油。
Chris Yeh,4,"麵的口感不錯,排骨好吃,有很多小菜可以選擇...地板有點滑,要小心!!"
Linda Yang,5,川喜麵店的麵和各式小菜都很好吃。用餐環境乾淨舒適，餐具也很環保。最重要的是不像一般店家使用美耐皿碗盤盛裝熱食，川喜使用瓷碗、瓷盤裝食物，很健康合適。是中餐和晚餐的好選擇。
yt,5,"炒手的紅油非常好吃，很感動。
牛肉湯都熬得很好，但沒有特別喜歡某些品項附的清湯。
惟地板有點黏黏的，可以改善的話就好了。"
Eyleen Chan,1,"食物味道超級差，簡直是沒味道，118街裡面隨便一家店都比這裡好吃~~
重點是價格很貴！！"
Chris Ho,4,"昨天去台大聽演講，中午覓食意外發現這一家麵館，光是門口陳列一排小菜，就直接把我吸進去了。
因帶著孩子所以吃不辣的乾拌牛肉麵，肉燉得很軟，麵煮得恰到好處的硬度，味道很棒，朋友點得椒麻麵，吃起來微辣很香，椒麻味道超棒，不會辣到喉嚨不舒服。點小菜也可以請老闆加辣，有去吃請務必嚐嚐他的辣椒。"
Lulu Huang,5,"酸辣紹子麵好吃 👍👍👍
環境很乾淨"
李海泉,4,現在這種老味道不多了，沒添加有的沒的，最重要不靠牛油提味，另有功夫小菜供選擇。
Mao yvonne,4,椒麻牛肉拌麵，燉得軟爛且肉大塊，配上花椒的酥麻，很夠味！附贈美味牛肉湯喔ㄓ
陳威佑,5,"用餐空間舒適不擁擠，小菜類很好吃都相當入味，麵食類麵條有嚼勁，味道不錯。
而且店員態度都相當客氣有禮貌，是一間值得去用餐的好地方"
Manekineko Iteza,5,環境整潔、餐點有水準、小菜選擇豐富
王冠倫,3,食物與料理品質都不差，但就是價格有點高。以附近價位來說，應該是幾乎最高了？同時，這店家即便是正午用餐時間也大致不用排隊。在願意吃好一點及多付點錢的狀況下，屬於可以考慮的對象。由於價格過高，因為個人僅給予三顆星的綜合評價。
Akemi Nemoto,1,"圖片：左邊小菜40。右邊一個雞腿130！！？（🍗很貴哦！天價，味道很一般）
來這邊還必須 點 麵和湯 （！？）
個人感覺是家黑店"
N. Barbour-Lacey,3,麵類品質可以，但是這種價位麵配的青菜份量真的太少。小菜很貴，以前的飯套餐都沒了。很可惜。
Paul HUANG,3,"第一次造訪 乾拌麵搭配的附湯，味道醇厚，令人讚賞，忍不住又加點一碗餛飩湯
第二次沖著湯頭，直接點牛肉麵享用...

懷疑是不是走錯？
醇厚的味道蕩然無存
湯頭清單無味，麵是麵 湯是湯
草草吃完，失望離去"
Lee An,4,"整體價格是有略高，但不誇張，要看品項。
牛肉麵大碗180，其實不特別貴。小菜如果就是些魯蛋豆干，價格也很正常。但餛飩麵大碗100，偏貴一些。

餛飩雖然個頭不大，但肉很鮮，湯頭不是清湯噴點油蔥酥的那種，應該是熬了很久的骨湯，是濃口、黃白色的，很好喝。

雖然說價位偏高，但用料跟烹調的用心程度都對的住，所以給四星。"
Justin Chen,5,椒麻口味跟雞肉都超棒的！
陳咪咪,4,鯽魚不推薦、太鹹、價錢頗高一條270元、但其他小菜及地瓜葉都很棒、越南工讀生態度佳、所以還是給4顆星、加油！
洪瑋成,4,四川澹拌麵還不錯，味道濃郁，辣度小辣，喜歡吃辣的會覺得不辣，很詭異
