author_name,rating,text
MARK LI,4,"【 自來水博物館 】
位於新店溪與思源街旁的臺北自來水發源地--臺北水源地唧筒室，其主體建築於1908年，迄今已有近百年歷史。

其建築最大特色是採新古典主義為主軸的巴洛克式建築風格，內部的陳設更具有歷史意義，每一部機組設備皆代表自來水的演進歷程，蘊含著豐富人文價值。

自來水博物館於2000年正式開放參觀，因其特殊歐式建築外觀，歷史及教育上之重要意義，現已成為市政、教學團體參觀、宣傳廣告與新人拍攝婚紗最受歡迎的景點之一。 …"
Ying Lin,5,"位於台北市中正區思源街1號--紅拱造型「永福橋下公館端」的自來水博物館，是台北水道發源地、台北城現代化的起點。是個令人靈魂無限感動的重要史蹟，更是台北近代發展的重要關鍵建設。

一、興建緣由： …"
XinJin Xie,3,博物館內導覽的叔叔很熱情、講解仔細又風趣，建築外觀也是充滿異國風味的巴洛克式，陽光下非常適合外拍。但是觀音山蓄水池和水水光廊目前都禁止進入.......原本是看了網上大家介紹才來的，結果非常失望😑😑
高慧娟,5,幫家人顧小孩 疫情期間在家待不住了 口罩戴好 小朋友很開心
hsien-sheng Chen,5,在台北市區公館商圈附近的自來水博物館，歐式建築古蹟，展出自來水廠的古早文物設施，環境清潔悠雅，適合全家人散步，看文物了解歷史，每年二月份前後園區櫻花50多株（河津櫻花）開放，吸引很多遊客。很棒的場所，交通又方便。河津櫻花是很早開花的櫻花，花開迎接春天的來臨，河津櫻花台北地區較少有，自來水博物館圍牆內側，一整排的河津櫻，拍攝起來很壯觀。此櫻花花瓣較大，淡粉色，很漂亮，花開時，很多霹靂布袋戲迷都帶大木偶出來曬太陽，再櫻花樹下取景拍照片，吸引不少民眾圍觀
chi chi,4,歐式建築外觀，彷彿置身國外。網美及拍攝婚紗喜愛的景點之一。現有櫻花綻放，跟大型鯨魚裝置物，增添趣味。夏天園區可玩水，冬天適合逛園區，很是舒服。
BigLiaw Liaw,4,雖是假日卻沒有多少人，或許與寒冷天氣與疫情有關，園內設有臺南市的ORCA大型充氣鯨魚數隻，有各種大水管的裝置藝術，巴落克（？）主建築也是排照重點，另本次入園首次發現之前沒注意到的“小觀音步道”，最高點處有蓄水池及淨水室等古蹟。
Thomas W,5,旁邊的一段小步道，走完一圈約不到一公里，適合帶小娃兒來親近大自然，必備防蚊貼片。
胡惠珠,4,位於公館商圈中的休閒小區，可搭配寶藏巖、台大校園做一日遊，在炎炎夏日既輕鬆又消暑，水源區更是適合兒童戲水，或是四處拍照打卡的好去處。
誠誠,4,"冬季時園區內人少的剛剛好，逛起來比較舒服。
園區內有小觀音山步道（海拔約40公尺），循步道慢遊一圈約40到50分，可到小觀音山蓄水池（號稱地下宮殿，需提注意開放時間，1530到時已關門），也可看到新店溪等景色，適合親子旅遊。"
Sylvia,5,導覽詳盡，對日據時期大台北自來水系統建立有更深入了解。大門口有戲水區，園區內也有一小段自然步道，非常適合闔家假日散心。
YiYing Lian,5,位於公館商圈旁邊，園區內有各式裝置藝術，自來水博物館外觀為歐式風格建築，裡面有介紹自來水歷史，適合帶小朋友前往，夏天還可以玩水，春天則有櫻花可以欣賞
Wang Johnson,4,"時代賦予這個抽水站一個歷史
保留了近百年，台灣自來水發展史
無論近百年水管，抽水泵，或是洗手台
921地震中部自來水管扭曲變形，告訴我們，大自然的力量，省思我們珍惜資源，飲水思源"
李世宏,5,臺北水道水源地位於臺灣台北市中正區思源街1號，國立臺灣大學水源校區對面，原為中華民國三級古蹟「臺北水源地唧筒室」，2002年2月5日公告更名，並將觀音山蓄水池、量水室、渾水抽水站列入古蹟主體範圍。現由臺北自來水事業處開放為臺北自來水園區內之自來水博物館（水博館）。是個漂亮的地方，值得來參觀。
Tina Li,5,園區很大、裡面很有得逛！參加限額的觀音山蓄水池的導覽、講解得很祥細！瞭解台北市自來水的歷史、很棒有很有意義的行程！
吉兒,5,"跟著導覽員的步伐，沿途講解走上觀音山，到達山頂時，映入眼簾的紅色建築，大門後的地下水宮殿💧, 有著相當重要的歷史任務，雖然現在已經功成身退，但，透過熱情又詳細的導覽解說，彷彿歷史重現，令人嘖嘖稱奇。"
Sundra Wei,5,巴洛克風情建築讓婚紗攝影列為拍照地點，內部陳設的機具更具歷史意義，代表自來水的演進過程，後面有小觀音山生態登山步道，到觀音山蓄水池再轉步道到寶藏巖國際藝術村，能玩的很盡興是非常棒的景點。
許苗,4,小巧的 踏青所在，雖有知名的地下儲水地宮，僅假日開放導覽，上下午各一場名額30人，我下午早早去被告知一早已被發放完了 ，遠地來也只能自己走走後山坡，這裡是不錯的年長者踏遊的 好場地，惟65歲以下要收費，若不是要看儲水地宮，到附近對面的台大，校園優美又有9處免費小型博物館，可觀覽之處絕對優於此地。
yeoman,4,"自來水博館   管路千千轉
到處會轉彎   水流可循環"
YH HS,4,很值得參訪的地方。惟一可惜是導覽老師遲到10分鐘，預計50分鐘的行程卻又花了1個半小時做生態環保教育。可以深入參觀古蹟的時間被佔用掉了。
