author_name,rating,text
Pojen Liu,5,大口吃肉的感覺真好👍數十年的好味道都沒變👍
John K.H. Lee,4,"看裝潢已經在地多年了
用餐時間常客滿
上菜與續肉盤小菜速度超快，服務不錯，牛羊豬雞基本盤都醃製過，雞肉小辣。
可選擇的菜色不多
餐後也有水果柳丁"
Simon LEE,5,店面位置很好，在巷子的邊間，位在深處的座位仍有有靠窗的空氣流通。烤肉的口味比較偏台灣人的口味，但我覺得很好吃。
王克宣,5,"真的非常好吃！
現在還新推出了 牛、豬、雞、羊便當
而且只要130元，能吃到這種便宜又好吃的便當
真的非常平價！大推"
Grayce Yu,1,店員人很好，很親切。可是飯碗這麼髒，這麼黃為什麼還要繼續用？
windkidll Chen,5,"價位便宜、能續點的東西都在菜單上、口味偏鹹
座位沒有很多宜先訂位
有招待豬小排、餐後有送水果
還不錯"
奈米雪,2,另一家比叫好，有冰.拔絲地瓜跟餅，要吃什麼自己拿，但因合約到不租了好可惜
Jennifer Chen,2,"環境部分，一進店內濕悶的味道很重，於用餐過程中整桌的人也不停聞到從後面不知道是備餐區飄出的可怕樟腦丸味...很難不影響用餐感受。
食材部分，肉質以同樣的價位其實能有更好的選擇，但若選擇吃粗飽的話還是可以的，小菜部分不知是什麼原因整桌共餐者都認為味道較酸，但不清楚為新鮮度問題還是店家之調味較不同，所以不多做評論。"
鍾富叡（Ray）,5,服務態度不錯，小菜可以無限吃，肉盤也是，吃的超飽
謝志軒,4,平日午餐時間客人不多，300元能吃到牛羊雞豬四種肉，還有小菜、粉絲及王子麵，飲料有冰涼的麥茶及冬瓜茶，老闆上菜速度快，個人最喜歡雞肉，吃到最後口味偏鹹，環境較為陳舊，老闆的服務態度良好。
Rebecca Huang,3,服務態度好，但口味偏甜；另外，在廁所外填補食材，覺得似乎不太ok；建議廁所處可用門簾遮擋，不要讓用餐的人直接看到廁所..
Scin,5,"價位真的很超值不加服務費👍
中午300 晚餐350 超級平價
基本上除了拿飲料和上廁所以外
都坐在位子上🥺還不加服務費

肉類有牛🐂豬🐷羊🐑雞肉🐓
小菜可以續 ❤️泡菜搭配烤肉很美味🤤
泡菜也不會過酸或太甜，是解膩的好幫手
非常喜歡特製沾醬醬料 口味有點微辣
不敢吃辣的也可以🤤
讓烤肉吃起來不膩口🌝可以再吃一盤🤭

滾過豆腐還有冬粉吸附湯汁也是好好味

飲料只有麥茶喝冬瓜茶🥤
來吃烤肉飲品就不是重點🤣

服務人員很親切，餐後還有附水果

附近停車🅿️很方便！對面就有了

會想一直再回訪的餐廳🍴"
chang-yun Lin,3,"飯煮的好吃。冬瓜茶好喝。
包肉的生菜若是能大些就好"
Chien,1,"吃得很不愉快的原因是因為有個奇妙口音的女店員，還是女老闆，不知道我們一直在暗示她請讓我們安靜的吃飯，她一直囉囉嗦嗦的告訴我們要下肉，要添水，鍋子會燒焦，會很難刷，讓我們覺得吃得很有壓力，另外，花枝很不ＯＫ，不知道為什麼吃起來有點假假的....也許我們不懂吃，但絕不會想在去第二次了，是趟很不愉快的個人用餐體驗。
——
根據店家業主底下的回覆，讓我更確定我個人給的一星是有點多餘的，畢竟沒有更低的分數可選擇了，我會不知道自己去的是哪一家店嗎，別把你的客人當笨蛋。"
Kexin,5,"1.這是間純烤肉的分店 ，若想吃別的熟食且不在意價錢問題，可到汀州分店吃

2.作為梅江的忠實顧客，看到那些覺得肉很鹹的負評，我只想說：店員都會很好心的提醒我們，怕太鹹就不要加肉汁下去，不然就是不要把鍋裡的湯淋在肉上，否則會鹹上加鹹

3.對於喜歡吃肉又沒什麼預算的人 ，不妨到這來試試口味

總之 ，這間店是我的口袋名單，對於那些給予負評的人，我只能說：心態問題！！
如果真的有因為客人太多，而有服務不週到的地方，我希望各位能保持寬容的心去對待，畢竟要在人那麼多的情況下，去照顧每個人的需求實在是太難了，更何況他們還沒收服務費呢。"
Lin Lin,4,"吃到飽價格優惠又不收服務費
餐後有水果還不錯…適合肉食主義者，只是後來越煮越鹹，建議店家少鹽料理！
還有老闆人很好，很有善心！"
朱國平,3,這是家老店了，開蠻久了，韓國烤肉可以持續經營那麼久自然有它的口碑，價格適中，服務不錯，而且可以無限續點吃到你爽
洋洋洋,1,很難吃 肉超爛 很髒 廁所門沒關  廁所臭味直接飄出來 邊聞邊吃飯 餐廳清潔也是堪憂 銅盤上也是飄著不明的油脂 300塊花的不情不願 要不是只能給一星 我會給負十顆星。
林小紓,4,"很不錯阿
老闆娘很親切的教怎麼烤，也會提醒加水，補菜補肉速度也很快(我平日晚上去)
醃的肉好吃，夠味，雞肉很嫩，唯獨食材就是雞豬牛羊四種肉，以及蔬菜
三樣韓式小菜這樣。
以吃肉來說很可以，350晚餐吃到飽不用服務費!"
ㄧㄔ,5,"真的超棒的👍
店裡的阿姨還幫我們烤肉
真的是天使👼謝謝😭
肉什麼的真的醃的很好吃
小菜也有三種❤️❤️❤️❤️"
