author_name,rating,text
Sergio Lee,4,"假日來的人真的超多，買的時候280號，我們領320號，結果等了50分鐘才拿到，但是如果只點飲料可以提早很多，有鬆餅的話只能慢慢等。

這次點招牌蜂蜜口味，不過店員沒有特別跟我說要放平的拿，直的拿蜂蜜會流出來，其他分店的店員都會提醒，我猜是真的太忙太多人了，但是這不能成為藉口，所以這裡我要小小扣分一下。

鬆餅的話是真的很綿密好吃，畢竟是剛出爐的，但是我點的紅茶就很普通，而且沒給吸管= =，只能撕開封磨這樣喝，有點不方便。"
houpu Liu,5,鬆餅的種類有很多樣，可以讓每個人都有各種的選擇。週邊的環境也有很多花園，鮮花非常盛開。
咖哩,4,剛烤好的鬆餅外酥內軟，藍莓起司好吃，牛肉調味也不錯。每次假日都好多人，等候時間約20分鐘。
州,5,"從大一吃到現在！
折扣方式也從學生證折五元，
變成學生證打九折。
在稍微漲價的現在，還算蠻划算的！
首推卡士達～每次都多到爆出來，不論是搭配巧克力、藍莓或抹茶，和熱熱的鬆餅一起吃真的是下午茶最棒選擇👌👌👍"
Martin CHEN,5,"久違了的好滋味⋯⋯

幾年前 在板橋英士路上開了一家 小木屋
後來 卻倒了(真的要慎選員工啊)
一直對原味鬆餅 外層酥 內層軟的口感念念不忘
經過多次台大
這回 終於走進去給她排隊 其實 等不到10分鐘

口口都是記憶中的好滋味 難怪狗兒子生前那麼愛吃小木屋鬆餅～  ^_^"
Fergie Liu,5,"今日買鬆餅熱騰騰、料多～味美！
防疫很用心～～！！
佳萱店員小姐、在結帳完用酒精消毒雙手再碰器材、甚是細心！

不慎將籃子翻倒，店員迅速處理，很感謝、也不好意思！"
bobo0314,1,"配餐的薯條超級少，定價39的薯條量大概只有麥當勞的1/3，現在薯條是有多貴呢？
當我沒買過冷凍薯條嗎？

就不說鹹鬆餅裡的肉不多了，雖然價格直逼一個有主菜的便當，但身為台大校園内的餐廳，這個價位和其用料量真的不值得。
這比較像是觀光景點薛觀光客的準黑店。

下次不會想再吃，旁邊的韓式炸雞都還比較有價值。50元可以買到滿滿一個湯紙碗的炸雞排(塊)"
安安今天去哪裡旅遊?,1,"感覺不太好 今天下午15:16打過去預定鬆餅他跟我說現在不用等，去的時候點了有肉的鬆餅跟我說下次請先打電話來，那不是很矛盾嗎？然後還沒講完就插嘴好像我欠她錢一樣 服務態度不太好
玟秀-非常沒禮貌態度不好 欠他錢一樣

拿到鬆餅之後我點的是葡萄奶酥裡面有芝麻醬 跟我說是盤子上沾到，是不是衛生習慣有待加強！- 我個人對芝麻真的不能接受這樣還要我吃

今天我是送人對叫我怎麼送

下次不會再來！"
Jerry Hsiao,4,"常常大排長龍，旁邊有ubike 2.0, 有露天座位，旁邊的教室廁所有時不會開放，外校人上廁所需走大約100公尺到靠近基隆路的大樓（有肯得基那棟）去上，旁邊賣農產品的福利社旁有洗手臺及垃圾桶。"
joy Meow,4,"剛烤好的鬆餅，搭配冰涼的香草卡士達醬，酥口濃郁的甜蜜香氣咬下很滿足
適合晚餐前來點下午茶品嚐♥
*對女生來說份量十足，麻雀松鼠也很喜歡😂小心不要掉了
周遭的風景、座位也很適合帶毛小孩來散步哦！"
陳睿謠,5,鬆餅剛烤好的好酥香，鬆餅本身不甜，所以甜鹹口味都不錯吃~
彭家蕙,5,吃2個太飽，一個人吃鹹的，一個人吃甜的，對分才剛剛好。
Waijee Huang,4,"服務態度一般，草莓鬆餅的草莓感覺少少，但也不貴就是了。
（店家不負責處理自家店產出的垃圾，需自行處理喔）"
史蒂芬,4,"很好吃 但是服務還有速度可以再快一些
Great food, but have to wait for a long time"
Sam Yeh,4,台大校園是台北人休閒好去處，有此一點心小站很加分！
mi mi,2,"碳烤雞腿蔬菜鬆餅💰70❤️❤️🤍🤍🤍
專賣鬆餅的店竟然鬆餅不是熱的😫就算做好放著再加熱，也可以用熱一些麻😭
醃製過帶皮雞腿有2大塊，肉質是軟嫩的，鹹度不會過高，帶有碳烤香氣與淡淡甜味，沒有特別出色，但也不難吃
另一個雞肉的選項“紐澳良雞”是肉絲唷！

✍️買完在旁邊座位享用，但是超極多蚊子！臨近的師大店環境好一點
餐點表現沒有特別美味，想吃鬆餅有更好的選擇，另外，如果想吃熱鬆餅，記得請店家加熱久一些🥺"
張芯寧,2,"鬆餅便宜又好吃
飲料料多又清爽
佳萱店員沒禮貌
請員工訓練加強"
Yc wang,4,台大校園內最有人氣的店，經常要排隊等後，鬆餅香酥美味。
Chien-Che Hsu,5,藍莓卡士達熱騰騰～很可以👍
Rachel Lai,5,鬆餅酥脆度不錯，巧克力香蕉鬆餅內的香蕉有半條，沒切片故不是每一口都吃得到香蕉，不過巧克力醬塗得滿厚的。
