author_name,rating,text
ANDY LIAO,5,"自1997.02月購車，賤駒將滿23歲。因屬OPEL冷門車種，國產汽車財務問題，轉由台勁負責維修，因維修技師熟悉度，導致部份車友的愛駒，小問題維修未能妥處，最後變成另人生氣氣的汽車。
好在當年透過族群同好車友網站資訊，分享親身體驗及推薦位於台大後門辛亥路的國隆，因離上班公司距離較近，20多年來造訪過三次，先後處理漏冷媒問題、壓縮機拆解保養。 …"
ChinDa Huang,5,鄭老闆人很專業，不坑人，人很實在，會幫你設想修與不修的方案；正直老實，不會讓你多花錢！
voice YU,5,老闆為人實在又親切，技術好又很仔細，自己經歷三台老車，都讓老闆顧的很好，而且價錢公道，緊急時打電話還能幫忙解決問題！
李Paul,5,"冷氣突然不冷 Google了一下附近的修車廠
看完評論選擇國隆 果然沒選錯
老闆5分鐘找出問題 收費便宜"
Chih Tsung Chuang,5,前幾天修車廠師傅判斷汽車變頻冷氣機的‘普利’損毀產生異音，個人覺得應該尋求專業商家諮詢，今天中午刻意前往國隆汽車電機檢查，專業結論是冷氣運作常，異音來自皮帶張力普利盤。 謝謝商家無償提供服務！
nhow,5,前幾天，車行外停一台待售的藍寶堅尼，小弟自己非常喜歡，跟老闆說可不可以借來拍照，老闆竟然答應了，真的是一個好老闆，還讓我坐在駕駛座，大推這家。
陳安安,5,冷氣不冷，老闆花不到30秒就找出問題，換個小零件就OK了！大推！
Alex Liu,5,專業 ，親切 ，經驗豐富 ，迅速查出其他車廠查不出來的冷媒洩露點 ，一次解決所有問題 ，老師傅就是厲害！
羅陳美惠,4,店雖小但老闆非常親切、熱心！
小亨利,5,"我們家是04年福特Metrostar,  冷氣不冷了好一陣子, 平常保養的保養廠老闆說車子太老不敢動手修。網路上找到國隆電機, 特地開來請老闆檢查,  老闆很細心地確認問題點,  並且詳盡的說明損壞的狀況,  以及建議的方案,  讓我們很安心的在合理價格下完成了冷氣的維修,  非常謝謝老闆,  這是值得推薦的良心店家。"
丁兔兔,5,Delica駕駛座車窗升降裝置故障，兩家車行修不好，老闆搞定還幫忙叫料。價格也合理！相見恨晚！
jason H,4,去修了水箱風扇，原預計要三個鐘，結果一個多鐘就完成了，老闆人不錯，技術熟練到摸著就能拆裝螺絲，真是佩服了。
peir kao,5,我是Forest（森林人）車主，冷氣不冷打給鄭老闆請老闆評估及叫料老闆非常熱心解說及迅速處理，跟換前冷排大約只花2小時搞定，真的很厲害！
jakey huang,5,專業，幫忙檢查。沒有零件，沒收費用。
Elun Cheng,5,老闆專業細心幫我04年的CRV，檢查冷氣突然不冷的原因，十幾分鐘仔細地找出原因很快就修好了，大力推薦此店家喔！
Etwin 31 Cheng,5,在汽車冷氣上非常專業，收費也很合理
黃威霖,5,修理我的黃昏牌冷氣後，恢復正常了，希望冷氣不要再壞；推薦修冷氣一定要考慮這家！老闆健談，可當好朋友喔！等材料時間還可品茶閒話家常呢⋯
大頭海水愛好者,5,老闆服務親切，收費合理，推薦
謝奇宏,5,老闆會幫忙以最經濟的方式維修冷氣，修好會讓客人試車，沒問題再收維修費用，值得推薦！
謝明學,5,老闆用心 提出許多處理方式 讓顧客選擇 適合自己的方案 十分貼心 價格公道的好店家
