author_name,rating,text
州,5,"【嫩煎雞腿飯 88元】
今日特餐一直常駐這款😂😂
飯比較濕，搭著蒸蛋整個很軟滑（？
會有一深綠色蔬菜和豆乾，營養均衡！
雞腿排不錯！煎到金黃脆、肉質也不柴，
飯、滷肉和湯都可以加～～
這個價格真的沒什麼好挑剔了😆"
knifeyui,5,"香煎雞腿排飯每日特餐價88元（原價95）：煎得焦香內嫩的雞腿排，配上清爽的青菜、蒸蛋、豆乾，飯量也十足（內用好像可以續飯），重點是只要「88」元！真的是好吃、營養、健康（調味都清爽不油不過鹹）、又便宜！

蒜泥白肉飯特餐價85元（原價90），端上桌時伴隨蒸氣撲鼻而來的蒜香棒極了，蒜味來源是醬油膏，淋在蒸蛋上真的很好吃。肉片量很夠，屬於瘦肉比例較高的肉片，但燙得剛剛好不會老，一樣很滿足。

這家根本是118巷的清流。老闆娘跟老闆也很輕切，外帶便當份量也很大方，學生的福氣。"
劉映辰,5,"吃過雞腿排、醬汁豬肉跟客家鹹豬肉
都！好！好！吃！
CP值真的好高🥺🥺🥺
老闆人也很好
喜歡自己加老乾媽👍🏼
離開這裡會想念的店家
然後蒸蛋好好吃！"
馬健凱,4,平價，有肉有菜，可以加飯，但有點油
呂翔禾,5,雞腿排飯很好吃，不過湯的味道有點淡，但是整體我還是給5星，CP值高又好吃
林承恩,4,"跟粥品共用座位
餐點若能裝在盤子更好"
noname noname,5,"便宜大碗，可無限續加白飯、滷汁。
店內環境沒那麼舒適。"
S S,5,"配料：青菜 蒸蛋 滷豆乾
飯淋肉燥，雞腿排非常嫩，醬汁燒肉單點分量足，豆乾很入味，蒸蛋鹹度剛好，不會不均勻硬硬的結塊！"
齊若蓁,4,一碗88塊有雞腿排、蒸蛋、豆乾、青菜！超級佛心，好吃，但肉有點冷掉了，美中不足的小地方。
洪鼎睿,5,"愛店叮叮
份量大價格公道
主菜配菜都好吃
我一個禮拜最少來兩次⋯"
阿薛,5,好吃😋健康 是可以天天吃，在家的感覺～店內有辣椒就更好了🤣🥰
Chi史東,5,"好吃欸 而且份量蠻多的
還可以加飯加湯"
吳沛林,5,飯比較濕 可以免費加飯 每日都有88元套餐 有海帶熱湯可自取
許郁凱,5,香煎雞腿飯推推 但滷味拼盤就無趣了XD
Alex Chen,5,親民的價格，多元的選擇，足夠的份量，吃不夠還能加飯加滷汁
Yu-Sheng Li,5,價格在118算平價，招牌的兩種：雞腿和鹹豬肉都很好吃，飯不夠還可以加，也有湯可以喝（不過湯有點鹹）
蔡Tsai士豪Shih-Hao,4,"老闆人親切
雞腿排現煎非常可口
配菜不馬虎，感覺比便當店給的還要多
飯的口感滿鬆軟的
湯非常的清淡，適合搭配任何餐點"
Tai Yi Tseng,5,"通常都是點特餐$88香煎雞腿排🍗
第一次吃客家鹹豬肉🐷
我的天相見恨晚超級好吃😭
配菜也是塞爆的那種🥰
小缺點就是配菜都是涼的
但還是會回購♾無限次的👍
-
真的覺得這家是118第一名🥇
到底怎麼可以這麼好吃🥰
最愛客家鹹豬肉🐷再來是雞腿排🐔"
px,3,想不到很好的點， 也不覺得很難吃，於是給中立的評價， 如果可以提供簡單的飲料 像是紅茶等等會更好。
林德,5,雞腿排不錯 免費加飯 配菜量多 海菜湯清澈不混濁
