author_name,rating,text
州,5,"【肉片厚蛋（吐司） 60元】
店面不大，蛋卻是真的厚，配上肉質不錯的肉排，很適合當早餐～"
任奭,5,品質好，價格公道，首推蛋肉片厚吐司，榛果咖啡。
Cheng Effie,5,太幸福了，第一次在咖啡店(非下午茶餐廳)喝到鍋煮奶茶，老闆親切東西又好喝，超推超喜歡。
yulia feng,5,"精緻 快速 好吃 好喝
早晨07:30到，點了一個厚蛋起司及鍋煮奶茶。
以為店員從櫃子拿出了一個預作好的給我，就會如此端給想要在店內使用的我～

沒想到她好似有熱一下，並放在小木盤裡，蛋很厚且很順口！熱鍋煮奶茶也好喝，尤其在今天這麼冷的天，來一口，冷意全退。

喜歡店裡奶茶都是加鮮奶的，另外咖啡也是使用無農藥無化肥的咖啡豆～推薦給大家"
葉大功,4,肉片厚蛋三明治60元，肉也很厚，口感很好，吃的很飽！店面重新裝潢，感覺很好！
Catmewo,5,厚蛋吐司好好吃 紅茶很好喝！茶味很濃 還好沒跑去買麥當勞
Andrew Lin,3,經常經過，今天終於好奇買了早餐。大家推薦的肉排蛋吐司不錯，但我更喜歡肉醬蛋吐司。咖啡不錯，但是冰塊有點太多，喝沒幾口就快見底，留下一堆冰。整體來說東西蠻好吃的。
Yenling Liao,5,"很喜歡這邊的厚蛋三明治，尤其是芋泥厚蛋，早上吃這個有飽足感又不油膩很滿足
\(◍°▽°◍) /我不喝咖啡所以都點鍋煮奶茶，建議從微糖開始點再依自己口味做調整，我朋友覺得還好但我覺得不錯喝，另外奶茶搭三明治可以折15元，這樣一餐吃下來85元，用街口支付還可以有8%現金回饋還蠻不錯的~最後是老闆態度很好很溫柔，就算忙也是很有禮貌，這也是我來評論的主因！希望沒吃過的人都可以試試，早餐吃這個真的會有滿滿活力♥"
Ya Ju Chuang,5,什麼口味都好吃😝軟吐司+嫩蛋+___
鍾宇明,5,"朋友說這𥚃的咖啡很好喝，但是我早上已經喝過了咖啡，所以我另外點了黑糖奶茶。發現奶茶非常好喝，很順口！只是個人平常喝飲料都不加糖，因此會覺得它有點甜，不過一點都不影響它的口感！
其實店裡不大，窗邊只有三丶四張椅子，一般的客人外帶居多。
由於我也吃過早餐了，不過看見玻璃櫃裡的三文治，被它的厚度給吸引住了，下次有機會一定要來一份咖啡+三文冶嚐嚐！"
Hello Beck,5,"點了厚蛋火腿吐司以及厚蛋培根吐司

適合喜歡簡單輕食的朋友，吐司是沒有烤過的，但軟軟的口感配上厚蛋反而非常的適合，鬆軟的每一口都能吃得到蛋香和搭配的肉品

搭飲料還能再折15元，這個價格真的很值得"
CRAB YOYO,5,老闆跟老闆娘的氣質出眾、態度很好，早上幾乎都吃肉片厚蛋+鍋煮奶茶無糖溫的$85，也可以選擇肉片一般蛋$-10元(早上吃蛋白質跟無糖飲料覺得營養健康👍🏻) By the way某次吃圖中的肉醬厚蛋口味偏鹹，鍋煮奶茶微甜去冰的很剛好！
Rachel Wang,4,"【環境】 ★★★
內用有4個高腳椅座位，環境整潔。

【服務】 ★★★★★
態度親切有熱忱。可以使用LINE PAY和街口支付。

【餐點】 ★★★★★
《推薦》肉片厚蛋三明治（60元）吐司柔軟，厚蛋鬆軟，有微微奶油香味，肉片軟硬適中、口味微甜稍微偏鹹，但不會有負擔感。

肉桂奶茶（原40元，搭三明治可折15元，自備環保杯折3元/無糖，肉桂粉減半）肉桂香氣很舒服，奶味和茶味適中。"
jiaran lee,5,早餐好選擇，推！
蔡Tsai士豪Shih-Hao,4,"現煎現做
肉片厚蛋：蛋非常蓬鬆，肉不會柴，簡單的美味
鍋煮奶茶：和一般飲料店家奶茶並無很大差異，但一早熱熱的喝搭配肉片厚蛋，看著微微的細雨與紛紛而來的早餐客，別是一種感觸"
michael168 kao,5,三明治🥪非常軟嫩香鷄蛋香食材新鮮，現煮鮮奶茶就是不一樣的口感，拿鐵特香，老闆夫婦人超級虔誠的基督徒，來店聽音樂就知道了，毫無疑義給5⃣️顆星+「🌟」=6星
陳雯,5,厚蛋吐司好吃 鍋煮奶茶好喝 老闆也很nice
Locust Huang,5,吃了會有幸福感的早餐！
林承恩,5,厚蛋夠厚，激推
Momser Wu,4,吐司好吃，咖啡還可以，西批值高
