author_name,rating,text
Y yen,5,"不愧是一間😊😊(靈感咖啡館)🏩☕☕☕，位於台北市大安區新生南路三段（86-6號3樓）。(位於新生南路三段上門牌（86-6號3樓）樓下86巷。巷口是""全家便利店""招牌不會很明顯也可以看到""樓梯彩繪招牌上"")，店內佈置很特別，讓人有置身在居家用餐的感覺，非常舒服，而且是一(""全素食"")的咖啡館，🧀🧀餐點精緻，🎇美味清爽可口🎇，並提供免費WiFi及插座供消費者使用，服務也很不錯，😊😊一處讓人放鬆身心，😀😀好地方。👍👍👍👍👍"
姜瑜婷,5,"招牌有點小，走上3F看到小招牌就到了～

位置不多，但不顯擁擠，週日去基本都坐滿了，建議可以事先打電話預約。
客人素質不錯，沒有遇到大聲聊天笑鬧的，蠻多人帶著電腦、書本來做事或閱讀，整體氛圍很好。

#蘋果奶酥捲 $80
外圈香脆、內捲酥軟，蘋果奶酥不是甜膩的那種，整體搭配很喜歡，值得一試。今天肉桂捲賣完了，下次趁早過來嚐鮮～

#沈靜（無咖啡因茶飲） $120
熱的是一壺，無添加糖，不可回沖。看起來不大壺但很耐喝。沈靜的風味有點像玄米茶，喝起來很順口，適合清淡口味的人。 …"
陳麗如,4,"隱身三樓的咖啡館卻有著不凡的精品咖啡水準，至於司康，好吃到我想多買幾個帶回家☺️
以後，想喝好咖啡，爬個樓梯上三樓找靈感就對了！"
Wang Kathryn,5,"找到了我的命定咖啡館，第一次造訪就待好待滿一整天。

1. 餐點｜點了日式培茶升級燕麥奶和抹茶司康，被吸引的除了香濃風味，還有手作者的純素點心理念，詳細製作故事可以在 Facebook 粉絲專頁看看。

2. 環境｜幾乎每個座位附近都有插座，桌與桌間的距離剛好，不會太過狹窄，網路也很穩定。前來的客人都很有默契的小聲說話，可以不受嘈雜干擾，享受平靜。

3. 書籍｜書架上放滿整整一排可在店內閱讀的書，涵蓋設計、蔬食、咖啡、商業、哲學⋯ 老闆的選書品味很好！

或許你不會在這裡找到靈感，但會找回繁雜生活的片刻簡單純粹。"
Yu-Jou Chuang,5,"非常喜歡🥺💕
氣氛很適合一個人看書工作，安靜的同時也不會有壓力😌聊天聚會可能就不太適合！
司康很香，咖啡好喝，一定要再來！✨"
范范,5,好喜歡的地方！很適合自己待著！整間店氣氛很棒、店員很親切，好喜歡💕
高瑋成,5,"位於捷運公館站，新生南路，隱藏在公寓大樓裡的靈感咖啡，擺滿了很多書籍，充滿文青氣息的一間咖啡店。

這裡提供無奶蛋 的甜點以及咖啡  提供豆奶 燕麥奶 飲品，歡迎素食者 乳糖不耐症的人享用。
肉桂捲，肉桂香氣撲鼻而來，甜而不膩，酥脆紮實，外酥內軟，很有嚼勁。

黑糖拿鐵，燕麥奶濃郁香醇，黑糖厚重香氣十足，口感滑順。"
Newt Scamander,5,"很適合工作讀書的地方，也有好喝的豆奶
Ps: 只會吵的屁孩別來拜託，要聊天可以去綠蓋或Qtime，那裡比較適合你們^_^
補：才剛留完言，隔壁來做事的人就被吵到氣到摔筆電走人，真的是難得遇到靈感這麼吵xddd"
Amelie 生活研習所,5,"蔓越莓伯爵司康熱熱吃很好吃😋
店內環境簡單乾淨，即使週末造訪，大家也都有默契地保持安靜做自己的事情，很適合帶電腦或書籍來閱讀喔！"
花併澤,5,"環境乾淨整齊，不收一成服務費用
店員很有耐心，上飲料速度較快

草莓卡士達司康屬於外硬內乾類型，搭配卡士達醬調和，又有香氣十足的甜草莓
肉桂捲店員會建議趁熱吃，麵包體屬於較乾硬類型，肉桂香而不刺激，佐以足量核桃，表現不錯
紅茶有多種香氣種類可以試聞過後再做選擇，香醇不澀，非常適合點一壺好好享受!!"
Choco Glaze,5,"安靜，大多都是帶筆電和讀書的客人。
要大聲閒聊請左轉(笑)"
若,5,"在三樓的咖啡廳
像是來到一個秘密基地
不限時，有插座
適合認真工作和看書
抹茶豆乳好好喝
下次想嘗試燕麥奶的飲品

20201122
今天點了肉桂捲，一個80
熱熱吃酥酥脆脆的
滿分10分我給7.5"
庭子,5,"在Pinkoi 買到靈感咖啡的純素司康禮盒
第一次吃用純植物食材做的司康，意外的非常好吃•͈౿•͈
最愛蔓越莓伯爵茶口味，烤完之後香味飄滿整個辦公室，而且口感紮實完全不乾，配個茶超搭整個氣質了起來！"
呂品靜,4,"覺得純素人應該都會很喜歡這。
氣氛很文青
但本人喜歡牛奶大勝於燕麥奶，點了約克夏奶茶，喝起來像豆奶😅最後一顆星沒滿是在我個人喜好牛奶"
Emily Shih,5,咖啡廳位於三樓，一樓門口招牌不是很明顯，但注意一下仍然找得到。室內環境乾淨，內用客人不少但都很有默契的保持安靜，盡量不影響到周遭的人，座位還算多，間距也不會感到過於擁擠算很舒適，不過椅子有點硬。服務人員很友善ㄧ進門就拿出點餐單和提供座位，也給客人足夠時間選擇餐點。鴛鴦咖啡口感溫和，香氣濃郁，可以喝到淡淡茶葉香，配合溫和的咖啡和牛奶，沒有一般外面容易喝到的死甜口味。廚房時不時的會飄出糕點烤好的香味，即使沒點糕點，也很增進食慾。書架上也有很多書籍可以自取來看，如果剛好在附近，會考 …
Ventus,5,"香橙巧克力布朗尼🍫
濃郁好滋味，專屬巧克力控的精緻享受😋

沈靜🍵
無咖啡因茶品，回甘順口不苦澀🥰

豆奶拿鐵(換燕麥奶)🥛
濃郁豆香搭配燕麥奶的全素咖啡飲品，
濃郁香醇的雙重享受推薦給燕麥奶愛好
的朋友😉😉

適合假日想悠哉休憩片刻翻翻書的好去處📚"
S104張庭瑄,5,"喝過最好喝的抹茶豆奶拿鐵！！
環境很安靜適合讀書做事
店員服務態度也非常好，會幫忙介紹產品"
