author_name,rating,text
HJ Lee,5,"下水冬粉很大一碗$75，料給的很有誠意
燙青菜很大一盤也才$35"
珊珊,1,"最困擾的就是這種時候了，怎麼差都還是得給一顆星！
這是我吃過最難吃的雞肉飯，肉很乾，味道差。滷肉飯便當看得很傻眼..."
程鈺欣,1,超級難吃 我不懂評價還有四顆星的原因 雞肉飯便當有八成都是飯 飯吃起來像被捏碎的乾飯 雞肉也是柴到不行 滷蛋跟筍乾都有怪味
Shiang lo,5,"愛店！每次必點鵝腸湯和雞肉飯！
一定要試試這家的辣椒！夠香！"
Lzy909 Axym,5,"老闆娘人很好
大推青菜湯跟超大塊控肉飯
雖然負評說的也沒錯 有點油 膩 鹹
畢竟每個人口味不同 但還是值得一試的高cp值店"
許濤,2,好油，食物不好吃，很乾吃到渴死，優點可能就老闆娘人還不錯，之前買的時候有偷送我一些東西（雖然多送的筍乾不好吃
陳竑屹,5,價格非常實惠，招牌雞魯飯相當好吃，每次來必點！如果跟朋友一起來，建議多點幾樣小菜、湯分著吃，尤其燙青菜份量給的很阿莎力，不像附近某間水餃店同價位，份量卻只有這間的三分之一⋯⋯
何雨潔,4,"這次點招牌飯（雞肉+滷肉）
醬汁跟飯的比例恰恰好
份量挺足的"
Nash Huang,5,招牌便當分量十足，魯肉飯也很好吃，老闆娘人很好很常送燙青菜或酸辣湯給學生，讚。
Ruu Ching,5,好好ㄘ 不過有點油啦 喜歡重口的應該會很愛
Sean Hung,3,"很普通的店，人手不足，上菜慢，分工不明確，便當只有多「半顆」滷蛋跟筍乾，吃粗飽
豆腐還不錯吃。"
Sylvia Shih,3,雞魯飯45+滷蛋10，是北部偏鹹的滷汁，加雞絲後中和的不錯。
獅子,3,"我點招牌飯
同事點雞肉飯
雞肉飯完全沒有肉汁....上面放著肉絲+白飯
滷肉還不錯！有滷汁
招牌飯45
雞肉飯35
價格以台北來說CP值很高

午餐尖峰時間
店內人手不足
桌子都沒在擦的
衛生有點小小堪憂

餐具在點餐很右邊
第一次到店真的很不明顯

用餐環境：桌子髒亂黏膩
用餐時間：20分鐘差不多就想閃了
員工服務：正常小吃店該有的態度"
黃暐程,4,"魯肉飯算是招牌，魯肉油香膩口，膠質豐富，對於喜歡吃油肥魯肉飯的人來說應該會喜歡，米粒是我喜歡的硬口感，下水湯也算不錯。
另外，這間店招牌其實已改成合益佳雞肉飯，應該有換老闆，跟之前的健安雞肉飯味道不太一樣。"
Snow Hsu,2,"就很普的店
便當多半顆蛋和竹筍
也沒到多便宜多好吃
吃粗飽 不太想回購"
Chi史東,3,"份量是很多沒錯
可是雞魯飯好油
油到根本吃不完"
RayWuu,3,"內用點了招牌便當(雞魯飯) + 燙青菜

招牌便當70$
含雞絲、魯肉(全肥)、半顆滷蛋、筍絲
魯肉全是肥肉，味道偏甜，筍絲也偏甜

燙青菜好像3.40$
高麗菜，有加醬油還滷汁，味道也偏甜

整餐吃完嘴巴黏黏膩膩的
對我個人來說味道不太平衡
可能要再點個湯配比較適合

衛生的話可能因為人手不夠
許多桌空碗盤都還沒收，地板也有衛生紙
服務生擦桌子不夠細心
沒有整個桌面都擦乾淨，還有油漬"
Vela Alonso,1,招牌飯很失敗 滷肉太油太膩 雞肉乾柴無味 筍絲沒煮透 滷蛋很小還只有半顆 絕對不會來第二次
bo cheng chen,4,招牌飯的鹹度有些不足，酸辣湯得料很少，幾乎都是湯，份量足夠，可以吃飽
花礽睿,1,我不知道排隊點餐倒底是在等三小 排到快門口才要處理 啊然後勒 收東西波我一身湯 我幹你老師 一件打58折的衣服還要1380 打翻沒處理 繼續回去瞎忙 沒有第二次機會 給我乖乖吞下我的差評
