author_name,rating,text
Peggy,3,"有時候中午來吃，青醬之前濃郁，今天較稀，今天遇到飲料機只有葡萄汁，看起來像是新進人員忘了開氣壓瓶。
以CP值來說，份量很大，大部分時候口味都不錯，今天剛好味道淡了些，大蒜麵包很大，飲料喝到飽，湯品也喝到飽。
今天湯品首次遇到洋蔥湯，很濃，但偏鹹。"
Berway Liao,4,"義大利麵變化多，味道中規中矩，還不錯吃，建議男生的食量要加大。
最低消費主餐140元，但有附好吃的蒜味麵包和自助吧，有兩種熱湯（湯不錯）、飲料和冰淇淋（但冰淇淋沒有到很好吃）"
王尔文,5,"價格親民！主餐可換造形麵、 可加焗烤、 送香蒜麵包, 兩樣湯、飲料、冰淇淋 自由選！ 我家小朋友最愛！"
HJ Lee,5,最便宜的餐點140元，就附一塊香蒜麵包，還有濃湯、飲料、冰淇淋吃到飽，非常划算！
劉純純,4,濃湯、冰淇淋可以無限續，餐點可口、香蒜麵包酥脆好吃，用餐環境乾淨明亮，唯上菜速度偏慢
Wei-Chen Lin,5,"#石鍋香煎骰子牛肉飯

上大學後成了微笑的老主顧，才發現沒在評價版上留過言，微笑的價格對學生而言稍貴，但購買正餐後自助吧的湯品、麵包、飲料、冰品吃到飽還是有一定CP值的。 …"
Elisa Wu,5,老闆很帥，服務生很親切、有禮貌，餐點cp值高
曾沛恩,5,"1.價位：以義大利麵而言價格親民，大約在150-200之間，其中義大利麵類可以換成造型麵（筆管、貝殼、螺旋麵的混合），加飯加麵20元、加焗烤20元。

2.環境：空間雖然不小，但座位並沒有安排的很壅擠，所以可容納人數其實並不多，午餐時段有台大學生及智慧財產局員工出沒，很容易爆滿。

3.自助部分：
(1)湯品固定兩種，通常一鍋固定是奶油類的湯、另一鍋常見番茄湯或洋蔥湯。
(2)飲料機有氣泡飲料，之前吃幾次都沒問題，可惜今天喝到糖漿用罄的飲料。
(3)有冰淇淋可以吃，不過個人都沒有吃過，不予評論。"
蔡承臻,5,附餐的麵包是現點現烤的，上面塗抹了香蒜醬，香氣十足，趁熱吃酥脆好吃。番茄蔬菜湯和奶油蔬菜湯都有一定的水準，不會因為是免費附餐就很隨便。新品項蔬菜雞肉起司鍋的起司非常濃郁量也很多，雖然沒有主食但仍非常有飽足感，炸雞不少塊而且鮮嫩多汁，還有薯塊點綴，裡頭的蔬菜有花椰菜、玉米筍和小番茄，如果種類和份量可以再多一些會更好。另外還有飲料和冰淇淋。飲料大多是汽水，熱飲選擇較少。冰淇淋則有四種口味，雖然不是有名的牌子但還不錯吃，小缺點是四桶裡面有三桶都快沒了，不太好挖。
Tom Tseng,2,"風味尚可，物有所值，但食物之外的一切都令人皺眉。音樂放太大聲，很吵且干擾用餐，是員工自己要聽還是給客人聽呢？飲料機故障應該在客人入座前就先告知，以免影響客人消費權益。另，新進服務員訓練有待加強，工作時要有工作的樣子，當你是來店裡玩耍嗎？還有，不要突然從客人背後上菜可以嗎？連最基本的服務原則都得由客人來教？

順便敬告來此用餐的學生（台大？北教大？），出外用餐，嘴巴請放乾淨，不要一直用粗言穢語排泄物和精液為別的客人加菜，你們的嘴巴是屁眼或馬眼嗎？"
Allen Juan,4,"最便宜要130。加大或加焗烤要20元。台大學生證打9折
我到這間都是把汽水喝好喝滿，冰淇淋吃到爆這樣。但是它的冰淇淋蠻難挖的，力氣小又想吃冰淇淋的朋友要斟酌一下。如果國O黨的政治家面對中國的文攻武嚇，能像微笑廚房的冰淇淋那麼強硬，臺灣就有救了。大概是這樣。"
Yi-Hsiang Huang,5,140元就能享受好吃的義大利麵，還有飲料/冰淇淋無限量供應，並提供餐前麵包，非常超值!
廖威仲,3,好吃 但是cp值過低，飲料很難喝（可樂很難喝）
州,5,"學生證九折，常駐兩種熱湯可自取，另有飲料冰淇淋，餐餐還送熱的香蒜麵包，以這個價位而言十分不錯。

麵本身也還算有維持義大利麵特色的嚼勁，配上醬汁是值得150左右甚至以上的價格。

2021/1/9 新增茄汁豬排義大利麵"
PETER CHIH,5,份量大價格合理，蕃茄湯很好喝。朋友吃了也讚不絕口！
P C,3,"平價，蒜香烤吐司好吃
義大利麵口味一般，沒有很出色
一訪和二訪吃到的味道不太一樣
湯、飲料、冰淇淋無限享用"
楊彩琳,4,"推！
餐點好吃服務親切價格合理
有免費的湯，飲料，冰淇淋吃到飽！
還有餐前點心大蒜麵包~~~
在118完全佛心來著~~~👍
位置空間很大，很舒服(冷氣超級冷XDD)，但是人多的時候會有點吵
飯後服務人員有隨桌問意見，說了之後立刻去改善，很有上進心！"
SHANYU,3,價位適合學生，有湯飲料免費續，用餐時間人很多，出餐要等滿久
Yu-yi Chang,5,"118巷裡的一家店 先說結論 這價位很值得
價位感覺是面向學生 大約在一百到兩百出頭 店內有自助吧：兩種湯 飲料跟冰淇淋
湯的部分還不錯 感覺是自己煮的
主餐會附一塊大蒜麵包 好吃
食物的味道不錯 而且份量是夠的 加麵20塊
冰淇淋就普普 不過這個價位有就不錯了
總體來說很推 硬要挑缺點大概就是椅子的扶手常常勾到衣服 跟店內空間開闊 人多有點吵"
Chen Yu Zeng,4,"這家完全是118美食沙漠中的綠洲～～～！（畢竟台大118巷是出了名的又貴又難吃）
價格合理（130-200），東西好吃，附贈香蒜麵包，還有免費的濃湯蔬菜湯、飲料、冰淇淋吃到飽
服務人員也很有禮貌，憑台大學生證再打9折，非常划算！"
