author_name,rating,text
林傑,5,牛肉麵如其他評論、原味偏淡，自行加入牛油與辣醬後則口味適中。
洪笛恩,5,清湯牛肉麵超級好吃！給的牛肉很大方，而且一碗清湯牛肉麵也只要130元，很便宜欸。
judy kuo,5,"紅燒肋排麵大推，麵Q肉香湯頭讚👍
而且份量很夠，食量大的也吃得飽"
珊珊,4,"普普通通，無論哪一種湯頭的麵都沒入味，紅燒的湯不錯，清湯無味。
肉很好吃！麵條很Q！"
Famc,1,"人生第一次內用吃牛肉麵,是以紙碗裝!!!紅燒牛肉麵也沒啥味道,糟糕透!"
Chun-Ming Chang,4,"2020.08.18 = ★★★★☆
◉推薦：紅燒牛肉麵。
◉手工自製麵條Q彈有勁，有麥甜，拌辣牛油也好吃。湯頭也是，有沙茶味。
◉肉偏硬是短版。
◉比台大周圍另一家 【大聲公】，便宜又好吃。😁
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
湯頭 ◆◆◆◆◆◆◆◆◆◇  (+辣牛油)
牛肉 ◆◆◆◆◆◇◇◇◇◇
麵條 ◆◆◆◆◆◆◆◆◆◇  (+辣牛油)
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ …"
林太森,5,"牛肉湯麵香氣十足麵條Q彈
豬肋骨麵入味十足，醃黃瓜酸甜滋味"
houpu Liu,5,麵條是非常棒的，牛肉麵是招牌，小菜又很多可以選擇，價格又實惠。 …
angelacooman,2,覺得麵和湯味道完全分開的，肉有些有點硬
CHEN ERIC,3,"整體來講大概3.5星
强項是麵條有彈性好吃 辣醬香味很夠
但是主力的湯頭 偏淡
中藥味強過牛肉本身的味道
牛筋肉軟爛還不錯 中上水準
小菜點了小黃瓜 ...悲劇 ...酸到很難入口
下次來試試非牛肉系列的麵
服務態度都很好出菜也很快
如果在附近出沒想換換口味可以來嘗試"
Ying Yi,4,點紅燒的牛肉麵湯不會太鹹太油，麵條有彈性，就是可能湯不夠鹹、油（這就是一體兩面...），麵條比較沒有入味，但是肉塊處理的不錯👍，蠻軟的好咬，蔥花切得很細，還可以加湯，老闆老闆娘客氣，加大加20元變成很大一碗麵。
黃詠翔,5,是一間會在意客人意見的店（ex:筍干太鹹）
TD keith wu,3,"平日下午路過，只見人潮滿滿，好奇來試試口味。

麵沒上桌，先看看小菜檯，琳瑯滿目，品項挺多，份量也讓人滿意，豆干海帶跟滷蛋拼盤一大份也是統一價30元，感覺超值。

麵條菜單上沒大小碗可選，麵一上桌，份量大約就是一般麵店的大碗份量，紅燒湯頭清淡微微醬油香，不是很濃厚風味的湯頭，也沒辣味，麵條吃來有點烏龍麵的感覺，粗圓吃來軟Q,不是走勁道的路線，牛肉牛筋吃來軟爛不硬，我個人倒是喜歡吃來多點嚼勁的，喜歡吃辣的，小菜檯上有辣牛油，放在湯裡吃來微辣帶點花椒香。

總的來說，好吃與否可能要看個人喜好，麵肉都是較軟好入口的，湯頭也不是重口味，但仍是碗水準以上的麵，可以試試，小菜我給較高分。"
CW L (Hi),5,"1. 價格便宜！！（在台北市來說這價位無敵）
2. 東西好吃 服務好
3. 環境OK（一般小吃店環境）"
Po-Yao Chen,5,麪條Q彈 牛肉好吃 湯頭入味 用餐環境不太優 整體推薦一吃 評4.5星
Bang-Ruei Huang,4,環境乾淨明亮，提供免費茶飲，小菜平價，尤其推薦麵食，麵有嚼勁，讓人很有滿足感。
Jerry,4,自製麵條彈牙有勁，湯頭清爽略顯單薄，牛肉不柴有加分
Desnet Amane,5,麵條Q彈有勁，牛肉也燉的十分入味，肋排超讚！然後招牌辣牛油也是極品，一定要加～
段裕斌,5,清燉和紅燒牛肉麵都超讚，喜歡吃辣的朋友一定要試試牛油辣醬，老闆特別加入中藥伴炒，以免火氣上身
L Weng,2,只有鹹味沒有香味的麵店，但麵條蠻Q
