author_name,rating,text
夏檸,5,"要是點牛奶的，40元真的划算，現在的手搖店拿鐵隨便起跳都是60,珍珠的口感很好。"
Hi Kuan,5,"阿官個人評價：
來到公館...
好像非得喝喝看，
就被黑糖珍珠誘惑！
決定嚐嚐～

————————————
個人覺得黑糖珍珠真的～
「Q!」，喜歡黑糖的你們...
也喜歡搭配鮮奶的，一定要喝！

切記，真的要加冰*
昨日去冰...喝起來真的不夠過癮～

————————————
配料：
黑糖粉圓、鮮乳、仙草、綠豆、紅豆、咖啡、檸檬汁～～～～～！

————————————
下次我應該會喝喝看～
檸檬汁，再來跟大家分享❤️

————————————

以上，如果喜歡我的評論，對於您有幫助～能否支持我繼續努力為各位撰寫出真心實意的評價按個讚👍👍🏻感恩，謝謝～❤️"
張譽瀚,5,生意很好，速度很快，不需久候，使用福樂的鮮奶，品質看得見。夏天消暑良品
andrew kuo,1,黑糖粉圓加鮮奶口味一般般，珍珠偏硬，黑糖味不足。最令人受不了的是店員的態度超級差，一付不耐煩樣子，服務業這種態度你不如收攤算了，第一次買也是最後一次了。
kelly chen,5,公館最好喝的粉圓，每次來必買，超級大推👍👍👍👍👍
Yu C,5,"從大學就必喝的飲料
珍珠一樣超好喝
一律40不漲價的店家少見了
推推"
Chianggg :3,5,"珍珠好Q好入味好喜歡！
選用的牛奶跟黑糖搭配的相得益彰🥺
Cp值高高👍"
Dear John,4,粉圓很Q～ 招牌不錯喝，推。
chiayi su,5,平價好喝，來公館必買，珍珠很讚
許嘉男,1,撇除東西好不好喝，店員態度有夠爛，一聽到不耐煩的語氣直接離開完全沒有想買
Samuel Kuo,1,黑糖珍珠偏硬，黑糖味不足。聽說店員態度不好。
Becky Wang,5,點餐很好點，因為他的價格都一樣，非常實惠，東西也蠻好喝的，重點是服務也很好。這一天來剛好遇到爸爸姐，居然可以現場抽獎打折，前面一個小男生居然抽到五折！我們抽到七五折也不錯。每次來公館都會喝一個。
高糕,3,喝到一半會覺得嘴巴很澀 不知道是牛奶混合了他們的黑糖珍珠所導致的味還是。。。 偏甜所以久久喝一次尚可
唐念可,4,"只是一個普通的下午，但是也有好多人來排隊，還有一個家庭一起來買的。雖然需要排隊，但是出品也挺快，所以等待時間並不長。此外性價比很高，和一點點有得比。

冰箱裏放著一冰櫃一冰櫃的牛奶，味道還不錯，珍珠也挺好，可以來試試噢～"
蔡哲翰,4,"珍珠奶茶奶都是用純牛奶, 東西還可以吃, 也是排隊的名店"
任婷鈺,1,"服務態度爛死 直接在我面前翻白眼
又沒要你重做 是在不耐煩什麼"
林敬松,4,味道不錯特別的節日会買一送一最近漲價了
Enzo小宇,5,珍珠新鮮，加鮮奶，好喝，高cp值！每次經過公館都會買。
曾莫敵,4,"黑糖粉圓夠Q又不會太甜,飲料均價40在台北算是親民"
Eric Chen,4,仙蛋ㄉㄨㄞ奶，純鮮奶加的是黑糖，好喝
