author_name,rating,text
Yuan Cho (咪醬),4,餐廳位於公館的巷弄裡，從取餐具到餐盤回收皆採自助式。餐點種類多，分量足，價格公道無論是單人用餐或是與朋友聚餐都可得到滿足。
CChung,4,"🏡空間設計：
店面寬敞，座位足夠，桌與桌距離也夠大不用擔心會碰到隔壁的問題
菜單會不斷更新

🥘本次餐點：
以主菜單點的方式
1⃣️招牌咖喱雞腿蛋麵
👉推薦：推
👉介紹：
咖喱湯+整隻雞腿+蛋麵。
湯汁濃郁；雞腿份量非常足夠，燉煮過的肉質易用筷子取下，對於成年男性來說份量是足夠的

👩‍🍳服務品質：
湯可自行取用，店內有提供小碗、筷子、湯匙，不過烘碗機外就放一個垃圾桶有點突兀就是了
服務生很輕切，用完餐後也會主動以酒精搭配抹布擦拭桌子

🚗附近交通：
位在三軍總醫院汀州分院的後方小巷上，距捷運公館站路程約5-10分鐘"
Louis Chang,2,Google看評價而來⋯結果⋯只能說便宜，但是一分錢一分貨，適合學生族群來用餐，點了三種牛河粉，也沒吃到生牛肉，牛丸也是粉味多，牛腩超硬，湯頭也鹹。番茄牛腩過鹹，法國麵包過軟外表不酥脆，炸春捲感覺是回鍋炸的，唯一覺的好吃的結果是芒果椰奶三寶。帶著期待的心情來卻失望而歸，兩人花了500元，應該不會再訪了⋯
李歐,5,"商品相當美味，醬料也很好吃！
炸春捲好好吃喔！
店裡的湯也是一個美味！
推推推"
TC Yang,2,"中規中矩的越南料理
價錢說很平價也不至於
份量也沒有到很多
就一般般而已
不過三味牛肉的湯滿鹹"
艾米粒,3,蛋麵味道不錯，只是湯冷的時候口感有點硬。燒雞腿味道也還不錯，香茅豬排醃料感覺有點點重，覺得炸春卷份量有點少，體積加長一點，裡面的料紮實一點會更好。最後，就是挺多店家都會不以為意的，其所使用的餐具碗筷一律都是塑料的。如果是不鏽鋼湯匙筷子，或陶瓷碗盤會更加分。
Coco Lin,4,"整家店都很復古，但菜單有一直在更新～
點了三味牛肉河粉，裡面的肉很美味，我也很喜歡丸子～湯頭就是牛肉的鮮，不會太鹹，加一點生辣椒更提味，吃完整個飽～
至於咖喱雞腿蛋麵，我很喜歡蛋麵的口感，但咖喱口味偏甜，比較不是我的菜，不過雞腿肉很嫩，很好吃！最喜歡這種口感了！
可以免費喝的湯是雞架子湯，味道不重，但我也滿喜歡～
下次想吃乾的蛋麵^^"
張庭瑋,5,蛋麵口感像廣東竹昇麵很好吃~牛肉牛丸都很棒，湯頭不死鹹，推推~
吃吃,3,"就味道而言其實是2🌟，但店家態度很好所以稍微加分。
食物本身湯麵的腥味很重而且蠻油的，雞肉的部分也有同樣的問題，都需要多用調料掩過味道。口味方面個人覺得普通沒什麼特色。"
羅文怡,5,銀座的咖哩雞腿用料實在，尤其是搭配獨特的蛋麵。大大隻的雞腿才賣150元，比一般的拉麵店還便宜，CP值實在高，吃了幾十年味道都沒有變，厲害厲害！值得再訪！
Yen,1,咖喱用料超級廉價，圖片根本看不出來是營養午餐的螢光色，吃到很想吐🤮裡面只有一塊馬鈴薯和胡蘿蔔，而且沒有入味真的噁到爆！
C. J Hsieh,5,餐點好吃，服務人員動作很快，態度也好，雖然用餐時間可能要稍等片刻，但還算快，招牌餐點河粉和咖哩雞腿都不錯吃
Miki Ieong,5,"開了很多年的老店，從朋友爸爸讀大學考到現在，一直聽他們的推薦，終於來吃了！
點了綜合三鮮河粉，好吃又有飽足感，自取的醬料有很多！自取的湯也很好喝（有一種家的味道）！之後會再來的！"
美食餐廳必吃懶人包,3,"這間銀座河粉蛋麵就在母女的店旁邊，記得名字以前是叫銀座越南料理。看起來是有改過
名字，捷運走來比較方便，騎車要停外面

店面不大，內用座位也不多，裝潢算是簡單

菜單，忘記拍了，主要賣河粉、咖哩雞腿、香茅煎豬排等，價格約100~150上下，就點了
三味牛肉河粉、香茅煎豬排飯跟椰汁三寶冰

送餐速度算快，三味牛肉是貢丸、生牛肉與熟牛肉，但看這顏色看起來都是很熟，湯不錯
，牛肉也不錯吃，丸子帶有點彈性，還OK …"
Pei CHEN,3,還可以 價格不貴 吃得飽  生牛肉不會很軟
mu mu,4,牛肉米線，覺得滿普通的，牛肉不嫩，香氣不明顯，湯頭沒有特色，米線本身的口感跟香氣也都沒有很討喜...，唯一一點我喜歡的是至少不是重口味，還算耐吃！
Echo Wang,5,真好吃！今天點咖哩牛腩河粉 + 生春捲，牛腩軟肉味香，我戴牙齒矯正器都沒問題，咖哩湯有材料天然的甜味，可以直接入口，因為河粉份量不會過多，所以兩個春捲都吃得下。
Leslie Mori,5,"外帶了綜合三味牛肉河粉、炸春捲、椰汁三寶冰。
湯頭味道是好吃的，不過湯頭真的偏鹹，所以沒有辦法喝完！
我非常喜歡炸春捲、非常喜歡！即便外帶了，店家也有給足生菜，加起來吃，真的很美味！
三寶冰就在店裡吃就好，外帶回家吃椰汁被化掉的冰稀釋，就沒什麼味道。

主要給五顆星是因為外帶點完餐在外面等待，老闆娘(?)/親切的大姐做好後幫我們把餐點拿出來給我們，笑咪咪的覺得服務很好！"
