author_name,rating,text
酥餅,3,"·可以使用信用卡，開立傳統發票。

·六人用餐：小籠湯包、木須炒餅、牛肉炒麵、豆沙鍋餅、魚香烘蛋、菠菜（中）、蒜泥炸豆腐、酸菜蚵仔湯（中）。口味偏重。
·小碗湯2人。中碗4人量
·炒麵皆刀削麵。嚐鮮吃炒餅，吃起來與刀削麵頗像，但更有嚼勁。（個人較喜歡嚼勁適中的刀削麵口感）/附茶正常

· 二樓：180以上的高個兒小心天花板。（4大圓桌、3四人桌）店家告知沒有預約，可能會跟人共桌。

·地板黏鞋、油味偏重，樓梯窄（下樓第二階有一點損壞）"
A. Chang,3,"這次點了：豬肉餡餅、鍋貼、清蒸臭豆腐、木須炒餅、酸辣湯。
兩個人食用，相當飽足，價位便宜！
/
木須炒餅的味道不錯，不過餅皮會比較濕潤，下次應該試試木須炒麵會更好吃。
/
豬肉餡餅相當不錯👍
/
清蒸臭豆腐有點便辣，豆腐入味稍有不足，需要搭配醬料湯汁一起服用，會比較有味。
/
鍋貼與酸辣湯略為普通。
/
下次想試看看招牌的酸菜白肉鍋與豆沙鍋餅。"
Tina chou,5,"好吃到爆表
從小菜豆芽包到主角酸菜白肉鍋到完美end豆沙鍋餅，每一道菜都令人回味不已⋯⋯"
Ya Yang,5,"補評論!!!每次經過都很多人這次母親節終於來用餐
點了人氣商品豆沙鍋餅~真的很厲害建議第一次用餐的人都要點這道
整體CP值高，價格優惠，會再回訪!!!!

♥母親節用餐時店家很貼心的有準備康乃馨給媽媽♥"
aaachun,4,我個人很喜歡木須炒麵的口味 95元超大盤！不過麵的口感有點麵粉味 硬硬的 有些人可能不喜歡 韭菜盒子很香 韭菜很夠冬粉沒有很多 也不會太油或太鹹 我最喜歡的是豆沙鍋餅！！！超級好吃 兩個人居然吃完上面那些還吃了一張豆沙鍋餅 雖然有一點點油 但是真的很香很好吃 也不會到膩 之後回訪的話應該是為了豆沙鍋餅去的！
ChiaLynn Wu,4,"1. 酸菜白肉鍋裡面就附火鍋料囉，三個女生吃小鍋的份量很足夠
2. 豆沙鍋餅很北平的口感，外皮的韌性比較夠，不會太甜，但冷掉就會有點普通
3. 宮保雞丁不會辣覺得還好
4. 魚香炸蛋（？）很特別，但醬料可能會有點鹹，但很下飯"
Annie Chen,4,"必須推薦木須炒麵($95)以及炒飯類！
2人來吃可以一人一品項 多人一起享用更讚！
多人的話非常推薦豆沙鍋餅～"
Zen. H,5,"甜點紅豆砂鍋餅真的超級超級超級好吃，餅皮厚薄適中，紅豆泥不會過乾、還很濕潤，甜味恰到好處不膩，非常好吃。
酸菜白肉鍋很入味、裡面的料都蠻新鮮的，橙汁雞、宮保雞丁也是表現亮眼，橙汁不會勾芡的太過度，整個吃起來很不膩，反而炸豆包包芽菜最還好。牛肉捲餅份量很紮實，餅皮很有嚼勁！"
山海幸,5,"服務很好很客氣 茶水一喝完就會來添加 尋問小菜也很熱情回答 沒有加服務費 坐位比附近一家大 空間的安排也較好 乾乾淨淨 入門有要求客人消毒
木須炒麵有一點點甜 很不錯吃 麵很有嚼勁95元
招牌小菜豆牙包 去拿小菜時覺得很不錯 問了服務人員 才知是招牌 不錯吃 豆皮包著豆牙 清爽 而且才40元"
Emma,4,豬肉餡餅必點 內餡實在價格超合理 刀削麵好吃 麵條吃起就有甜度了～
yi teh han,4,"東西算比較重的口味，好吃
翻桌速度快不用等太久
兩個人吃600元吃得很飽
但裡面冷氣超級冷
工作人員之間對話可能因為太忙有點兇"
mandy yang,4,"豆沙鍋餅必點，紅豆控會很愛！但是蠻油的
酸菜鍋如果是喜歡吃很酸的那種就不推，湯頭很淡～"
nicki hsieh,5,酸菜白肉鍋必點，很好吃，因為喜歡吃刀削麵特別點了炸醬麵來吃吃，另外還有牛肉捲餅跟豆沙甜餅，3～4個人吃的份量很剛好，生意也很好，先預約比較保險，推薦家庭或聚餐選擇。
Chung-Hao Cheng,3,"創立於1986年，在公館商圈經營超過30年的老店，2018年改裝，Logo的設計變的年輕許多。
雖然改裝了，因為餅都在門口做，所以在門口等位時聞到的油煙味很重，2樓很壓迫，高的人站起來會撞到頭，都是大學生聚餐比較多，長輩都坐1樓。
當天假日去用餐，晚上不到20：00，要什麼沒什麼，點了空心菜、豆芽包和一窩絲餅都沒了，重點是入座時都沒說，點完後一直來改，而且後來進來的竟然還有。
招牌的木須炒麵盤子很大，肉絲有醃過不會太硬，味道還不錯，但醬汁不均勻，麵條也偏軟。 …"
朱彼得,4,酸白菜火鍋，味道如果再酸一些更美味，熱炒類味道不錯，五更腸旺就差了些，服務人員態度也很好，價格中等。用餐時間90分鐘時間剛剛好，比較不能閒話家常。
Emma Huang,3,"-豆芽包$40
炸豆皮裡面包豆芽，店員說是招牌，但一點也不酥又不好吃。
-青木瓜絲$35👌
-牛肉大餅$80
就是牛肉捲餅，餅蠻厚的，不到很酥說⋯👌
-木須炒麵$95中規中矩👌
-豆沙鍋餅$110👍很大一塊附滾輪讓客人自己切，甜度適中（店員給了別桌點豆沙鍋餅的客人小盤子分裝，卻沒有給我們）
-魚香烘蛋$198
沒有魚的感覺⋯反而是滿滿的肉末囧，蛋和炸蛋蔥油餅一樣、很油，吃完打嗝都是這個味道。
-合菜玳瑁(小)$220
上面覆蓋一層厚蛋，下面是冬粉、黑木耳和一些雜菜👌 …"
無段道楓,3,"會在公館的麵食館，
與隔壁的麵食館相比，這間店更需要排隊
另外，這間多隔壁更多麵食的選擇
初訪的感想，基本上就是一間學區的麵食館
服務OK。環境稍弱。價格不貴
不過這間店真的不趕人的。還不錯"
陳阿光,3,一樓座位約30席，上面有個夾層約可容納50席，口味跟價格都在ok的範圍內，不過太晚去吃的話，坐夾層的座位為了先打掃，會趕客人。
ick n,5,疫情期間心心念念牛肉大餅，希望外送能到大同區，好想吃啊
pinpin lin,3,"用UBER EAT叫餐點
除了餐點裡面有頭髮之外（還不是一根）
訂單上也沒有依照指示給辣油
打電話過去詢問只得到一個回覆
辣油限內用

請問我們客人是會知道你有什麼規定嗎
少了調味料 食物就不好吃
那我不是花冤枉錢？！
更別說你餐點很髒！

這樣反應之後居然還說
我在忙沒時間注意你這個訂單

哈囉 你忙乾我什麼事
每個顧客都是客人不是嗎？

這種倚老賣老的店
真的沒什麼了不起 以後都不用在吃
建議大家不要去受氣

更新 餐廳有打過來道歉這件事
所以算是有做好後續處理
建議你們要繼續保持基本的服務態度（我要求沒有很高，有禮貌就好）"
