author_name,rating,text
傅緯,1,訂外帶餐六點拿，到現場還要群聚排隊？那請問我跟內用群聚有什麼差別？時間訂在那難道沒辦法先備好料？不行的話就不要接那麼多單，防疫破口就是你們開啟的，台北變成這樣真的不意外，原本很愛新馬辣，直接來給你們一分
七ㄧ,5,"休假來吃個宵夜
🥰🥰🥰🥰

覺得襄理正展的服務真的很不錯 ❤️❤️

除了很貼心之外
也很親近 讓人吃飯沒有壓力
就連買單的時候都很有禮貌

牛奶鍋很好吃👍🏻奶香很夠

反正服務真的很好 知道我們位置比較小 都很關切我們 殊不知是我自己想要求坐這個位置 害我還有點不好意思 😓😓

讓我今天休假有個完美的結束
公館店會再二訪 服務太好了👍🏻"
ㄚ鴻遊縱,4,生日來捧場，有5，2，0兩個號碼，可生食級干貝吃到飽喔
Norah Tsai,4,"很久沒吃吃到飽火鍋，麻辣跟酸白菜湯頭風味中上，麻辣湯頭有花椒香，比酸白菜出色一些。出餐時會於肉類旁放上肉品名稱、蠻用心的。但沒想到現在竟然還有連鎖餐廳只收現金⋯

【推薦品項】紐澳特級牛舌、A級松阪豬、豬嫩腿肉片、美國CAB安格斯黑牛、牛筋，以上口感與肉質都不錯

【不推薦品項】
1.美國SRF極黑和牛：肉切較厚、肉質較硬又帶筋、口感像是組合肉
2.手工鮮蝦滑：有腥味
3.野生雲耳：口感不佳、又有濕木頭的味道"
fish l,4,"類別：麻辣火鍋專門店 （吃到飽）
餐點：加價選和牛組合
鍋底豆腐鴨血無限供應
品項也豐富
肉質鮮美 份量夠 上菜快
青菜品項略少 這點小小可惜
冰淇淋大加分
光哈根達斯口味有種以上
誠意十足 這點大加分

服務人員也熱誠
只是二小時十分趕
這點可惜
*僅收現金"
Vincent Chang,4,"種類款式多過馬辣
食材也還可以
不過吃完回家拉肚子"
Liu Charming,3,"第一次到此消費，感覺餐廳空間不大，要用手機掃描點菜，對長輩來說有老花眼不方便，吃到飽沒有水果選項，蔬菜類選擇少，點了2次都沒來😒，肉品選項很多，麻辣鍋湯頭個人覺得有點死鹹，沒有香味，打卡加購的龍蝦，價格雖然實惠，但肉質口感鹹味重家人不喜歡😏，飲料要走到樓下，詢問店員才知道，冰淇淋倒是吃的很開心，因為是哈根達斯😆。
還是喜歡公館的馬辣"
Huang Hsin Hsiang,5,"服務快速
食材好吃
很久沒有來吃馬辣了
今天慶祝結婚10週年
讓我們非常滿意"
Polly Tseng,5,生日神仙牛+母親生食級干貝，讚讚！
Barbara Chang,4,"【新馬辣經典麻辣鍋-公館店】

吃到飽不就那樣? 才不是勒!!!!!
湯頭、肉質、價位、特色、甜品、環境都事決定一間火鍋吃到飽好壞的指標!!! (今天意外的很激動)

✨湯頭: 花雕雞很不錯，隨鍋附上的花雕雞也是很嫩，美賣! 麻辣湯頭，味道很夠，也頗油就是了，回家之後脫了鞋子直接進廁所跟他們相見歡。

✨肉質: hmmmm普通，但選擇很多就是了。

✨特色: 有雞佛 雞蛋蛋欸哈哈哈哈，我以為我很喜歡，所以點了一份(兩顆)一上桌我嚇死，根本小巨蛋! 好大顆! …"
汪Larry,2,"防疫期間外帶，只能親自過去訂餐，電話5/27與5/28中午時段沒打通過，全部都是在電話中，從11：40打到下午2點(間隔15或20分鐘），後來親自跑一趟。
對於不吃牛肉的我來說，有跟服務人員能否更換...服務人員也盡力寫上備註，但是取貨回家發現根本沒有換...完全都是依照廣告單上的內容（此店沒有刀削麵全改成王子麵）。
只有麻辣湯底是好吃有麻味，只有這優點以及服務人員說很親切還可以接受。
4人份對於都是男生來說很難吃飽，小鳥胃應該是沒問題。"
Jessie Wu,5,上菜速度快，服務人員很優質，此次用餐選擇798的方案，兩個人吃很飽，冰品選擇很多，不過有些冰不太好挖...
Christina Wu,5,用餐環境、食材不錯👍這次點膠原蛋白+麻辣鍋，有機會還會再來❤️
momosum,3,"食材新鮮,但點餐系統.....不是很理想,以火鍋價位來說,算是高價格"
劉阿香,5,東西好吃，第一次看到膠原蛋白鍋，覺得很有趣
烏梅,4,"服務人員很親切、介紹詳細。
但是後半段上菜很慢。

冰淇淋有30種口味；
肉品、蔬菜、海鮮表現上等。"
Monica Wang,4,食材新鮮、快速上菜，不用走來走去拿食材，冰淇淋好吃（哈根達斯、莫凡彼），除了麻辣鍋底外，花雕雞湯底也讓人心動🥰🥰😋😋😋
黃泓仁,1,"中午打電話訂6點拿餐，結果到現場告知說一樣要現場排隊，那這樣現場排隊跟電話預約拿餐的差別在哪裡？
警察也在現場兇店員跟客人造成群聚！
但這並不是客人跟警察還有員工的問題，
是新馬辣店家的問題，如果做不到防疫的制度，就別開這種外帶方案造成大家困擾！
也替員工覺得辛苦委屈😡"
Jessica Lee,5,新馬辣初體驗，打卡送大帆立貝，吃起來還不錯，也不用一直走來走去夾菜。
RayGo Huang,4,2020年10月份與同事聚餐，事先訂位是馬辣鍋的升級版，費用每人在7百多元新台幣，與馬辣鍋差價為100多元台幣。這地方位於台北市公館商圈(在汀洲路三段295號，附近較靠近的停車場為[自來水園區停車場]，40元/時，還有公館捷運、公車，交通算是方便的了。這地點開業寸土寸金的，1樓有廚房，不比地下室寬敞。裝潢格調從沙發的風格知道，較為復古，氣氛較多使用小的聚光燈，不顯明亮的環境用餐，但照明是足夠的。 …
