author_name,rating,text
葉大功,4,"環境相當寬敞，高眺，舒適，沒有壓迫害，平日中午自助餐470元，平日自助晚餐因疫情停止，
冷盤區食材新鮮，多樣，好吃，進步很多！"
孟tony,4,早餐現在在一樓恬園餐廳，兩個月前還在地下一樓，給4顆星，是因為早餐費含稅才275元，這樣的用餐環境很不錯啦！菜色沒啥好特別敘述就這樣。不過美式太淡，麵包只有兩種吐司可選，且果醬.奶油及花生醬是裝大罐，拿刀自己抹，low了些，以上是有進步空間的。
Shan Liu,4,中低價位的自助餐，菜色不像大型自助餐種類那麼多，但是用餐環境舒適不擁擠，適合不想吃到撐又想輕鬆聊天的好場所。
_hi_ _youtuber_,5,"以歐式吃到飽來說
這家算便宜了
別家很貴
但是這裡隱身在公務人員人力發展中心B1 B2
不容易被大眾發現
不然的話　生意會更好
只可惜我吃太多大魚大肉
現在不吃了
現在改吃菜了
如果用同樣價錢只吃生菜沙拉　我划不來
將來看看恬園有沒有單獨生菜沙拉吃到飽　獨立收費的　我天天去吃"
Unit Electric Multiple,5,"這裡跟外面不一樣
外面的歐式吃到飽
這裡是公務人員人力發展中心裡面
對面是龍安國小
這裡的客人我看過有教授有專家學者
當然也有很多外來的
總之這裡和外面不一樣
這裡有一個學術文明的氣氛"
石百川,3,"打著福華飯店招牌，看的出來是偏重量而較不重質；店內打的是多元選擇的路線；從海鮮，中式，西式，素食，甜點樣樣不缺席，雖然菜色的品質和種類不是太多，但這也反應在價格上面了；口味上其實是不錯的，保有飯店的一定水平。海鮮類的蝦子應該是店家主要的招牌項目，新鮮度相當好，頗受大家歡迎；甜點雖然不是走精緻的路線，但種類不少，也是充分表現出誠意了；簡單說這裡應該算是走高CP值的路線，在飯店級服務的情況下，別太苛責追求食物的美味和等級，也算是很不錯的一餐了；順道一提，公教人員還有折扣,別忘出具 …"
米米,2,菜色還不錯。不過奇怪的是，星期日去吃午餐，第一個走進去，就已經很多盤菜剩下不到三分之一了。就算是早餐留下來的菜，如果他和午餐的混在一起，顧客也不會知道，沒想到現在連這個步驟都懶得做了。只是，去吃午餐的客人看到這樣，感受恐怕不會太好吧！
招財貓貓,3,"第二次點義大利麵
一樣88元
開拿到有點小盒
份量有點少
沒甚麼內容物
都是碎肉碎菜
吃起來還OK
不難吃
但很普通
一星兩分
我給六分
評分:6/10分

活力便當-88元
有一主菜
排骨吃起來沒味道
沒有骨頭但不好吃

有四副菜
糖醋魚+咖哩南瓜+雪中紅+高麗菜
好吃度-糖醋魚>咖哩>高麗菜
雪中紅會辣所以不吃
糖醋魚比排骨好吃

吃完第一印象是
副菜比主菜好吃
吃完覺得還好
普通CP不高

奶酥麵包
意外得好吃
上面有杏仁片
裡面奶酥很多
吃起來覺得比活力便當好吃! …"
Joseph Lai,4,寬敞舒適，菜色不算多但也夠吃，清爽可口，惟價格經濟實惠，聊天聚會好所在。
Sue,3,"吃的是假日中餐
人手不足，所以補菜慢，常常有檯面全空的情形，收盤也慢，會需要堆疊幾次才可能有人來收。
咖啡機常故障，常弄不出飲品。
菜色還可以，能吃飽, 海鮮還算新鮮，就是服務人員太少了"
朱中正,4,用餐環境不錯，服務人員用心
M T Hsiung,4,"餐廳寬敞舒適 環境幽雅, 歐式自助餐 菜色不錯 價格ok ."
hsia,1,菜普通幾十年沒改變和建國北路福容差不多，福容阿基師（建國南）已經關了
Ricky kuo,5,停車方便用餐環境佳
周延申,1,可以不來就不來。若非免費卷不然不會想來這吃粗飽
jason ger,4,菜色中規中矩，價位還算合理，停車非常便利，CP值頗高的自助餐。
cc cheng,4,環境舒適，价位適中，餐点可口
lvan sun,5,料好實在！聚餐還不錯的選擇！！！
詹先冬,5,公司給一個超驚喜的年中餐會~在疫情期間因同仁同心創造出來的相聚難得難得!新鮮食材海鮮鮮蔬製作精緻好入口的餐點海鮮球鮮炸魚超入味糖醋排骨對味蛤蠣雞湯鮮甜好喝吃得盤底朝天開心~
遠博,3,出菜慢 樣式少  價錢cp值低 唯一優點停車交通方便 海鮮肉類有待加強
