author_name,rating,text
李書琳,5,家人上班，幾乎每隔一到兩週會點餐此店。據觀察，餐點用醬幾乎都自行熬煮，所以香味超越坊間罐頭醬的呆味。花生醬類的餐點好吃、鮮奶茶味道與眾不同，這是家人用餐主顧10年的心得，而我若在附近洽公，也會想方設法專程繞過去外帶。
Wendee Hsu,4,歐丁起司法式吐司很好吃~~ 不過希望速度可以快一些
幼稚鬼,4,餐點很不錯 而且平價 但咖啡真的不推😂 明明是義式咖啡機 怎抹像早餐店的咖啡😅
魯夫結論哥,3,"2019/06/30
一間在巷弄的早餐店，位子不多，不過要注意，出餐速度很慢！如果趕時間的儘量注意，但也是現點現做，所以比較慢且平常可能需要排隊。
今天點了：
牛奶花生法式吐司（$45）：真的蠻好吃的，花生醬的味道很香，但不會很膩，女性朋友一定很愛。
夏威夷肉排漢堡套餐（$145）：漢堡的肉質還算不錯，吃起來很爽，但價格上cp不高，薯條有胡椒粉還算不錯，但薯泥有點膩。
鮮奶茶（$45）：味道稍微淡了點，如果喜歡一般奶茶的建議點鐵觀音奶茶，比較好喝。

整體來說算是還ok的店，價格上沒有很平價，久久來吃一次還不錯啦！"
michael168 kao,5,店很小常常都要排隊！法式花生牛奶吐司🍞非常好👍花生肉排起司漢堡會爆漿滴出花生🥜⋯⋯值得來排隊的店！
Pei Wang,1,進去後先上了飲品，之後就等了20-30分鐘中間任何餐點都沒上來，店員上來收空桌餐盤也沒說聲要再稍等，下樓詢問店員說快好了，兩人份的餐後來先來一份，接著竟然就先給晚來的客人的餐，先上的一份都吃完了另一份晚了15分才來，出餐速度很有問題，如果來不及做真的建議餐點品項不用這麼多這麼複雜，建議看店裡都沒人再來吃吧
Weita Chen,5,態度很好 東西好吃 雖然位子不大 但是很適合假日的時候悠閒的早餐
Martin Tsai,5,"明明很好吃啊！為什麼分數那麼低？
蛋餅酥脆好吃，顏值也很高！"
Anita Chen,3,"中午之後去的
就沒有供應蛋餅有點可惜
餐點點了肉排起司漢堡跟歐丁起司吐司
漢堡麵包烤過很香
手工做的肉排很多汁但有吃到骨頭
吐司軟綿綿融合煉乳跟起司
鹹甜鹹甜吃起來很滿足推推
飲料點了熱奶茶
奶茶甜度剛好但奶味茶味偏淡
二樓也有座位但大概五桌
而且樓梯很陡膝蓋不好的要斟酌"
Chi-Chen Yeh,5,"大學的回憶，每去必吃。從來就不是正統的美式漢堡，但很有台灣手作味。
不過現在的話，比較喜歡11：00前的早餐套餐，有香橙味道的沙拉和好吃的馬鈴薯泥。最喜歡夏威夷肉排堡。蘋果焦糖法式吐司也好吃，很特別。
餐點現做，必須等待，住附近的話建議先打電話訂。服務員或許太忙又都是學生，偶爾不那麼靈光，但又沒收服務費，自助很正常。"
Luna Hsu,4,"聽說是台灣必吃早餐店之一！
點了花生肉排起司堡和培根蛋餅。

一般培根蛋餅就是蛋餅+培根及少許蔥，但他們家的蛋餅內還有加生菜，吃起來口感不會太乾，還不錯！

花生肉排起司堡，自己本身很少吃漢堡類，但是肉排配花生醬口感也很對味！

小小一間店環境乾淨，只是上二樓的樓梯很陡要注意腳步。

📌早餐現做，需要耐心等候唷！"
chen yu su,5,不錯吃 不過上二樓的樓梯有點陡 店員能雙手拿餐點上來真的很厲害
Rani Weng,5,"店員態度佳
東西也很好吃！"
Angel Lee,5,"花生牛奶法式超好吃
完全是必點！！
番茄肉醬香腸堡 肉醬再多一點就完美了😋😋😋"
Lika Tsai,4,牛奶花生法式是不敗的餐點～每次來必點。鮮奶茶也好喝，沒有麵包的早餐套餐也好好吃～
chi wu,3,歐丁起司法式吐司還不錯，其他普通
Pupu,1,"麵包漢堡會不會太焦...........
不說還以為是巧克力口味😔
這種品質還照樣出給客人....................
覺得把消費者當白癡
而且這樣的價錢漢堡裡面的料竟然是冷的.........."
Ronald Chih,4,很溫馨的找餐店，水準一般但法式吐司非常優秀！
Frank Yueh,5,"喜歡他的薯條（早餐店的那種）
還有提供沒有麵包的選擇，很適合麩質過敏的人！"
劉映辰,4,"今天點了墨西哥辣醬德腸熱狗堡
老闆人很好啊！！
希望下次有機會可以內用"
