author_name,rating,text
houpu Liu,5,💐台灣大學悠久歷史，🌸建築很有歷史上的特色，是非常完整的大學，校園也非常的寬敞，也有醉月池，而各種特色的建築，也有草皮可以休閒運動。🍀☘️😊 …
美女柔柔,5,椰林大道，杜鵑花開，我們的陽光，我們的青春。拍攝於2021.2.15那天。
wan yi,4,"春天，是一個出遊的季節。因疫情關係大家無法出國旅遊，於是國內許多景點人滿天飛的，旅遊品質不佳。這些天，臉書社群的朋友頻傳流蘇正開，故週日和先生坐捷運到台灣大學賞花，校門口杜鵑花期已近尾聲，校園內仍有幾簇繁華，更多零落，但校園內依舊繽紛，接續著苦楝花、流蘇這一季是嬌客。攝影高手們穿梭校園，捕捉最耀眼的鏡頭與大家分享。除風景，最美的畫面是天倫樂，看著草坪上家人團聚野餐、或陪孩子追逐、遊樂，幸福的畫面，如沐春風。
不用特地跑多遠，舟車勞頓，坐在校園一隅，帶著簡易的午餐於槭樹下，這天風和日麗，靜靜於台大與春天有約，也是浪漫。
其實不用走遠、花大錢，漫遊校園也是很好的選擇。"
潘裕霖,5,國立臺灣大學前身為日治時期之「臺北帝國大學」（創立於日本昭和3年、西元1928年、民國17年）。當時首任校長為幣原坦總長；至民國34年（1945年）二次世界大戰結束，日本投降、臺灣光復，同年11月15日我政府完成接收臺北帝國大學，改制更名為「國立臺灣大學」，由羅宗洛博士任首任校長。 …
戴詹姆士,5,得天獨厚的地理位置及環境，多年培育莘莘學子，這裡是台北市的大花園，鬧中取靜，有可供散步運動的步道，也有很多美麗的季節花卉，鳥語花香！
Jeson Lee,3,"少見的彩色魯冰花，昔日為紐西蘭特有品種，據說已有台灣改良種植成功，不過此次來的太晚了，只剩下臺灣大學校門口的一小䕺了，據花藝工人說只開放了三週左右，實屬可惜且浪費，可見台灣大學的經費沒有不足且非常充裕啊⋯⋯希望明年可以見到整片的彩色魯冰花海

#letsguide"
Sung Jackie,5,今天天氣明媚，台大人山人海的，今天來參加生傳系EMBA碩士班筆試，希望未來有機會在這裡學習。
u-chin huang,4,充滿各種文化氣息的學府，古色古香保留懷舊建築令人懷思，應有盡有的樹木植物讓人一次滿足，學區廣闊學生代步工具 腳踏自行車真的是缺一不可。
Chihmin Sung,5,"今天最美麗的邂逅，就是遇見鬱金香本人了。

以前都是在花市看到他，總覺得他像個冰山美人，太過嬌貴，生命好不夠真實。

今天看到他長在土裡，鮮艷欲滴、充滿香氣，讓我真的看到心花怒放。

我忍不住一直聞著他。

誰說只有白花才會香？

結果Desmond Hsu告訴我

#花是植物的性器官你知道嗎

嗯。

#醒了

走春。

當個王美，回家睡一天。

#好喜歡 這幾張。

謝謝你們
楊起鳳
Roro Peng
Desmond Hsu
協力拍攝

#台大好美
#春天來了"
張weykwo,4,廣大校園的樹木群值得慢慢觀賞了解，邊走邊記植物名，好一個散心的地方。
瑞和林,5,"不用飛國外 ～ 搭個捷運來～就可偽出國～
台大彩色魯冰花開了～千紅萬紫色彩繽紛～
走過～路過～千萬不要錯過喔"
王米漿,5,校園很大，很多花花草草，最近有點超美的彩色魯冰花，流蘇也很美，校園門口有繡球花，可是杜鵑花都快謝掉了，很適合來散步悠閒走走，逛餓了附近有公館商圈夜市，很多好吃的😋
David Chuang (David),5,在臺大校園里幽遊漫步，有傅鐘響亮鐘聲迴盪，散步於古色古香建築中，蟲鳴鳥聲聲慢，踽踽前行，綠光波瀾醉月湖就在咫尺
潘秋燕,5,台灣大學真的是個資源很多，環境優雅，處處可坐下來看看書，沈思的好地方，有很多有趣的社團，看到社團的海報，真的是覺得台大學生很活躍，什麼資源都有，幸福學習的好地方！
葉原松,4,文風鼎盛，台灣第一學府！環境優美，是求學，散心、運動的好地方。
何美珠,5,幅員遼闊，適合騎腳踏車！植物包羅萬象，賞花好去處
游建勳,4,三月杜鵑花開，不必到陽明山，搭個捷運在公館站下車，不用買票進入台大校園，就可以看到花團錦簇的杜鵑花叢彼此爭奇鬥艷。嗡嗡小蜜蜂飛舞其間忙碌著採集花蜜，也捎來了春的氣息。校園裡的苦楝花隨風搖曳飄逸著陣陣迷人的幽香。林園大道間每棵樹幹上掛著介紹樹名的識別牌，就是觀賞跟認識植物最好的自然教室。楓香、莿桐、白千層、木麻黃....。漫遊校園或坐或臥或嬉戲，記得從樹的角度望向天空。
曹靖媛,5,第一次來看台大杜鵑花，杜鵑花開得好茂盛，覺得好美！而且台大很大，即使人多，也不會覺得擁擠，還看到很多攝影專家在拍照！非常適合家庭假日出來走走的好地方！
龔秀芝,5,"台大椰林大道傅鐘下右側花圃～
魯冰花是一種長在茶樹下的花，死後肥沃了土地，讓茶樹開得更加茂盛。
魯冰花是閩南語路邊花的意思。被當地人稱爲“母親花”。"
Chu Skying,5,諾大的校園，櫻花、鬱金香及各式的植物都綻放，鳥兒飛翔，春天的腳步已來臨。
