author_name,rating,text
張世郎,4,趁著參加公司舉辦活動來到這家水源會館公館店（台北市水源博物館旁）地下停車場還蠻多車位，只是繳費機有點漏漆，只有一台人多時要等很久，一樓是各式購物商場還蠻多外國品牌在這裡銷售，二樓餐廳用餐還不錯，看人數請餐廳專人服務安排各級專廳用餐，感覺生意興隆因為外場服務生也很多人！內裝佈置很適合辦喜宴，聽說預訂時間要提早預約，否則遇到特定旺季會影響喔
李婉毓,5,"5/8的婚禮，很幸運的我們的婚顧兼主持人是Lena，她口條好，聲音甜美，在籌備時也都會適時的告訴我們當天該注意的事情，整場婚禮的流程都很順，賓客們連連讚賞，大推❤️❤️❤️
_
水源雖然沒有提供免費賓客停車的服務，但可以跟他們買券，美中不足的是停車券只開放給台大水源平面停車場，雖然在喜帖及前天都有提醒，但還是會有賓客停在地下室（因為當天天氣不佳），停在地下室的賓客就要自行支付停車費了。
_ …"
林銘笙,5,"有鄰近的外部經營停車場, 稍彌補餐廳無提供顧客車位的不便, 餐廳位置也接近公館商圈與自來水博物館及河岸公園, 也適合安排親子行程。

在自己的婚宴籌備過程, 明顯感受到餐廳提供諮詢或意見交流服務的專業及熱忱; 婚禮企劃(兼婚禮主持)加當天新人小幫手的親和力與臨場應變處理能力, 都是成熟穩重讓人安心; 餐點的菜色份量在同等價位上屬高CP, 值得要安排婚宴的新人列為參考選項。"
HY Jen,1,"- 餐費不能折抵停車費
- 打包花枝配的紫洋蔥一條都沒有包進去, 不僅浪費食材也減少了它的風味
- 點餐時推薦的菜當天根本不做
- 結帳櫃檯混亂速度緩慢至極
- 結帳時小姐再三確認有沒有可以打九五折的卡，明明有禮客的虛擬卡，完全也不會推薦我們當場下載"
Annie Xiong,5,參加親戚婚禮，服務人員態度很好。
RayGo Huang,4,"2020年年尾好朋友的婚宴辦在這裡，車停在旁邊台大附設的平面停車場，40元/時(假日)，15元/半小時(非假日)，隨便停，根據看守警察的指示，隨便停，不要擋到通路就行(因為會一直放車進入，車位根本不夠)，不會開單。
餐廳在2樓，好幾個宴客廳。婚禮的氣氛與程序相對其他婚宴餐廳大同小異。菜色、口味都算是好的，份量也是。"
Eric Tseng,5,台大周邊很棒的用餐空間
蘇皮皮,1,"來此辦家人婚宴，不提供賓客停車優惠，
本身會館地下停車收費平日$40/(時)，假日$50/(時)~地下室繳費機還只有一台，人多時可以排很久~ 不如去停隔壁台大的平面停車場，一小時都便宜$10，繳費還不用等~"
黃匯雅,5,婚宴食材新鮮好吃，菜色特別，份量給的大方，婚禮企劃主持流程順暢，加上餐廳佈置漂亮，很給力，辦了一場歡樂溫馨的婚禮。
天浩,1,"Cp值非常低的年夜菜，6人一桌將近1萬
1、生魚片（3種魚各4片……6個人怎麼分？）
2、炸年糕（一個人夾兩條就沒了）
3、糖醋雙拼（排骨一人一小顆，干貝唇）
4、油飯跟六隻大蝦
5、牛蒡小雞湯（雞等於便當店兩隻大雞腿，湯裡只有牛蒡……沒有其他東西）
6、石斑魚（切成小片，拼起來只有半隻）
7、鮑魚海參（小鮑魚＊6 ，海參更小＊6）
8、叉燒酥（麵包店那種）
9、椰子糯米球
10、6個橘子

平常都還不錯，年夜菜實在太讓人失望了"
陳建穎,1,"餐點難吃，飲料很淡，第一道菜上面就有小蟲子，生魚片切太厚失敗，紅麴肉排沒有熟，不是婚宴場所的選擇,唯一的優點就是服務態度不錯"
Jerry Chiang,5,"氣氛很棒，餐點精緻！
尾牙聚餐很適合～"
林志昌,5,CP值一流（服務、菜色、停車便利），價位也可以接受。
淑嫺黃,4,場地大，適合辦聚會，餐點好吃，交通方便，周圍可以逛的景點多。
梁瑜珊,5,CP值一流，服務生態度良好，讚啦👍
陳佳瑩,5,服務生很親切 當天去吃尾牙 筆跟紅包不夠 服務人員也很貼心的幫我們準備 實在非常感謝
Mi Miyake,5,"#水源會館

小時候常在公館混但現在很少來這邊用餐
這次看到水源會館優惠特別來捧場一下

港點通通66折實在是打到骨折
這次吃到要撐死還不到700元
服務生至少來加了8次茶又送甜湯
實在是沒什麼好挑剔

身為香港人對於港點是有很多堅持
不過水源會館算是很有水準！！
來的每一道港點都會冒煙，完全現點現做
焗烤白菜還保有白菜的脆度很厲害
強烈推薦炸兩，油條香酥脆👍👍👍
蛋撻也不油不膩，只是尺寸偏小
蟹黃燒賣很多汁非常可以
因為疫情持續營業時間有調整
希望餐飲業的大家一起度過這次難關
吃貨們快去相挺這次66折活動吧！

#港點#叉燒酥#焗烤白菜#蘿蔔糕#蛋撻#蟹黃燒賣#蝦餃#炸兩腸粉#紫米桂圓湯"
許芬芬,5,餐點美味、食材新鮮、服務態度親切。
li jean,5,前幾天到公館水源會館家庭聚餐，環境舒適，空間寬敞，服務生服務很用心，餐點很棒。鮭魚卷新鮮會爆漿，沙拉吃的到新鮮彈牙九孔鮑，佛跳牆有整顆的干貝美味和Q彈豬腳，牛排軟嫩好吃，還有干燒大明蝦也很棒，不謹口感好，連擺盤也用心，甜點蛋撻超好吃，小小一顆是酥皮的不甜很讚，可惜一人只有一顆，水果更是澎湃，大家吃的很盡興。
沈大為,5,"寬敞舒適，廚藝料理讚!
服務熱情，停車方便。"
