author_name,rating,text
文龍賴,4,學校環境很好，學生，家長口罩都戴好戴滿，但這兩個不知道那裡來的
Roger Lin (RenBow),5,"某老師說我還有小孩，我不想傳染給小孩，所以我不想來學校上課！
所以要擇期補課
那我們其他學生也可以用這個理由請假不上課嗎？"
Ming hui,4,"腹地不大，小而精；
小麻雀、五臟全唄！！。"
顏君瀚,5,雖然沒有台大佔地廣，但是在裡面散步還滿悠閒的，餐點也好吃又便宜
Lee涼涼,5,天大地大，連新的學生宿舍看起來都非常強大，想當年我可是歷經過一舍911大地震的年代啊，地震那晚所有學生奪命逃出宿舍，整晚餘震連連，嚇死我們的毛了，沒想到今年回去看到第一宿舍已經改建的這麼漂亮了，房間還全部都有冷氣，現在的學生環境真的是讓人無比羨慕啊！比較可惜的是感覺越來越窄，連操場都只剩下一半，校地因為一直蓋大樓比以前少了很多，有越來越擁擠的感覺。
篩代娟,5,青春洋溢，自由自在，新創與智慧的聚集。
Tina Liu,3,圖書館館藏豐富、多媒體資源多，但部分校園設備老舊
Playing,5,技職教育體系的龍頭，孕育許多優秀的人才。
Gamma Nesl,1,硏揚大樓鐘聲很難聽，耳朵受到傷害
劉浩伍,4,在地學生，我覺得校園非常沒有美感，但是比隔壁的台大多了科技^_^
YuYu Hsueh (fish ü),5,學生餐廳太好吃了，我都會跑去吃，過基隆路時小心車多
216范智傑,5,職科殿堂，三校聯盟之首（沒
Jasper Chen,5,培養許多優秀人才的學校。
流川楓,5,"天大地大台科大
台清交成踩腳下"
FU Chen,5,天大地大，下一句你知道我知道獨眼龍也知道
陳葆光,5,校園學術風氣優良，聚集了來自世界各地學生，充滿多樣活力
Wonwon Lyn,5,校園不大但非常友善寵物，學餐cp值高，連台大學生都來此用餐，是台灣科技大學的龍頭學校
汪小小,5,地點座落優質、先進科技商圈環繞，十分具有發展潛力，讚喔！
Javier Lo,5,餐點好吃、便宜，值得再來
Limin Chen,5,餐廳便宜又好吃。泳池不錯。Wifi 品質佳，覆蓋率好，只是要登入較麻煩。噢對了，差點忘了，這是間學校，教學品質10/10
